geo,time,se_pre_tcaq_fe_zs
eri,2009,51.52074
eri,2010,56.65773
eri,2011,52.80335
eri,2012,56.24509
eri,2013,50.70737
eri,2014,46.27082
eri,2015,42.17207
eth,1999,65.14559
eth,2000,62.01139
eth,2001,62.79933
eth,2002,64.16115
eth,2003,70.49924
eth,2004,75.42567
eth,2005,79.73231
eth,2006,95.18775
eth,2007,99.91895
eth,2008,99.93948
geo,2000,99.10093
geo,2002,98.6338
geo,2003,96.57675
gha,1999,30.36491
gha,2000,25.88703
gha,2001,24.48465
gha,2002,22.31026
gha,2003,21.31284
gha,2004,12.05777
gha,2005,21.93445
gha,2006,26.43382
gha,2007,31.21181
gha,2008,26.0484
gha,2009,22.87631
gha,2010,27.70858
gha,2011,27.70822
gha,2012,35.95743
gha,2013,40.20145
gha,2014,41.759
gha,2015,46.11376
gha,2016,48.34035
gib,1999,100
gib,2000,100
gib,2001,80.95238
gib,2016,86.48649
gin,2006,38.05698
gin,2008,50.26217
gmb,2013,61.67097
gmb,2014,68.12552
gmb,2015,66.89655
gmb,2017,66.15479
gnb,2000,21.12676
gnb,2010,25.4717
gnq,2015,89.06468
grd,2002,31.57895
grd,2003,32.74336
grd,2007,42.27642
grd,2008,46.27451
grd,2009,38.32853
grd,2010,45.12195
grd,2013,40.37037
grd,2014,51.50502
grd,2015,35.29412
grd,2016,40.06623
guy,1999,38.32769
guy,2000,37.81818
guy,2001,40.38026
guy,2003,46.13995
guy,2005,48.68356
guy,2007,52.62884
guy,2008,55.47606
guy,2009,59.47309
guy,2010,60.8768
guy,2011,62.93746
guy,2012,65.1856
hnd,2004,64.57694
hnd,2013,51.84559
hrv,1999,76.32782
hrv,2000,79.15945
hrv,2001,80.58833
hrv,2002,77.61561
hrv,2003,83.79441
irq,2000,100
irq,2004,100
jam,2015,74.6612
jor,2013,100
jor,2014,100
jor,2015,100
jor,2016,100
kaz,2014,100
ken,2003,65.69131
ken,2004,72.33514
ken,2005,72.91746
ken,2006,72.91625
ken,2007,73.30272
ken,2008,74.23724
ken,2009,74.33863
ken,2012,81.70335
ken,2014,79.99955
kgz,1999,32.39923
kgz,2000,32.1112
kgz,2001,34.24156
kgz,2002,35.22388
kgz,2003,36.37977
kgz,2004,38.18584
kgz,2005,38.22894
kgz,2006,40.95678
kgz,2007,42.29979
kgz,2008,42.23726
kgz,2009,44.30524
kgz,2010,42.6978
kgz,2011,46.1465
khm,2012,100
khm,2013,100
khm,2014,100
khm,2015,100
khm,2016,100
kna,2014,8.27586
kwt,1999,100
kwt,2000,100
kwt,2003,100
kwt,2004,100
kwt,2005,100
kwt,2006,100
kwt,2007,100
kwt,2008,100
kwt,2009,100
kwt,2011,72.61128
kwt,2012,73.44936
kwt,2013,73.35744
kwt,2014,75.28237
kwt,2015,75.61534
lao,1999,85.55079
lao,2000,83.08322
lao,2001,82.46782
lao,2002,83.15603
lao,2003,82.10215
lao,2004,86.08661
lao,2005,81.90095
lao,2006,80.82745
lao,2007,81.15279
lao,2008,70.89369
lao,2009,84.10576
lao,2010,97.45486
lao,2011,88.62964
lao,2012,90.76319
lao,2014,90.59315
lao,2015,91.45566
lao,2016,90.01984
lbr,2006,32.47041
lca,2004,55.23256
lca,2012,60
lca,2014,70.0565
low_income,2007,64.19039
low_income,2008,59.0796
low_income,2009,60.07477
low_income,2010,58.16444
low_income,2011,56.28645
low_income,2012,50.62933
low_income,2013,47.81288
low_income,2014,45.69083
low_income,2015,43.80849
low_income,2016,43.66845
lso,2015,100
mac,1999,92.84404
mac,2000,93.58491
mac,2001,95.95142
mac,2002,98.08917
mac,2003,98.48156
mac,2004,97.58772
mac,2005,98
mac,2006,97.52252
mac,2007,97.89474
mac,2008,96.99399
mac,2009,96.31783
mac,2010,94.52297
mac,2011,92.30769
mac,2012,93.24713
mac,2013,94.43709
mac,2014,92.23301
mac,2015,98.00664
mac,2016,99.11937
mar,2005,100
mar,2007,100
mar,2008,100
mar,2010,100
mar,2012,100
mda,2000,91.69646
mda,2001,87.86205
mda,2002,91.74221
mda,2003,92.58794
mda,2005,89.40318
mda,2006,90.04081
mda,2007,89.56927
mda,2008,90.23966
mda,2009,90.41462
mda,2010,90.32148
mda,2011,91.33852
mda,2012,92.01946
mda,2016,84.50135
mdg,2010,49.95638
mdg,2013,15.59633
mdg,2014,15.79032
mdg,2015,13.10306
mdg,2016,9.86771
mdv,1998,49.22118
mdv,1999,47.15909
mdv,2000,48.70466
mdv,2001,56.65399
mdv,2002,47.21689
mdv,2003,50.52411
mdv,2005,40.81633
mdv,2006,44.98328
mdv,2009,38.39611
mdv,2010,39.57871
mdv,2011,55.89172
mdv,2012,76.46341
mdv,2013,82.25966
mdv,2014,73.25073
mdv,2015,79.94012
mex,2014,87.44845
mex,2015,87.81275
mex,2016,86.49045
mhl,2002,100
middle_east_north_africa,2004,93.98302
middle_east_north_africa,2005,90.30507
middle_east_north_africa,2006,89.96587
middle_east_north_africa,2007,90.55335
middle_east_north_africa,2008,89.3846
middle_east_north_africa,2012,85.18798
middle_east_north_africa,2013,84.1978
middle_east_north_africa,2014,83.81213
middle_east_north_africa,2015,83.66556
middle_east_north_africa,2016,85.08652
mli,2008,59.76789
mli,2011,57.0297
mmr,2006,50.59725
mmr,2009,51.55528
mmr,2010,58.60831
mng,1998,100
mng,1999,100
mng,2000,100
mng,2001,100
mng,2002,100
mng,2003,100
mng,2004,100
mng,2005,100
mng,2006,100
mng,2007,100
mng,2008,100
mng,2009,100
mng,2010,90.00683
mng,2011,93.17137
mng,2012,93.76688
mng,2016,100
mrt,2004,100
mus,1998,100
mus,1999,100
mus,2000,85.25327
mus,2001,89.79926
mus,2002,90.5824
mus,2004,89.65238
mus,2005,90.28389
mus,2006,100
mus,2007,96.49821
mus,2008,96.43987
mus,2009,97.60383
mus,2011,98.73867
mus,2012,99.92089
mus,2013,99.95612
mus,2014,100
mus,2015,100
mus,2016,100
mys,2011,98.5211
mys,2012,98.78096
mys,2013,99.12574
mys,2014,99.98753
mys,2015,99.57831
mys,2016,95.85627
nam,1999,86.35171
ner,1999,95.9633
ner,2000,100
ner,2001,100
ner,2002,100
ner,2003,100
ner,2004,85.84906
ner,2007,96.34146
ner,2008,95.72148
ner,2009,97.4847
ner,2010,96.23773
ner,2011,92.37635
ner,2012,91.31432
nic,1998,35.60151
nic,1999,32.80344
nic,2000,29.89922
nic,2001,29.92701
nic,2002,30.03012
nic,2004,21.80434
nic,2005,33.35808
nic,2006,33.37583
nic,2007,38.96986
nic,2008,32.84463
nic,2010,33.32659
npl,2008,72.47523
npl,2010,82.81864
npl,2011,84.79599
npl,2012,88.54082
npl,2013,91.2591
npl,2014,91.53719
npl,2015,92.90178
npl,2016,92.47426
npl,2017,92.98749
nru,2006,77.5
nru,2007,84.21053
nru,2016,100
omn,2009,100
omn,2013,100
omn,2014,100
omn,2015,100
omn,2016,100
pan,1999,36.44674
pan,2000,55.84371
pan,2001,37.9616
pan,2004,50.75301
pan,2005,49.92567
pan,2006,46.69005
pan,2007,43.05892
pan,2008,44.5328
pan,2009,46.0244
pan,2010,45.61334
pan,2011,50.2494
pan,2012,49.08777
phl,2015,100
pri,2015,94.39919
pry,2012,92.9812
pse,2004,100
pse,2005,100
pse,2006,100
pse,2007,100
pse,2008,100
pse,2009,100
pse,2010,100
pse,2011,100
pse,2012,100
pse,2013,99.95195
pse,2014,100
pse,2015,100
pse,2016,100
rwa,2011,39.16737
rwa,2015,48.42474
rwa,2016,49.8904
sau,2013,100
sau,2014,100
sau,2015,100
sau,2016,100
sdn,2015,100
sen,2008,10.6287
sen,2009,12.3224
sen,2010,13.32485
sen,2012,21.46186
sen,2013,23.25076
sen,2014,23.59216
sen,2015,23.95457
sen,2016,31.31162
slb,2011,59.93852
slb,2012,40.82785
slb,2013,51.38648
slb,2014,59.56592
sle,2001,72.55937
sle,2011,44.69994
sle,2012,50.61728
sle,2013,46.85641
sle,2015,56.29454
slv,2003,94.00186
slv,2004,93.73272
slv,2005,93.4541
slv,2006,93.19451
slv,2007,92.94047
slv,2008,90.46452
slv,2011,94.69324
slv,2015,94.97021
slv,2016,96.55456
srb,2007,100
srb,2011,75.87113
ssd,2011,43.75
stp,2002,53.48837
stp,2009,45.30201
stp,2014,19.39954
stp,2015,28.52564
sub_saharan_africa,2002,57.90944
sub_saharan_africa,2003,56.41271
sub_saharan_africa,2004,54.20719
sub_saharan_africa,2005,54.49602
sub_saharan_africa,2006,53.18473
sub_saharan_africa,2007,56.45898
sub_saharan_africa,2008,57.05457
sub_saharan_africa,2009,54.59948
sub_saharan_africa,2010,54.33915
sub_saharan_africa,2011,51.36898
sub_saharan_africa,2012,46.20131
sub_saharan_africa,2013,43.05825
sub_saharan_africa,2014,42.32388
sub_saharan_africa,2015,42.36146
sur,2008,100
syc,1998,88.14433
syc,1999,86.15385
syc,2000,80.09709
syc,2001,80.41237
syc,2002,81.18812
syc,2003,76.79558
syc,2011,73.71429
syc,2012,58.13953
syc,2013,60.51282
syc,2014,66.12022
syc,2015,81.17647
syc,2016,85.94595
syr,1999,87.20508
syr,2013,35.34386
tcd,2010,67.57322
tcd,2011,71.86898
tcd,2013,53.15615
tgo,2000,38.67403
tgo,2001,39.43428
tgo,2002,39.9696
tgo,2003,35.97464
tgo,2010,55.16179
tgo,2011,54.47585
tgo,2012,49.33897
tgo,2015,62.76983
tjk,2001,91.25808
tjk,2002,100
tjk,2003,85.161
tjk,2004,81.56059
tjk,2005,73.58659
tjk,2006,81.7662
tjk,2007,82.19517
tjk,2008,82.8062
tjk,2009,83.17467
tjk,2010,85.18995
tjk,2011,86.84485
tjk,2012,86.30265
tjk,2013,90.29337
tjk,2016,100
ton,1998,50.42735
ton,2012,100
tto,2000,20.02269
tto,2001,20.36405
tto,2003,20.36405
tun,2016,100
tuv,2014,74.57627
tza,2004,22.62892
tza,2005,26.97389
tza,2006,22.20286
tza,2007,19.10221
tza,2010,27.84782
uga,2015,8.59977
uzb,2006,100
uzb,2007,100
uzb,2008,100
uzb,2009,100
uzb,2010,100
uzb,2011,100
uzb,2017,98.46821
vct,2013,14.10891
vgb,1999,29.41176
vgb,2000,24.39024
vgb,2003,20
vnm,1999,43.56146
vnm,2000,50.52632
vnm,2001,56.24943
vnm,2014,97.91463
vnm,2015,98.70497
vut,2015,45.97049
wsm,2014,100
wsm,2015,100
wsm,2016,100
zaf,1999,62.4778
zaf,2000,69.91022
zaf,2001,69.61003
zaf,2002,75.57411
zwe,2012,24.78146
zwe,2013,25.64602
