concept,aggregation_method,base_period,color,concept_type,development_relevance,domain,drill_up,general_comments,indicator_url,license_type,limitations_and_exceptions,long_definition,name,notes_from_original_source,periodicity,related_source_links,scales,series_code,short_definition,source,statistical_concept_and_methodology,tags,topic,unit,unit_of_measure
imf_data_dissemination_standard,,,,string,,,,,,,,,IMF data dissemination standard,,,,,,,,,,,,
income_group,,,,string,,,,,,,,,Income Group,,,,,,,,,,,,
income_groups,,,"{""palette"": {""upper_middle_income"": ""#a7cb7d"", ""lower_middle_income"": ""#7ea1d1"", ""high_income"": ""#7bc135"", ""low_income"": ""#4366f4""}}",entity_set,,geo,,,https://docs.google.com/spreadsheet/pub?key=phT4mwjvEuGCSmAe5aq7HKw,,,,Income groups,,,,,,,,,categorizations,,,
indicator_url,,,,string,,,,,,,,,Indicator URL,,,,,,,,,_none,,,
iso3166_1_alpha2,,,,string,,,,,http://www.iso.org/iso/home/standards/country_codes.htm,,,,ISO 3166-1 alpha-2,,,,,,,,,_none,,,
iso3166_1_alpha3,,,,string,,,,,http://www.iso.org/iso/home/standards/country_codes.htm,,,,ISO 3166-1 alpha-3,,,,,,,,,_none,,,
iso3166_1_numeric,,,,string,,,,,http://www.iso.org/iso/home/standards/country_codes.htm,,,,ISO 3166-1 numeric,,,,,,,,,_none,,,
iso3166_2,,,,string,,,,,https://en.wikipedia.org/wiki/ISO_3166-2,,,,ISO 3166-2,,,,,,,,,_none,,,
landlocked,,,"{""palette"": {""landlocked"": ""#f05656"", ""coastline"": ""#7487ef""}}",entity_set,,geo,,,https://docs.google.com/spreadsheet/pub?key=rBwKBodk7Y08pGiA4OAfzUA,,,,Landlocked,,,,,,,,,categorizations,,,
latest_agricultural_census,,,,string,,,,,,,,,Latest agricultural census,,,,,,,,,,,,
latest_household_survey,,,,string,,,,,,,,,Latest household survey,,,,,,,,,,,,
latest_industrial_data,,,,string,,,,,,,,,Latest industrial data,,,,,,,,,,,,
latest_population_census,,,,string,,,,,,,,,Latest population census,,,,,,,,,,,,
latest_trade_data,,,,string,,,,,,,,,Latest trade data,,,,,,,,,,,,
latest_water_withdrawal_data,,,,string,,,,,,,,,Latest water withdrawal data,,,,,,,,,,,,
latitude,,,,measure,,,,,https://github.com/open-numbers/ddf--gapminder--dim_geo_countries_and_groups/blob/master/ddf--list--geo--country.csv,,,,Latitude,,,,"[""linear""]",,,,,_none,,degrees,
lending_category,,,,string,,,,,,,,,Lending category,,,,,,,,,,,,
license_type,,,,string,,,,,,,,,License Type,,,,,,,,,,,,
limitations_and_exceptions,,,,string,,,,,,,,,Limitations and exceptions,,,,,,,,,,,,
long_definition,,,,string,,,,,,,,,Long definition,,,,,,,,,,,,
long_name,,,,string,,,,,,,,,Long Name,,,,,,,,,,,,
longitude,,,,measure,,,,,https://github.com/open-numbers/ddf--gapminder--dim_geo_countries_and_groups/blob/master/ddf--list--geo--country.csv,,,,Longitude,,,,"[""linear""]",,,,,_none,,degrees,
main_religion_2008,,,"{""palette"": {""muslim"": ""#71c44c"", ""christian"": ""#7487ef"", ""eastern_religions"": ""#f05656""}, ""selectable"": false}",entity_set,,geo,,,https://docs.google.com/spreadsheet/pub?key=0ArtujvvFrPjVdHUzTGVicFJZQ1NjaFhqelV5SDNxMVE,,,,Main religion 2008,,,,,,,,,categorizations,,,
name,,,,string,,,,,,,,,Name,,,,,,,,,_none,,,
name_long,,,,string,,,,,,,,,Name Long,,,,,,,,,_none,,,
name_short,,,,string,,,,,,,,,Name Short,,,,,,,,,_none,,,
national_accounts_base_year,,,,string,,,,,,,,,National accounts base year,,,,,,,,,,,,
national_accounts_reference_year,,,,string,,,,,,,,,National accounts reference year,,,,,,,,,,,,
notes_from_original_source,,,,string,,,,,,,,,Notes from original source,,,,,,,,,,,,
other_groups,,,,string,,,,,,,,,Other groups,,,,,,,,,,,,
pandg,,,,string,,,,,,,,,pandg,,,,,,,,,_none,,,
periodicity,,,,string,,,,,,,,,Periodicity,,,,,,,,,,,,
ppp_survey_year,,,,string,,,,,,,,,PPP survey year,,,,,,,,,,,,
rank,,,,measure,,,,,,,,,Ranking order,,,,,,,,,_none,,,
region,,,,string,,,,,,,,,Region,,,,,,,,,,,,
related_source_links,,,,string,,,,,,,,,Related source links,,,,,,,,,,,,
scales,,,,string,,,,,,,,,Scales,,,,,,,,,_none,,,
series_code,,,,string,,,,,,,,,Series Code,,,,,,,,,,,,
shape_lores_svg,,,,string,,,,,,,,,Shapes,,,,,,,,,_none,,,
short_definition,,,,string,,,,,,,,,Short definition,,,,,,,,,,,,
short_name,,,,string,,,,,,,,,Short Name,,,,,,,,,,,,
sna_price_valuation,,,,string,,,,,,,,,SNA price valuation,,,,,,,,,,,,
source,,,,string,,,,,,,,,Source,,,,,,,,,,,,
source_of_most_recent_income_and_expenditure_data,,,,string,,,,,,,,,Source of most recent Income and expenditure data,,,,,,,,,,,,
special_notes,,,,string,,,,,,,,,Special Notes,,,,,,,,,,,,
statistical_concept_and_methodology,,,,string,,,,,,,,,Statistical concept and methodology,,,,,,,,,,,,
system_of_national_accounts,,,,string,,,,,,,,,System of National Accounts,,,,,,,,,,,,
system_of_trade,,,,string,,,,,,,,,System of trade,,,,,,,,,,,,
table_name,,,,string,,,,,,,,,Table Name,,,,,,,,,,,,
tags,,,,string,,,,,,,,,Tags,,,,,,,,,_none,,,
time,,,,time,,,,,,,,,Year,,,,,,,,,,,,
topic,,,,string,,,,,,,,,Topic,,,,,,,,,,,,
un_state,,,,boolean,,,,,https://github.com/open-numbers/ddf--gapminder--dim_geo_countries_and_groups/blob/master/ddf--list--geo--un_state.csv,,,,UN member states and permanent observers,,,,,,,,,_none,,,
unicode_region_subtag,,,,string,,,,,http://www.unicode.org/reports/tr35/#unicode_region_subtag_validity,,,,Unicode CLDR Region subtag,,,,,,,,,,,,
unit,,,,string,,,,,,,,,Unit,,,,,,,,,_none,,,
unit_of_measure,,,,string,,,,,,,,,Unit of measure,,,,,,,,,,,,
upper_case_name,,,,string,,,,,,,,,Upper Case Name,,,,,,,,,_none,,,
vital_registration_complete,,,,string,,,,,,,,,Vital registration complete,,,,,,,,,,,,
wb_2_code,,,,string,,,,,,,,,WB-2 code,,,,,,,,,,,,
world_4region,,,"{""shades"": {""fill3"": 2, ""print_stroke"": 5, ""print_fill"": 4, ""fill2"": 1, ""shade"": 3, ""fill1"": 0}, ""palette"": {""americas"": [""#7feb00"", ""#5de200"", ""#81f201"", ""#00b900"", ""#b5ea32"", ""#008d36""], ""europe"": [""#ffe700"", ""#fbdd00"", ""#fff400"", ""#fbaf09"", ""#ffe700"", ""#b17f4a""], ""africa"": [""#00d5e9"", ""#00c8ec"", ""#00e1ec"", ""#0098df"", ""#77dff7"", ""#0586c6""], ""asia"": [""#ff5872"", ""#ff5178"", ""#ff658a"", ""#da0025"", ""#fa4e73"", ""#b2043a""], ""_default"": [""#ffb600"", ""#ffaa14"", ""#ffc500"", ""#fb6d19"", ""#ffb600"", ""#9b4838""]}, ""selectable"": false}",entity_set,,geo,,,https://docs.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdHlocWJBM1Uyd1ZPeHduU3c4WGplMEE,,,,World Regions,,,,,,,,,categorizations,,,
world_6region,,,"{""palette"": {""east_asia_pacific"": ""#f03838"", ""sub_saharan_africa"": ""#4e7af0"", ""south_asia"": ""#35d1d1"", ""europe_central_asia"": ""#f49d37"", ""middle_east_north_africa"": ""#5be56b"", ""america"": ""#ebcc21""}, ""selectable"": false}",entity_set,,geo,,,https://docs.google.com/spreadsheet/pub?key=phT4mwjvEuGBtdf1ZeO7_PQ,,,,World Regions (6 colors),,,,,,,,,categorizations,,,
