geo,time,sh_sta_owgh_zs
jam,2001,5.7
jam,2002,8.5
jam,2004,7.5
jam,2006,6.1
jam,2007,8.5
jam,2008,6.1
jam,2010,4
jam,2012,7.8
jam,2014,8.5
jor,1990,8.6
jor,1997,4.4
jor,2002,4.7
jor,2009,6.6
jor,2012,4.7
jpn,2010,1.5
kaz,1995,4.1
kaz,1999,5.3
kaz,2006,16.9
kaz,2010,13.3
kaz,2015,9.3
ken,1993,5.9
ken,1998,5.8
ken,2000,8.1
ken,2003,5.8
ken,2009,5
ken,2014,4.1
kgz,1997,8.1
kgz,2006,10.7
kgz,2009,4.4
kgz,2012,9
kgz,2014,7
khm,1996,6.5
khm,2000,4
khm,2005,1.7
khm,2008,2
khm,2010,1.9
khm,2014,2
kir,1985,15.9
kor,2003,6.2
kor,2010,7.3
kwt,1996,8.9
kwt,2001,11
kwt,2002,6.6
kwt,2003,6.8
kwt,2004,7.1
kwt,2005,7.5
kwt,2006,8.7
kwt,2007,8.5
kwt,2008,9.3
kwt,2009,9
kwt,2010,7.8
kwt,2011,8.3
kwt,2012,9.5
kwt,2013,7.8
kwt,2014,8.7
kwt,2015,6
lao,2000,2.7
lao,2006,1.3
lao,2011,2
lbn,1996,20.8
lbn,2004,16.7
lbr,2000,4.6
lbr,2007,4.2
lbr,2013,3.2
lby,1995,13.4
lby,2007,22.4
lca,2012,6.3
lka,1987,0.3
lka,2000,1
lka,2007,1.6
lka,2009,0.8
lka,2012,0.6
lka,2016,2
low_income,1990,3.6
low_income,1995,3.6
low_income,2000,3.5
low_income,2005,3.4
low_income,2010,3.3
low_income,2011,3.3
low_income,2012,3.3
low_income,2013,3.2
low_income,2014,3.2
low_income,2015,3.2
low_income,2016,3.2
low_income,2017,3.2
lower_middle_income,1990,3.1
lower_middle_income,1995,3.2
lower_middle_income,2000,3.3
lower_middle_income,2005,3.5
lower_middle_income,2010,3.7
lower_middle_income,2011,3.7
lower_middle_income,2012,3.7
lower_middle_income,2013,3.7
lower_middle_income,2014,3.8
lower_middle_income,2015,3.8
lower_middle_income,2016,3.8
lower_middle_income,2017,3.9
lso,2000,21
lso,2004,6.8
lso,2009,7.3
lso,2014,7.4
mar,1987,5.5
mar,1992,10.7
mar,1997,13.7
mar,2003,13.3
mar,2011,10.7
mda,2005,9.1
mda,2012,4.9
mdg,1992,1.6
mdg,1997,2.2
mdg,2004,6.2
mdv,1994,1.2
mdv,1995,2.2
mdv,1997,9.8
mdv,2001,3.9
mdv,2009,6.5
mex,1988,6.1
mex,1989,11
mex,1998,7.6
mex,2006,7.6
mex,2012,9
mex,2015,5.2
middle_east_north_africa,1990,7.9
middle_east_north_africa,1995,8.4
middle_east_north_africa,2000,8.9
middle_east_north_africa,2005,9.5
middle_east_north_africa,2010,10
middle_east_north_africa,2011,10.2
middle_east_north_africa,2012,10.3
middle_east_north_africa,2013,10.4
middle_east_north_africa,2014,10.5
middle_east_north_africa,2015,10.7
middle_east_north_africa,2016,10.8
middle_east_north_africa,2017,10.9
mkd,1999,9.6
mkd,2005,16.2
mkd,2011,12.4
mli,1987,0.5
mli,1996,2.3
mli,2001,3.1
mli,2006,4.7
mli,2010,1
mli,2015,1.9
mmr,1997,9.7
mmr,2000,2.4
mmr,2003,2.4
mmr,2009,2.6
mmr,2016,1.3
mne,2005,15.6
mne,2013,22.3
mng,1999,7
mng,2000,12.7
mng,2004,6.1
mng,2005,14.2
mng,2010,6.7
mng,2013,10.5
moz,1997,5.9
moz,2003,6.3
moz,2008,3.6
moz,2011,7.9
mrt,1990,6.8
mrt,2000,3.8
mrt,2007,2.3
mrt,2008,1
mrt,2011,3.2
mrt,2012,1.2
mrt,2015,1.3
mus,1985,8.8
mus,1995,6.5
mwi,1992,9.9
mwi,2000,8.8
mwi,2004,10.2
mwi,2006,11.3
mwi,2009,4.9
mwi,2010,9.2
mwi,2014,5.1
mwi,2015,4.5
mys,1999,5.5
mys,2015,7.1
mys,2016,6
nam,1992,4.5
nam,2000,3.3
nam,2007,4.6
nam,2013,4.1
ner,1992,2
ner,1998,1.1
ner,2000,1.6
ner,2006,3.5
ner,2012,3
nga,1990,3.2
nga,1993,5.5
nga,2003,6.2
nga,2007,13.3
nga,2008,10.5
nga,2011,3
nga,2013,4.9
nga,2014,1.8
nga,2015,1.6
nga,2016,1.5
nic,1993,5.7
nic,1998,7
nic,2001,7.1
nic,2004,5.2
nic,2006,6.2
nic,2012,8.3
npl,1996,0.7
npl,1998,0.4
npl,2001,0.7
npl,2006,0.6
npl,2011,1.5
npl,2014,2.1
npl,2016,1.2
nru,2007,2.8
omn,1991,8.4
omn,1994,1
omn,1999,1.6
omn,2009,1.7
omn,2014,4.4
pak,1986,7.8
pak,1991,5.4
pak,1992,1.6
pak,2001,4.8
pak,2011,6.4
pak,2012,4.8
pan,1997,6.2
per,1991,9.3
per,1996,9.9
per,2000,11.8
per,2005,9.1
per,2008,9.8
per,2009,10.3
per,2010,8.1
per,2011,8.9
per,2012,7.2
phl,1992,1.7
phl,1998,1.9
phl,2003,2.4
phl,2008,3.3
phl,2011,4.3
phl,2013,5
phl,2015,3.9
png,1983,3.1
png,2005,3.4
png,2010,13.8
prk,2002,0.9
prk,2009,0
pry,1990,6.3
pry,2005,7.1
pry,2012,11.7
pry,2016,12.4
pse,1996,4
pse,2007,11.4
pse,2010,5.3
pse,2014,8.2
qat,1995,10.4
rou,1991,4
rou,1999,10.1
rou,2000,8.9
rou,2001,9.1
rou,2002,8.3
rwa,1992,4
rwa,2000,7.2
rwa,2005,6.7
rwa,2010,7.1
rwa,2015,7.7
sau,1994,1.2
sau,2005,6.1
sdn,2006,4.2
sdn,2010,1.5
sdn,2014,3
sen,1986,2.3
sen,1992,4
sen,1993,4
sen,2000,3.2
sen,2005,2.4
sen,2011,2.8
sen,2012,0.7
sen,2013,1.5
sen,2014,1.3
sen,2015,1
sen,2016,0.9
sgp,2000,2.6
slb,1989,1.9
slb,2007,2.5
slb,2015,3.9
sle,2000,4.7
sle,2005,5.9
sle,2008,10.1
sle,2010,10.3
sle,2013,8.9
slv,1988,3
slv,1993,3.9
slv,1998,3.9
slv,2003,5.8
slv,2008,5.7
slv,2014,6.4
som,2006,4.7
som,2009,3
south_asia,1990,2.2
south_asia,1995,2.3
south_asia,2000,2.5
south_asia,2005,2.6
south_asia,2010,2.8
south_asia,2011,2.8
south_asia,2012,2.8
south_asia,2013,2.9
south_asia,2014,2.9
south_asia,2015,2.9
south_asia,2016,3
south_asia,2017,3
srb,2005,19.3
srb,2010,15.6
srb,2014,13.9
ssd,2006,10.9
ssd,2010,6
stp,2000,9.2
stp,2006,15.4
stp,2008,11.6
stp,2014,2.4
sub_saharan_africa,1990,5
sub_saharan_africa,1995,4.7
sub_saharan_africa,2000,4.4
sub_saharan_africa,2005,4.1
sub_saharan_africa,2010,3.9
sub_saharan_africa,2011,3.8
sub_saharan_africa,2012,3.8
sub_saharan_africa,2013,3.7
sub_saharan_africa,2014,3.7
sub_saharan_africa,2015,3.6
sub_saharan_africa,2016,3.6
sub_saharan_africa,2017,3.5
sur,2000,2.9
sur,2006,4
sur,2010,4
syc,1988,5.8
syc,2012,10.2
syr,1993,15
syr,2001,19.7
syr,2006,18.7
syr,2009,17.9
tcd,1997,2.7
tcd,2000,2.7
tcd,2004,4.4
tcd,2010,2.8
tcd,2015,2.5
tgo,1988,2.9
tgo,1998,2.3
tgo,2006,4.7
tgo,2010,1.6
tgo,2014,2
tha,1987,1.3
tha,1995,4.7
tha,2006,8
tha,2012,10.9
tha,2016,8.2
tjk,2005,6.7
tjk,2009,4.2
tjk,2012,6.6
tkm,2006,4.5
tkm,2015,5.9
tls,2002,5.7
tls,2009,5.8
tls,2013,1.5
ton,2012,17.3
tto,1987,3.5
tto,2000,4.9
tto,2011,11.5
tun,1988,3.7
tun,1997,1.4
tun,2006,8.8
tun,2012,14.3
tur,1993,5
tur,1998,4
tur,2004,9.1
tur,2013,10.9
tuv,2007,6.3
tza,1991,5.7
tza,1996,4.6
tza,1999,3.3
tza,2004,4.9
tza,2010,5.5
tza,2013,5.2
tza,2015,3.6
uga,1988,3.6
uga,1995,5
uga,2000,4.9
uga,2006,4.9
uga,2011,3.8
uga,2012,5.8
uga,2016,3.7
ukr,2000,26.5
upper_middle_income,1990,7
upper_middle_income,1995,7
upper_middle_income,2000,6.9
upper_middle_income,2005,6.9
upper_middle_income,2010,6.9
upper_middle_income,2011,6.9
upper_middle_income,2012,6.9
upper_middle_income,2013,6.9
upper_middle_income,2014,6.9
upper_middle_income,2015,6.9
upper_middle_income,2016,6.9
upper_middle_income,2017,6.9
ury,1999,9
ury,2002,10
ury,2003,11.5
ury,2004,9.4
ury,2007,7.9
ury,2011,7.2
usa,1991,5.4
usa,2001,7
usa,2005,8.1
usa,2009,7.8
usa,2012,6
uzb,1996,15.9
uzb,2002,11.1
uzb,2006,12.8
ven,1987,9
ven,1990,4
ven,1991,4.3
ven,1992,4.9
ven,1993,4.9
ven,1994,5
ven,1995,4.7
ven,1996,4.7
ven,1997,5
ven,1998,4.9
ven,1999,5.2
ven,2000,5.3
ven,2001,5.4
ven,2002,5.4
ven,2003,5.3
ven,2004,5.2
ven,2005,5.5
ven,2006,6.1
ven,2007,6.1
ven,2008,6.3
ven,2009,6.4
vnm,1993,2.8
vnm,1998,1.4
vnm,1999,1.8
vnm,2000,2.5
vnm,2002,2.6
vnm,2003,2.2
vnm,2004,2.7
vnm,2005,2.6
vnm,2006,3.1
vnm,2007,2.9
vnm,2008,3
vnm,2011,4.6
vnm,2013,4.6
vnm,2014,3.5
vnm,2015,5.3
vut,2007,4.7
vut,2013,4.6
world,1990,5
world,1995,4.9
world,2000,4.9
world,2005,5.1
world,2010,5.3
world,2011,5.3
world,2012,5.4
world,2013,5.4
world,2014,5.5
world,2015,5.6
world,2016,5.6
world,2017,5.6
wsm,1999,6.2
wsm,2014,5.4
yem,1991,8.1
yem,1996,6.9
yem,1997,3.7
yem,2003,5
yem,2011,1.5
yem,2013,2
zaf,1995,10.3
zaf,1999,10.4
zaf,2004,19.2
zaf,2008,13.3
zaf,2012,17.2
zaf,2016,13.3
zmb,1992,4.7
zmb,1996,6.2
zmb,1999,12.3
zmb,2002,5.9
zmb,2007,8.4
zmb,2013,6.2
zwe,1988,5.4
zwe,1994,6.4
zwe,1999,10.6
zwe,2005,9.1
zwe,2009,3.5
zwe,2010,5.8
zwe,2014,3.6
zwe,2015,5.6
