geo,time,ic_wrh_proc
bgd,2017,15.8
bgd,2018,15.8
bgr,2005,17
bgr,2006,17
bgr,2007,19
bgr,2008,18
bgr,2009,18
bgr,2010,18
bgr,2011,18
bgr,2012,18
bgr,2013,18
bgr,2014,18
bgr,2015,18
bgr,2016,18
bgr,2017,18
bgr,2018,18
bhr,2007,11
bhr,2008,11
bhr,2009,11
bhr,2010,11
bhr,2011,11
bhr,2012,11
bhr,2013,11
bhr,2014,11
bhr,2015,11
bhr,2016,11
bhr,2017,11
bhr,2018,11
bhs,2007,16
bhs,2008,16
bhs,2009,16
bhs,2010,16
bhs,2011,16
bhs,2012,16
bhs,2013,16
bhs,2014,16
bhs,2015,16
bhs,2016,16
bhs,2017,16
bhs,2018,16
bih,2005,14
bih,2006,14
bih,2007,14
bih,2008,16
bih,2009,16
bih,2010,16
bih,2011,16
bih,2012,16
bih,2013,16
bih,2014,16
bih,2015,16
bih,2016,16
bih,2017,16
bih,2018,16
blr,2005,22
blr,2006,22
blr,2007,23
blr,2008,23
blr,2009,21
blr,2010,21
blr,2011,21
blr,2012,20
blr,2013,20
blr,2014,20
blr,2015,20
blr,2016,20
blr,2017,20
blr,2018,15
blz,2005,16
blz,2006,16
blz,2007,16
blz,2008,16
blz,2009,16
blz,2010,16
blz,2011,16
blz,2012,16
blz,2013,16
blz,2014,16
blz,2015,16
blz,2016,16
blz,2017,16
blz,2018,16
bol,2005,10
bol,2006,10
bol,2007,10
bol,2008,10
bol,2009,10
bol,2010,10
bol,2011,10
bol,2012,10
bol,2013,12
bol,2014,12
bol,2015,13
bol,2016,13
bol,2017,13
bol,2018,13
bra,2013,19.2
bra,2014,19.2
bra,2015,19.2
bra,2016,19.2
bra,2017,19.2
bra,2018,19.2
brb,2011,9
brb,2012,9
brb,2013,9
brb,2014,9
brb,2015,9
brb,2016,9
brb,2017,9
brb,2018,9
brn,2006,23
brn,2007,23
brn,2008,20
brn,2009,20
brn,2010,20
brn,2011,20
brn,2012,20
brn,2013,20
brn,2014,20
brn,2015,20
brn,2016,23
brn,2017,20
brn,2018,20
btn,2005,22
btn,2006,22
btn,2007,22
btn,2008,22
btn,2009,22
btn,2010,22
btn,2011,22
btn,2012,22
btn,2013,22
btn,2014,22
btn,2015,22
btn,2016,21
btn,2017,21
btn,2018,21
bwa,2005,21
bwa,2006,21
bwa,2007,21
bwa,2008,21
bwa,2009,21
bwa,2010,21
bwa,2011,21
bwa,2012,21
bwa,2013,20
bwa,2014,20
bwa,2015,20
bwa,2016,19
bwa,2017,19
bwa,2018,15
caf,2005,16
caf,2006,16
caf,2007,16
caf,2008,16
caf,2009,16
caf,2010,16
caf,2011,16
caf,2012,16
caf,2013,16
caf,2014,16
caf,2015,16
caf,2016,16
caf,2017,16
caf,2018,16
can,2005,11
can,2006,11
can,2007,11
can,2008,11
can,2009,11
can,2010,11
can,2011,12
can,2012,12
can,2013,12
can,2014,12
can,2015,12
can,2016,12
can,2017,12
can,2018,12
che,2005,14
che,2006,14
che,2007,14
che,2008,14
che,2009,14
che,2010,14
che,2011,14
che,2012,13
che,2013,13
che,2014,13
che,2015,13
che,2016,13
che,2017,13
che,2018,13
chl,2005,14
chl,2006,14
chl,2007,14
chl,2008,14
chl,2009,14
chl,2010,14
chl,2011,12
chl,2012,12
chl,2013,12
chl,2014,12
chl,2015,12
chl,2016,12
chl,2017,12
chl,2018,12
chn,2013,28.6
chn,2014,28.6
chn,2015,28.6
chn,2016,28.6
chn,2017,28
chn,2018,20.4
civ,2005,24
civ,2006,24
civ,2007,24
civ,2008,24
civ,2009,25
civ,2010,24
civ,2011,24
civ,2012,24
civ,2013,24
civ,2014,24
civ,2015,24
civ,2016,25
civ,2017,21
civ,2018,21
cmr,2005,10
cmr,2006,10
cmr,2007,10
cmr,2008,10
cmr,2009,12
cmr,2010,12
cmr,2011,12
cmr,2012,12
cmr,2013,14
cmr,2014,15
cmr,2015,15
cmr,2016,15
cmr,2017,15
cmr,2018,15
cod,2005,9
cod,2006,9
cod,2007,9
cod,2008,9
cod,2009,9
cod,2010,9
cod,2011,9
cod,2012,9
cod,2013,9
cod,2014,11
cod,2015,11
cod,2016,13
cod,2017,13
cod,2018,13
cog,2005,11
cog,2006,11
cog,2007,11
cog,2008,11
cog,2009,11
cog,2010,11
cog,2011,11
cog,2012,11
cog,2013,11
cog,2014,12
cog,2015,12
cog,2016,12
cog,2017,12
cog,2018,12
col,2005,14
col,2006,15
col,2007,15
col,2008,14
col,2009,13
col,2010,13
col,2011,13
col,2012,13
col,2013,13
col,2014,13
col,2015,13
col,2016,13
col,2017,13
col,2018,13
com,2005,10
com,2006,10
com,2007,10
com,2008,10
com,2009,10
com,2010,10
com,2011,10
com,2012,10
com,2013,10
com,2014,10
com,2015,10
com,2016,10
com,2017,10
com,2018,10
cpv,2005,16
cpv,2006,16
cpv,2007,16
cpv,2008,16
cpv,2009,16
cpv,2010,16
cpv,2011,16
cpv,2012,16
cpv,2013,16
cpv,2014,16
cpv,2015,16
cpv,2016,16
cpv,2017,16
cpv,2018,16
cri,2005,23
cri,2006,23
cri,2007,23
cri,2008,23
cri,2009,23
cri,2010,23
cri,2011,23
cri,2012,21
cri,2013,17
cri,2014,17
cri,2015,17
cri,2016,17
cri,2017,17
cri,2018,17
cyp,2008,9
cyp,2009,8
cyp,2010,8
cyp,2011,8
cyp,2012,8
cyp,2013,8
cyp,2014,8
cyp,2015,8
cyp,2016,8
cyp,2017,8
cyp,2018,8
cze,2005,21
cze,2006,21
cze,2007,21
cze,2008,21
cze,2009,21
cze,2010,21
cze,2011,21
cze,2012,21
cze,2013,21
cze,2014,21
cze,2015,21
cze,2016,21
cze,2017,21
cze,2018,21
deu,2005,9
deu,2006,9
deu,2007,9
deu,2008,9
deu,2009,9
deu,2010,9
deu,2011,9
deu,2012,9
deu,2013,9
deu,2014,9
deu,2015,9
deu,2016,9
deu,2017,9
deu,2018,9
dji,2005,13
dji,2006,13
dji,2007,17
dji,2008,17
dji,2009,17
dji,2010,17
dji,2011,17
dji,2012,17
dji,2013,17
dji,2014,17
dji,2015,17
dji,2016,17
dji,2017,17
dji,2018,17
dma,2005,11
dma,2006,11
dma,2007,11
dma,2008,11
dma,2009,11
dma,2010,11
dma,2011,11
dma,2012,11
dma,2013,11
dma,2014,11
dma,2015,11
dma,2016,11
dma,2017,11
dma,2018,11
dnk,2005,7
dnk,2006,7
dnk,2007,7
dnk,2008,7
dnk,2009,7
dnk,2010,7
dnk,2011,7
dnk,2012,7
dnk,2013,7
dnk,2014,7
dnk,2015,7
dnk,2016,7
dnk,2017,7
dnk,2018,7
dom,2005,13
dom,2006,13
dom,2007,13
dom,2008,13
dom,2009,13
dom,2010,13
dom,2011,13
dom,2012,13
dom,2013,13
dom,2014,13
dom,2015,13
dom,2016,15
dom,2017,15
dom,2018,15
dza,2005,19
dza,2006,19
dza,2007,19
dza,2008,19
dza,2009,19
dza,2010,19
dza,2011,19
dza,2012,19
dza,2013,19
dza,2014,19
dza,2015,19
dza,2016,19
dza,2017,19
dza,2018,19
east_asia_pacific,2005,15.29167
east_asia_pacific,2006,15.64
east_asia_pacific,2007,15.68
east_asia_pacific,2008,15.28
east_asia_pacific,2009,14.96
east_asia_pacific,2010,14.92
east_asia_pacific,2011,15.2
east_asia_pacific,2012,15.34615
east_asia_pacific,2013,14.81379
east_asia_pacific,2014,14.91724
east_asia_pacific,2015,14.91724
east_asia_pacific,2016,14.98621
east_asia_pacific,2017,14.86207
east_asia_pacific,2018,14.49655
ecu,2005,17
ecu,2006,17
ecu,2007,17
ecu,2008,17
ecu,2009,17
ecu,2010,17
ecu,2011,17
ecu,2012,17
ecu,2013,17
ecu,2014,17
ecu,2015,17
ecu,2016,17
ecu,2017,17
ecu,2018,17
egy,2005,22
egy,2006,20
egy,2007,20
egy,2008,22
egy,2009,20
egy,2010,20
egy,2011,19
egy,2012,19
egy,2013,19
egy,2014,19
egy,2015,19
egy,2016,19
egy,2017,19
egy,2018,19
esp,2005,13
esp,2006,14
esp,2007,14
esp,2008,14
esp,2009,14
esp,2010,14
esp,2011,14
esp,2012,14
esp,2013,14
esp,2014,14
esp,2015,13
esp,2016,13
esp,2017,13
esp,2018,13
est,2005,9
est,2006,9
est,2007,9
est,2008,10
est,2009,10
est,2010,10
est,2011,10
est,2012,10
est,2013,10
est,2014,10
est,2015,10
est,2016,10
est,2017,10
est,2018,10
eth,2005,8
eth,2006,8
eth,2007,8
eth,2008,8
eth,2009,8
eth,2010,8
eth,2011,10
eth,2012,10
eth,2013,12
eth,2014,12
eth,2015,13
eth,2016,13
eth,2017,13
eth,2018,13
europe_central_asia,2005,17.5814
europe_central_asia,2006,17.11111
europe_central_asia,2007,17.11111
europe_central_asia,2008,16.76087
europe_central_asia,2009,16.31915
europe_central_asia,2010,16.06383
europe_central_asia,2011,15.63043
europe_central_asia,2012,15.46809
europe_central_asia,2013,15.2625
europe_central_asia,2014,15.26531
europe_central_asia,2015,14.91667
europe_central_asia,2016,14.63469
europe_central_asia,2017,14.53265
europe_central_asia,2018,14.32857
fin,2005,16
fin,2006,16
fin,2007,16
fin,2008,16
fin,2009,16
fin,2010,16
fin,2011,16
fin,2012,16
fin,2013,16
fin,2014,17
fin,2015,17
fin,2016,17
fin,2017,17
fin,2018,17
fji,2005,12
fji,2006,12
fji,2007,12
fji,2008,15
fji,2009,15
fji,2010,15
fji,2011,15
fji,2012,15
fji,2013,15
fji,2014,15
fji,2015,15
fji,2016,15
fji,2017,15
fji,2018,15
fra,2005,9
fra,2006,9
fra,2007,9
fra,2008,9
fra,2009,9
fra,2010,9
fra,2011,9
fra,2012,9
fra,2013,9
fra,2014,9
fra,2015,9
fra,2016,9
fra,2017,9
fra,2018,9
fsm,2005,14
fsm,2006,14
fsm,2007,14
fsm,2008,14
fsm,2009,14
fsm,2010,14
fsm,2011,14
fsm,2012,14
fsm,2013,14
fsm,2014,14
fsm,2015,14
fsm,2016,14
fsm,2017,14
fsm,2018,14
gab,2005,14
gab,2006,14
gab,2007,14
gab,2008,14
gab,2009,14
gab,2010,14
gab,2011,14
gab,2012,14
gab,2013,13
gab,2014,13
gab,2015,14
gab,2016,14
gab,2017,14
gab,2018,14
gbr,2005,17
gbr,2006,17
gbr,2007,17
gbr,2008,17
gbr,2009,9
gbr,2010,9
gbr,2011,9
gbr,2012,9
gbr,2013,9
gbr,2014,9
gbr,2015,9
gbr,2016,9
gbr,2017,9
gbr,2018,9
geo,2005,28
geo,2006,19
geo,2007,16
geo,2008,16
geo,2009,14
geo,2010,14
geo,2011,13
geo,2012,13
geo,2013,11
geo,2014,11
geo,2015,11
geo,2016,11
geo,2017,11
geo,2018,11
gha,2005,16
gha,2006,16
gha,2007,16
gha,2008,16
gha,2009,16
gha,2010,16
gha,2011,16
gha,2012,16
gha,2013,16
gha,2014,16
gha,2015,16
gha,2016,16
gha,2017,16
gha,2018,16
gin,2005,14
gin,2006,14
gin,2007,14
gin,2008,14
gin,2009,14
gin,2010,14
gin,2011,14
gin,2012,14
gin,2013,14
gin,2014,14
gin,2015,14
gin,2016,15
gin,2017,15
gin,2018,15
gmb,2005,12
gmb,2006,12
gmb,2007,12
gmb,2008,12
gmb,2009,12
gmb,2010,12
gmb,2011,12
gmb,2012,12
gmb,2013,12
gmb,2014,12
gmb,2015,12
gmb,2016,12
gmb,2017,12
gmb,2018,12
gnb,2005,13
gnb,2006,13
gnb,2007,13
gnb,2008,13
gnb,2009,13
gnb,2010,13
gnb,2011,13
gnb,2012,13
gnb,2013,13
gnb,2014,13
gnb,2015,13
gnb,2016,13
gnb,2017,13
gnb,2018,13
gnq,2005,13
gnq,2006,13
gnq,2007,13
gnq,2008,13
gnq,2009,13
gnq,2010,13
gnq,2011,13
gnq,2012,13
gnq,2013,13
gnq,2014,13
gnq,2015,13
gnq,2016,13
gnq,2017,13
gnq,2018,13
grc,2005,15
grc,2006,15
grc,2007,15
grc,2008,15
grc,2009,15
grc,2010,15
grc,2011,15
grc,2012,18
grc,2013,18
grc,2014,18
grc,2015,18
grc,2016,18
grc,2017,18
grc,2018,17
grd,2005,15
grd,2006,15
grd,2007,15
grd,2008,15
grd,2009,15
grd,2010,15
grd,2011,15
grd,2012,15
grd,2013,15
grd,2014,15
grd,2015,15
grd,2016,15
grd,2017,15
grd,2018,15
gtm,2005,18
gtm,2006,18
gtm,2007,18
gtm,2008,18
gtm,2009,17
gtm,2010,17
gtm,2011,17
gtm,2012,10
gtm,2013,10
gtm,2014,11
gtm,2015,11
gtm,2016,11
gtm,2017,11
gtm,2018,11
guy,2005,10
guy,2006,17
guy,2007,17
guy,2008,17
guy,2009,17
guy,2010,17
guy,2011,17
guy,2012,17
guy,2013,17
guy,2014,17
guy,2015,17
guy,2016,17
guy,2017,17
guy,2018,17
high_income,2005,15.0625
high_income,2006,15.2
high_income,2007,15.13208
high_income,2008,14.87037
high_income,2009,14.40741
high_income,2010,14.35185
high_income,2011,14.30357
high_income,2012,14.08772
high_income,2013,14.03051
high_income,2014,14.03051
high_income,2015,14.03051
high_income,2016,14.01356
high_income,2017,13.96271
high_income,2018,13.94576
hkg,2005,25
hkg,2006,25
hkg,2007,25
hkg,2008,18
hkg,2009,10
hkg,2010,10
hkg,2011,10
hkg,2012,11
hkg,2013,11
hkg,2014,11
hkg,2015,11
hkg,2016,11
hkg,2017,11
hkg,2018,11
hnd,2005,12
hnd,2006,12
hnd,2007,12
hnd,2008,12
hnd,2009,12
hnd,2010,17
hnd,2011,17
hnd,2012,17
hnd,2013,17
hnd,2014,17
hnd,2015,17
hnd,2016,17
hnd,2017,17
hnd,2018,17
hrv,2005,22
hrv,2006,22
hrv,2007,23
hrv,2008,23
hrv,2009,23
hrv,2010,22
hrv,2011,22
hrv,2012,22
hrv,2013,22
hrv,2014,22
hrv,2015,22
hrv,2016,22
hrv,2017,22
hrv,2018,22
hti,2005,8
hti,2006,8
hti,2007,8
hti,2008,8
hti,2009,8
hti,2010,8
hti,2011,8
hti,2012,10
hti,2013,14
hti,2014,14
hti,2015,14
hti,2016,14
hti,2017,14
hti,2018,14
hun,2005,16
hun,2006,16
hun,2007,16
hun,2008,16
hun,2009,16
hun,2010,16
hun,2011,16
hun,2012,16
hun,2013,17
hun,2014,19
hun,2015,21
hun,2016,21
hun,2017,21
hun,2018,22
idn,2013,17
idn,2014,17
idn,2015,17
idn,2016,17
idn,2017,17
idn,2018,17
ind,2013,32.5
ind,2014,32.5
ind,2015,32.5
ind,2016,32.5
ind,2017,30.1
ind,2018,17.9
irl,2005,10
irl,2006,10
irl,2007,10
irl,2008,10
irl,2009,10
irl,2010,11
irl,2011,11
irl,2012,11
irl,2013,11
irl,2014,10
irl,2015,10
irl,2016,10
irl,2017,10
irl,2018,10
irn,2005,17
irn,2006,17
irn,2007,17
irn,2008,17
irn,2009,15
irn,2010,15
irn,2011,15
irn,2012,15
irn,2013,15
irn,2014,15
irn,2015,15
irn,2016,15
irn,2017,16
irn,2018,16
irq,2005,12
irq,2006,12
irq,2007,12
irq,2008,12
irq,2009,12
irq,2010,12
irq,2011,12
irq,2012,12
irq,2013,12
irq,2014,12
irq,2015,12
irq,2016,11
irq,2017,11
irq,2018,11
isl,2005,17
isl,2006,17
isl,2007,17
isl,2008,17
isl,2009,17
isl,2010,17
isl,2011,17
isl,2012,17
isl,2013,17
isl,2014,17
isl,2015,17
isl,2016,17
isl,2017,17
isl,2018,17
isr,2005,13
isr,2006,13
isr,2007,13
isr,2008,13
isr,2009,13
isr,2010,13
isr,2011,13
isr,2012,13
isr,2013,13
isr,2014,13
isr,2015,13
isr,2016,13
isr,2017,13
isr,2018,13
ita,2005,12
ita,2006,12
ita,2007,12
ita,2008,12
ita,2009,12
ita,2010,12
ita,2011,12
ita,2012,12
ita,2013,12
ita,2014,12
ita,2015,12
ita,2016,12
ita,2017,12
ita,2018,12
jam,2005,16
jam,2006,16
jam,2007,16
jam,2008,16
jam,2009,16
jam,2010,16
jam,2011,17
jam,2012,17
jam,2013,17
jam,2014,19
jam,2015,19
jam,2016,19
jam,2017,19
jam,2018,19
jor,2005,23
jor,2006,23
jor,2007,23
jor,2008,23
jor,2009,21
jor,2010,21
jor,2011,21
jor,2012,21
jor,2013,20
jor,2014,20
jor,2015,20
jor,2016,20
jor,2017,20
jor,2018,20
jpn,2013,12
jpn,2014,12
jpn,2015,12
jpn,2016,12
jpn,2017,12
jpn,2018,12
kaz,2005,35
kaz,2006,35
kaz,2007,35
kaz,2008,35
kaz,2009,34
kaz,2010,28
kaz,2011,28
kaz,2012,28
kaz,2013,28
kaz,2014,28
kaz,2015,21
kaz,2016,18
kaz,2017,18
kaz,2018,18
ken,2005,7
ken,2006,7
ken,2007,7
ken,2008,7
ken,2009,8
ken,2010,13
ken,2011,13
ken,2012,14
ken,2013,15
ken,2014,15
ken,2015,17
ken,2016,17
ken,2017,16
ken,2018,16
kgz,2005,21
kgz,2006,21
kgz,2007,21
kgz,2008,12
kgz,2009,11
kgz,2010,11
kgz,2011,11
kgz,2012,11
kgz,2013,11
kgz,2014,11
kgz,2015,11
kgz,2016,11
kgz,2017,11
kgz,2018,11
khm,2005,20
khm,2006,20
khm,2007,20
khm,2008,20
khm,2009,20
khm,2010,20
khm,2011,20
khm,2012,20
khm,2013,20
khm,2014,20
khm,2015,20
khm,2016,20
khm,2017,20
khm,2018,20
kir,2005,14
kir,2006,14
kir,2007,15
kir,2008,15
kir,2009,15
kir,2010,15
kir,2011,15
kir,2012,15
kir,2013,15
kir,2014,15
kir,2015,15
kir,2016,15
kir,2017,15
kir,2018,15
kna,2005,11
kna,2006,11
kna,2007,11
kna,2008,11
kna,2009,11
kna,2010,11
kna,2011,11
kna,2012,11
kna,2013,11
kna,2014,11
kna,2015,11
kna,2016,11
kna,2017,11
kna,2018,11
kor,2005,9
kor,2006,9
kor,2007,9
kor,2008,9
kor,2009,9
kor,2010,9
kor,2011,10
kor,2012,10
kor,2013,10
kor,2014,10
kor,2015,10
kor,2016,10
kor,2017,10
kor,2018,10
kos,2009,14
kos,2010,14
kos,2011,14
kos,2012,14
kos,2013,13
kos,2014,14
kos,2015,14
kos,2016,14
kos,2017,14
kos,2018,12
kwt,2005,23
kwt,2006,23
kwt,2007,23
kwt,2008,23
kwt,2009,23
kwt,2010,23
kwt,2011,23
kwt,2012,23
kwt,2013,23
kwt,2014,23
kwt,2015,23
kwt,2016,23
kwt,2017,23
kwt,2018,23
lao,2005,11
lao,2006,11
lao,2007,11
lao,2008,11
lao,2009,11
lao,2010,11
lao,2011,11
lao,2012,11
lao,2013,12
lao,2014,12
lao,2015,12
lao,2016,12
lao,2017,12
lao,2018,12
lbn,2005,21
lbn,2006,21
lbn,2007,21
lbn,2008,21
lbn,2009,21
lbn,2010,21
lbn,2011,21
lbn,2012,21
lbn,2013,22
lbn,2014,22
lbn,2015,22
lbn,2016,22
lbn,2017,22
lbn,2018,22
lbr,2006,25
lbr,2007,25
lbr,2008,25
lbr,2009,25
lbr,2010,25
lbr,2011,25
lbr,2012,25
lbr,2013,25
lbr,2014,25
lbr,2015,25
lbr,2016,25
lbr,2017,25
lbr,2018,25
lca,2005,14
lca,2006,14
lca,2007,14
lca,2008,14
lca,2009,14
lca,2010,14
lca,2011,14
lca,2012,14
lca,2013,14
lca,2014,14
lca,2015,14
lca,2016,14
lca,2017,14
lca,2018,14
lka,2005,14
lka,2006,14
lka,2007,14
lka,2008,14
lka,2009,15
lka,2010,15
lka,2011,15
lka,2012,14
lka,2013,13
lka,2014,13
lka,2015,13
lka,2016,14
lka,2017,14
lka,2018,13
low_income,2005,15.27586
low_income,2006,15.26667
low_income,2007,15.26667
low_income,2008,13.96667
low_income,2009,14
low_income,2010,14.06667
low_income,2011,14.1
low_income,2012,14.3871
low_income,2013,14.56667
low_income,2014,14.63333
low_income,2015,14.7
low_income,2016,15.03448
low_income,2017,15.03448
low_income,2018,15.03448
lower_middle_income,2005,16.375
lower_middle_income,2006,16.125
lower_middle_income,2007,16.175
lower_middle_income,2008,15.925
lower_middle_income,2009,15.87805
lower_middle_income,2010,15.87805
lower_middle_income,2011,15.82927
lower_middle_income,2012,15.78571
lower_middle_income,2013,15.98511
lower_middle_income,2014,16.09149
lower_middle_income,2015,16.16809
lower_middle_income,2016,16.18936
lower_middle_income,2017,15.90851
lower_middle_income,2018,15.52128
lso,2005,11
lso,2006,11
lso,2007,11
lso,2008,11
lso,2009,11
lso,2010,11
lso,2011,11
lso,2012,11
lso,2013,11
lso,2014,11
lso,2015,11
lso,2016,11
lso,2017,10
lso,2018,10
ltu,2005,13
ltu,2006,13
ltu,2007,13
ltu,2008,13
ltu,2009,13
ltu,2010,13
ltu,2011,13
ltu,2012,13
ltu,2013,13
ltu,2014,13
ltu,2015,13
ltu,2016,13
ltu,2017,13
ltu,2018,13
lux,2006,11
lux,2007,11
lux,2008,11
lux,2009,11
lux,2010,11
lux,2011,11
lux,2012,11
lux,2013,11
lux,2014,11
lux,2015,11
lux,2016,11
lux,2017,11
lux,2018,11
lva,2005,19
lva,2006,19
lva,2007,19
lva,2008,19
lva,2009,18
lva,2010,17
lva,2011,17
lva,2012,17
lva,2013,14
lva,2014,14
lva,2015,14
lva,2016,14
lva,2017,14
lva,2018,14
mar,2005,13
mar,2006,13
mar,2007,13
mar,2008,13
mar,2009,13
mar,2010,13
mar,2011,12
mar,2012,12
mar,2013,12
mar,2014,12
mar,2015,13
mar,2016,13
mar,2017,13
mar,2018,13
mda,2005,27
mda,2006,27
mda,2007,27
mda,2008,27
mda,2009,27
mda,2010,27
mda,2011,28
mda,2012,28
mda,2013,28
mda,2014,28
mda,2015,28
mda,2016,28
mda,2017,28
mda,2018,28
mdg,2005,13
mdg,2006,13
mdg,2007,13
mdg,2008,13
mdg,2009,13
mdg,2010,13
mdg,2011,13
mdg,2012,13
mdg,2013,14
mdg,2014,16
mdg,2015,16
mdg,2016,16
mdg,2017,16
mdg,2018,16
mdv,2005,9
mdv,2006,9
mdv,2007,9
mdv,2008,9
mdv,2009,9
mdv,2010,9
mdv,2011,9
mdv,2012,9
mdv,2013,9
mdv,2014,9
mdv,2015,10
mdv,2016,10
mdv,2017,10
mdv,2018,10
mex,2013,14.7
mex,2014,14.7
mex,2015,14.7
mex,2016,14.7
mex,2017,14.7
mex,2018,14.7
mhl,2005,7
mhl,2006,7
mhl,2007,7
mhl,2008,7
mhl,2009,7
mhl,2010,7
mhl,2011,7
mhl,2012,7
mhl,2013,7
mhl,2014,7
mhl,2015,7
mhl,2016,7
mhl,2017,7
mhl,2018,7
middle_east_north_africa,2005,17.47059
middle_east_north_africa,2006,17.35294
middle_east_north_africa,2007,17.15789
middle_east_north_africa,2008,17.26316
middle_east_north_africa,2009,16.68421
middle_east_north_africa,2010,16.52632
middle_east_north_africa,2011,16.4
middle_east_north_africa,2012,16.3
middle_east_north_africa,2013,16.05263
middle_east_north_africa,2014,16.05263
middle_east_north_africa,2015,16
middle_east_north_africa,2016,16.44444
middle_east_north_africa,2017,16.5
middle_east_north_africa,2018,16.44444
mkd,2005,20
mkd,2006,20
mkd,2007,20
mkd,2008,20
mkd,2009,20
mkd,2010,20
mkd,2011,9
mkd,2012,9
mkd,2013,9
mkd,2014,9
mkd,2015,9
mkd,2016,9
mkd,2017,9
mkd,2018,9
mli,2005,12
mli,2006,11
mli,2007,11
mli,2008,11
mli,2009,13
mli,2010,13
mli,2011,13
mli,2012,13
mli,2013,13
mli,2014,13
mli,2015,13
mli,2016,13
mli,2017,13
mli,2018,13
mlt,2011,15
mlt,2012,15
mlt,2013,15
mlt,2014,15
mlt,2015,15
mlt,2016,15
mlt,2017,15
mlt,2018,14
mmr,2012,15
mmr,2013,15
mmr,2014,15
mmr,2015,15
mmr,2016,15
mmr,2017,15
mmr,2018,15
mne,2006,14
mne,2007,14
mne,2008,14
mne,2009,13
mne,2010,13
mne,2011,13
mne,2012,12
mne,2013,8
mne,2014,8
mne,2015,8
mne,2016,8
mne,2017,8
mne,2018,8
mng,2005,20
mng,2006,20
mng,2007,20
mng,2008,20
mng,2009,20
mng,2010,19
mng,2011,19
mng,2012,19
mng,2013,17
mng,2014,17
mng,2015,17
mng,2016,17
mng,2017,17
mng,2018,17
moz,2005,11
moz,2006,11
moz,2007,11
moz,2008,11
moz,2009,11
moz,2010,11
moz,2011,11
moz,2012,11
moz,2013,11
moz,2014,11
moz,2015,11
moz,2016,11
moz,2017,11
moz,2018,11
mrt,2005,17
mrt,2006,17
mrt,2007,17
mrt,2008,17
mrt,2009,17
mrt,2010,17
mrt,2011,13
