geo,time,se_ter_cuat_ba_ma_zs
fin,2015,21.40597
fin,2017,22.37593
fji,2017,5.36855
fra,2014,17.1956
fra,2015,18.23992
fra,2016,18.01445
fra,2017,18.52349
gbr,2013,28.16554
gbr,2014,28.83021
gbr,2017,33.10987
geo,2012,30.57176
geo,2014,30.80356
geo,2016,32.46697
geo,2017,33.58703
gin,2014,7.51267
grc,2014,23.65071
grc,2015,23.84809
grc,2016,20.59687
grl,2012,7.785
grl,2014,7.85318
grl,2015,7.82994
grl,2018,7.67364
gtm,2012,2.52267
gtm,2013,2.63075
gtm,2014,8.39351
hnd,2007,4.86182
hnd,2011,5.39176
hnd,2012,4.51394
hnd,2014,6.15979
hnd,2015,9.33251
hnd,2016,10.75093
hnd,2018,9.20921
hun,2013,17.75887
hun,2014,19.08339
hun,2015,19.63453
hun,2016,19.44995
idn,2014,8.26311
idn,2015,8.90722
idn,2016,9.10895
idn,2018,9.52832
ind,2011,11.4853
irl,2011,24.47836
irl,2017,28.52588
irn,2012,15.2258
irn,2013,16.45579
irn,2014,16.84403
irn,2016,17.81062
isr,2013,29.20918
isr,2014,30.40532
isr,2015,30.81226
jam,2011,5.17359
jpn,2010,29.13671
kaz,2009,21.09494
kaz,2018,32.02768
kgz,2009,14.90925
kor,2010,29.32157
kor,2015,33.44624
kwt,2013,7.26407
kwt,2015,7.67326
kwt,2017,8.36429
kwt,2018,8.7884
lka,2016,3.91711
lka,2017,4.18139
lka,2018,3.99966
ltu,2013,23.47201
ltu,2014,27.69338
ltu,2015,28.99712
ltu,2016,29.4245
ltu,2017,30.20659
lva,2013,21.70098
lva,2014,20.37794
lva,2015,20.57114
lva,2016,21.85717
lva,2018,22.80946
mda,2013,17.54194
mda,2014,18.02816
mda,2015,17.22219
mda,2018,18.16122
mex,2010,14.06939
mex,2013,15.86966
mex,2014,15.22827
mex,2015,16.0893
mex,2016,16.08628
mex,2017,16.96622
mex,2018,17.32987
mhl,2011,4.59619
mli,2015,2.74022
mli,2016,2.57162
mli,2018,3.59565
mlt,2013,13.73649
mlt,2014,14.28562
mlt,2015,13.68068
mlt,2016,13.73282
mlt,2018,18.63371
mng,2010,20.45298
moz,2017,2.41806
mys,2016,10.35452
ner,2012,1.62222
nga,2006,11.46108
nld,2013,29.97695
nld,2014,30.50044
nld,2015,31.26859
nld,2016,31.43504
nld,2018,32.72323
nor,2014,21.66801
nor,2015,22.39492
nor,2016,22.84095
nor,2017,23.36053
npl,2011,7.50907
nzl,2014,24.90021
nzl,2015,24.00232
nzl,2016,26.02067
omn,2003,9.76152
omn,2010,11.6994
omn,2015,10.20955
pak,1972,4.92035
pak,1981,2.95976
pak,2005,5.81881
pak,2006,8.85767
pak,2008,8.35774
pak,2009,8.65886
pak,2010,9.00116
pak,2011,9.94178
pan,2010,13.42476
phl,2010,14.79566
phl,2013,14.71033
phl,2017,13.19266
pol,2013,20.18659
pol,2014,21.18971
pol,2016,21.86299
pri,2012,12.70763
pri,2017,6.13216
prt,1970,2.54221
prt,1981,4.92179
prt,1991,8.1937
prt,1998,6.19175
prt,1999,6.62805
prt,2000,6.61154
prt,2001,6.6409
prt,2002,6.34498
prt,2003,7.59972
prt,2004,8.86961
prt,2005,9.11633
prt,2006,9.71246
prt,2007,9.54699
prt,2008,9.81828
prt,2009,10.23878
prt,2010,10.62654
prt,2011,12.39848
prt,2012,13.37415
prt,2013,13.35414
prt,2014,14.67996
prt,2015,15.36165
prt,2016,16.11986
prt,2017,16.12137
prt,2018,15.38758
pry,2012,7.43023
pry,2013,10.29311
pry,2014,9.64675
pry,2015,10.16619
pry,2016,9.79239
pry,2018,10.21122
pse,2013,17.3851
pse,2014,17.45153
pse,2015,17.65656
pse,2016,17.74655
pse,2018,18.08782
qat,2004,17.46792
qat,2007,23.16628
qat,2008,18.63437
qat,2009,16.11757
qat,2010,13.56553
qat,2011,15.86811
qat,2012,17.90074
qat,2013,17.07414
qat,2014,16.64463
qat,2016,15.2411
qat,2017,15.20561
rou,2013,0
rou,2014,13.3149
rus,2010,57.0916
rwa,2012,2.90443
rwa,2014,3.27778
rwa,2018,4.96331
sau,2004,14.99774
sau,2013,19.64928
sau,2017,25.40276
sen,2011,3.2941
sen,2013,4.54188
sen,2017,4.79442
sgp,2006,22.27472
sgp,2007,22.53796
sgp,2008,24.28256
sgp,2009,24.9711
sgp,2010,25.91203
sgp,2011,26.50612
sgp,2012,28.09944
sgp,2013,29.71894
sgp,2014,30.20611
sgp,2015,30.47409
sgp,2016,31.13059
sgp,2017,33.25022
sgp,2018,34.03776
slv,2013,6.70117
slv,2016,7.87429
slv,2017,7.35815
smr,2018,13.89898
srb,2011,11.82972
srb,2013,12.00942
srb,2014,12.7228
srb,2015,13.2749
srb,2016,13.96994
srb,2017,14.39853
ssd,2008,4.38824
stp,2012,4.3865
sur,2012,8.19631
svk,2011,18.48863
svk,2014,17.52118
svk,2015,17.96073
svk,2016,18.29352
svk,2017,19.24809
svn,2014,16.19813
svn,2015,16.04278
svn,2016,16.6322
svn,2017,17.62895
swe,2013,19.00212
swe,2014,19.32469
swe,2015,19.61249
swe,2016,19.92056
swe,2017,20.21884
tcd,2009,1.50915
tha,2013,12.03126
tha,2016,13.21927
tha,2018,13.14082
tjk,2017,16.9404
tto,2011,5.35102
uga,2008,1.68412
uga,2010,3.79468
uga,2012,2.34344
ury,2013,6.75684
ury,2014,6.73386
ury,2015,7.94325
ury,2016,7.48962
ury,2017,8.541
ury,2018,8.76036
usa,2013,31.95309
usa,2014,31.90644
usa,2015,32.31336
usa,2016,33.16484
usa,2018,34.64287
uzb,2013,17.85826
uzb,2014,18.16303
uzb,2015,18.35397
uzb,2016,20.79156
uzb,2018,20.00035
ven,2011,14.58171
ven,2015,16.91846
ven,2016,20.67715
zaf,2015,6.45241
zaf,2017,8.28277
zwe,2012,4.50469
zwe,2017,4.14393
