geo,time,ne_rsb_gnfs_cn
are,2013,513176999999.99994
are,2014,453474000000
are,2015,348800000000
are,2016,331200000000
are,2017,342499999999.99994
are,2018,408850000000
are,2019,370830000000
arg,1960,0
arg,1961,0
arg,1962,-0.01
arg,1963,0
arg,1964,0
arg,1965,0.01
arg,1966,0.01
arg,1967,0.02
arg,1968,0.01
arg,1969,0
arg,1970,0.01039
arg,1971,-0.01
arg,1972,0.01
arg,1973,0.09
arg,1974,0.04
arg,1975,-0.03
arg,1976,3.33
arg,1977,6.5
arg,1978,20.5
arg,1979,3.5
arg,1980,-54.60001
arg,1981,-33.70001
arg,1982,561.5
arg,1983,3630
arg,1984,22410
arg,1985,289800
arg,1986,183500
arg,1987,69400
arg,1988,3687000
arg,1989,210182000
arg,1990,3947999744
arg,1991,2889000000
arg,1992,-3477999600
arg,1993,-5686640000
arg,1994,-7914860000
arg,1995,-1059485000
arg,1996,-1767000000
arg,1997,-6485300000
arg,1998,-7530100000
arg,1999,-4900400000
arg,2000,-1846455600
arg,2001,3508536600
arg,2002,46925977600
arg,2003,42166286700
arg,2004,33970641400
arg,2005,34605578200
arg,2006,40233171000
arg,2007,39290691700
arg,2008,42756802599.99999
arg,2009,63205660800
arg,2010,48133965800
arg,2011,36874824999.9999
arg,2012,51417598199.9999
arg,2013,-3334320100.00006
arg,2014,18506997500
arg,2015,-64006346900.0001
arg,2016,-85547970100.00009
arg,2017,-291442262099.99994
arg,2018,-312477856100
arg,2019,473443378400.00006
arm,1990,-5700000
arm,1991,-15440000
arm,1992,-66490000
arm,1993,-570970000
arm,1994,-63178000000
arm,1995,-199810000000
arm,1996,-216543000000
arm,1997,-305656999999.99994
arm,1998,-323267999999.99994
arm,1999,-286793000000
arm,2000,-287851600000
arm,2001,-253666700000
arm,2002,-249608700000
arm,2003,-310069100000.00006
arm,2004,-318419800000.00006
arm,2005,-347945799999.99994
arm,2006,-444597700000
arm,2007,-648636899999.99988
arm,2008,-928127000000
arm,2009,-877539600000
arm,2010,-870107600000
arm,2011,-921410600000
arm,2012,-888844499999.99988
arm,2013,-903744900000.00012
arm,2014,-892398099999.99988
arm,2015,-612159500000
arm,2016,-487568400000
arm,2017,-677262000000.00012
arm,2018,-941787500000.00012
arm,2019,-945126599999.99988
asm,2002,-41000000
asm,2003,-58000000
asm,2004,-107000000
asm,2005,-116000000
asm,2006,-139000000
asm,2007,-116000000
asm,2008,-113000000
asm,2009,-26000000
asm,2010,-173000000
asm,2011,-224000000
asm,2012,-161000000
asm,2013,-184000000
asm,2014,-253000000
asm,2015,-231000000
asm,2016,-208000000
asm,2017,-254000000
asm,2018,-194000000
atg,1977,-8800000
atg,1978,7180000
atg,1979,15770000
atg,1980,-57570000
atg,1981,-75110000
atg,1982,-146430000
atg,1983,-62590000
atg,1984,-48070000
atg,1985,-95900000
atg,1986,-236440000
atg,1987,-205630000
atg,1988,-49340000
atg,1989,-129530000
atg,1990,12800000
atg,1991,32380000
atg,1992,56190000
atg,1993,110120000
atg,1994,39240000
atg,1995,-100760000
atg,1996,-175080000
atg,1997,-94500000
atg,1998,-64860000
atg,1999,-152530000
atg,2000,-85319000
atg,2001,-111345000
atg,2002,-125750700
atg,2003,-194705800
atg,2004,-157586300
atg,2005,-371118100
atg,2006,-729657100
atg,2007,-947923600
atg,2008,-882465900
atg,2009,-391104700
atg,2010,-418759200
atg,2011,-279752300
atg,2012,-428353900
atg,2013,-473127700
atg,2014,-410000000
atg,2015,-184195900
atg,2016,-210094500
aus,1960,-177000000
aus,1961,-460000000
aus,1962,233000000
aus,1963,-159000000
aus,1964,249000000
aus,1965,-474000000
aus,1966,-535000000
aus,1967,-274000000
aus,1968,-638000000
aus,1969,-451000000
aus,1970,-90000000
aus,1971,-111000000
aus,1972,379000000
aus,1973,1559000000
aus,1974,-39000000
aus,1975,-323000000
aus,1976,116000000
aus,1977,-606000000
aus,1978,-1013000000
aus,1979,-1243000000
aus,1980,708000000
aus,1981,-2787000000
aus,1982,-5781000000
aus,1983,-3844000000
aus,1984,-3048000000
aus,1985,-4815000000
aus,1986,-7993000000
aus,1987,-4570000000
aus,1988,-2140000000
aus,1989,-6739000000.00001
aus,1990,-7782999999.99999
aus,1991,-550000000.00001
aus,1992,1151000000
aus,1993,-1423000000
aus,1994,-2401000000
aus,1995,-9732000000
aus,1996,-2394999999.99998
aus,1997,1526000000
aus,1998,-5171000000.00002
aus,1999,-15174000000
aus,2000,-14279000000
aus,2001,608000000
aus,2002,-61000000
aus,2003,-16868000000
aus,2004,-23370000000
aus,2005,-25282000000
aus,2006,-18099000000
aus,2007,-17866000000
aus,2008,-29986000000
aus,2009,2668000000
aus,2010,-13398000000
aus,2011,13686000000
aus,2012,-3729000000
aus,2013,-19912000000
aus,2014,-6835000000
aus,2015,-24770000000
aus,2016,-37790000000
aus,2017,10871000000
aus,2018,7715000000
aus,2019,50159000000
aut,1970,-22330900
aut,1971,-100447800
aut,1972,-161085800
aut,1973,-259581100
aut,1974,-640053500
aut,1975,-207812300
aut,1976,-1350455000
aut,1977,-2705340600
aut,1978,-941526500
aut,1979,-1117438100
aut,1980,-2653144000
aut,1981,-1969236300
aut,1982,-560309200
aut,1983,-1427064900
aut,1984,-1060712000
aut,1985,-250933000
aut,1986,-21061700
aut,1987,-47132300
aut,1988,-503345900
aut,1989,-650084900
aut,1990,-128663300
aut,1991,-1279149700
aut,1992,-2055846900
aut,1993,-542736800
aut,1994,-2821585100
aut,1995,-2102210000
aut,1996,-2893490000
aut,1997,-1531540000
aut,1998,-441990000
aut,1999,925350000
aut,2000,2845350000
aut,2001,3745500000
aut,2002,8367900000
aut,2003,6384210000
aut,2004,7130090000
aut,2005,8144880000
aut,2006,9628360000
aut,2007,12462330000
aut,2008,12996140000
aut,2009,9656970000
aut,2010,10369770000
aut,2011,8666710000
aut,2012,8906910000
aut,2013,9121870000
aut,2014,10892620000
aut,2015,12912870000
aut,2016,13697100000
aut,2017,12227780000
aut,2018,14354070000
aut,2019,14825090000
aze,1990,13600
aze,1991,23800
aze,1992,1523500
aze,1993,-5829600
aze,1994,-22133900
aze,1995,-446400000
aze,1996,-846900000
aze,1997,-758300000
aze,1998,-1095100000
aze,1999,-524200000
aze,2000,84600000
aze,2001,222300000
aze,2002,-441500000
aze,2003,-1682200000
aze,2004,-2041200000
aze,2005,1257300000
aze,2006,5201300000
aze,2007,11235300000
aze,2008,16981800000
aze,2009,10156200000
aze,2010,14278200000
aze,2011,16846400000
aze,2012,15156500000
aze,2013,12890700000
aze,2014,10070100000
aze,2015,1624900000
aze,2016,1678600000
aze,2017,4708000000
aze,2018,13224800000
aze,2019,10059300000
bdi,1960,-87500100
bdi,1961,-175000000
bdi,1962,-350000000
bdi,1963,-787500000
bdi,1964,262499900
bdi,1965,-293300000
bdi,1966,-320800000
bdi,1967,-169300000
bdi,1968,-492300000
bdi,1969,-405400000
bdi,1970,-198000000
bdi,1971,-1269000000
bdi,1972,-721400000
bdi,1973,-564200000
bdi,1974,-1571700000
bdi,1975,-3556000000
bdi,1976,-1131800000
bdi,1977,149900000
bdi,1978,-4678500000
bdi,1979,-6028000000
bdi,1980,-11988100000
bdi,1981,-11245700000
bdi,1982,-15224600000
bdi,1983,-15805500000
bdi,1984,-14237600000
bdi,1985,-13546394700
bdi,1986,-14532881600
bdi,1987,-22359872600
bdi,1988,-20306057600
bdi,1989,-23326225500
bdi,1990,-38585900000.00001
bdi,1991,-39387187200
bdi,1992,-46761849100
bdi,1993,-40518511399.99999
bdi,1994,-42560579600
bdi,1995,-35860475900.00001
bdi,1996,-26133934100
bdi,1997,-15784000000
bdi,1998,-45785000000
bdi,1999,-38200000000
bdi,2000,-62204999999.99999
bdi,2001,-77214000000
bdi,2002,-94510000000
bdi,2003,-124139000000
bdi,2004,-178052000000
bdi,2005,-274271388000.00003
bdi,2006,-364152199999.99994
bdi,2007,-369742190000.00012
bdi,2008,-500718399999.99994
bdi,2009,-495281100000.00006
bdi,2010,-502710499999.99994
bdi,2011,-716161700000
bdi,2012,-817891400000
bdi,2013,-1082750499999.99976
bdi,2014,-1111152999999.99976
bdi,2015,-1028465999999.99988
bdi,2016,-902978700000.00012
bdi,2017,-1069963000000
bdi,2018,-1104986300000
bdi,2019,-1311783124799.99976
bel,1970,723368800
bel,1971,707496400
bel,1972,1242383500
bel,1973,885601600
bel,1974,278988700
bel,1975,184620700
bel,1976,199408400
bel,1977,-488005800
bel,1978,-623900400
bel,1979,-1460897300
bel,1980,-2593483400
bel,1981,-2018777300
bel,1982,-1792765800
bel,1983,437261300
bel,1984,709138200
bel,1985,1309995400
bel,1986,2975927700
bel,1987,2511472300
bel,1988,3540425000
bel,1989,3523535100
bel,1990,2992905800
bel,1991,3330819100
bel,1992,4768915400
bel,1993,6172376000
bel,1994,7347632500
bel,1995,8104200000
bel,1996,6797200000
bel,1997,8704600000
bel,1998,8466500000
bel,1999,9586000000
bel,2000,7344300000
bel,2001,9640500000
bel,2002,15240700000
bel,2003,15065200000
bel,2004,14526800000
bel,2005,12515000000
bel,2006,13144200000
bel,2007,14209200000
bel,2008,2366500000
bel,2009,7837100000
bel,2010,6182300000
bel,2011,-372200000
bel,2012,243100000
bel,2013,3134600000
bel,2014,3299800000
bel,2015,5908900000
bel,2016,5136100000
bel,2017,6221000000
bel,2018,-750300000
bel,2019,780700000
ben,1960,-3320164600
ben,1961,-2861761000
ben,1962,-3731539700
ben,1963,-4855705900
ben,1964,-4697874700
ben,1965,-5426544200
ben,1966,-6958116900
ben,1967,-9119891900
ben,1968,-7870134800
ben,1969,-8301760500
ben,1970,-8561995800
ben,1971,-9269646300
ben,1972,-12839740500
ben,1973,-11565981700
ben,1974,-20263702500
ben,1975,-27394576400
ben,1976,-30101489700
ben,1977,-34278055900
ben,1978,-37770313700
ben,1979,-49219366900
ben,1980,-63850319900.00001
ben,1981,-98334167000
ben,1982,-92965388300.00002
ben,1983,-74353270799.99998
ben,1984,-52142276600.00001
ben,1985,-61055123400
ben,1986,-73752420400
ben,1987,-73641779200
ben,1988,-88213839899.99998
ben,1989,-54200188900
ben,1990,-39262200000
ben,1991,-52338792400
ben,1992,-61001680900.00011
ben,1993,-67324822099.99999
ben,1994,-68731024800.00011
ben,1995,-98141137899.99986
ben,1996,-42517820199.9999
ben,1997,-57715237800
ben,1998,-78325054400.00002
ben,1999,-189503124600.00003
ben,2000,-153434118300
ben,2001,-228773681100
ben,2002,-125558151500.00002
ben,2003,-134244179299.99998
ben,2004,-93879194200.00011
ben,2005,-73712020300.00011
ben,2006,-134455320099.99998
ben,2007,-196596941700
ben,2008,-152521082800
ben,2009,-221979230200.00003
ben,2010,-249431314300
ben,2011,-278049956100
ben,2012,-167421366900
ben,2013,-250953853200
ben,2014,-157856428700
ben,2015,-492533000000
ben,2016,-264332000000.00003
ben,2017,-521095146840
ben,2018,-574086502180.5
ben,2019,-372728775364.44995
bfa,1960,-8894246100
bfa,1961,-8900349900
bfa,1962,-9461720600
bfa,1963,-9741066200
bfa,1964,-8766685400
bfa,1965,-6968804300
bfa,1966,-7031969300
bfa,1967,-9978400200
bfa,1968,-10353256900
bfa,1969,-13323126300
bfa,1970,-13540301300
bfa,1971,-19154309100
bfa,1972,-21711843300
bfa,1973,-24977997800
bfa,1974,-29203305500
bfa,1975,-45935972400
bfa,1976,-43876108300
bfa,1977,-62484523000.00001
bfa,1978,-67535171600
bfa,1979,-78242379800
bfa,1980,-90921140200
bfa,1981,-106927312899.99998
bfa,1982,-135069712399.99998
bfa,1983,-132268175299.99998
bfa,1984,-113527062499.99998
bfa,1985,-147200000000
bfa,1986,-140899991600
bfa,1987,-119099998200
bfa,1988,-125699997700.00002
bfa,1989,-124299993100.00002
bfa,1990,-113900003299.99998
bfa,1991,-114100002800.00002
bfa,1992,-94900002800.00002
bfa,1993,-106200006600
bfa,1994,-113919000600
bfa,1995,-148067008500
bfa,1996,-225638989900
bfa,1997,-225599979500
bfa,1998,-253567991799.99997
bfa,1999,-386921211100.00012
bfa,2000,-367526241200
bfa,2001,-317079514299.99994
bfa,2002,-341293058499.99994
bfa,2003,-327902479800.00006
bfa,2004,-394369768399.99994
bfa,2005,-469530337699.99988
bfa,2006,-451265511900
bfa,2007,-477506689400
bfa,2008,-635954227800
bfa,2009,-565266166600
bfa,2010,-402252494900.00006
bfa,2011,-290689885899.99994
bfa,2012,-515770011100.00012
bfa,2013,-656170194399.99988
bfa,2014,-341438841000
bfa,2015,-480850000000
bfa,2016,-460966092200
bfa,2017,-522490736199.99988
bfa,2018,-364143310000.00006
bfa,2019,-435588586400
bgd,1960,141466900
bgd,1961,-212199900
bgd,1962,-14962700
bgd,1963,-427120900
bgd,1964,-1058280400
bgd,1965,-1050119000
bgd,1966,-731818900
bgd,1967,-1145337000
bgd,1968,-1176623100
bgd,1969,-1430991400
bgd,1970,-1810503100
bgd,1971,-1863553300
bgd,1972,-3040176500
bgd,1973,-3344874700
bgd,1974,-6625816700
bgd,1975,-8985863600
bgd,1976,-19365991600
bgd,1977,-7973831700
bgd,1978,-19927779100
bgd,1979,-22952992100
bgd,1980,-34784517800
bgd,1981,-29731000000
bgd,1982,-38819000000
bgd,1983,-38112000000
bgd,1984,-47393000000
bgd,1985,-43172000000
bgd,1986,-43458000000
bgd,1987,-50525000000
bgd,1988,-56568000000
bgd,1989,-66935000000.00001
bgd,1990,-74328999999.99998
bgd,1991,-61499000000.00001
bgd,1992,-56910000000
bgd,1993,-63776000000
bgd,1994,-65848000000
bgd,1995,-98835000000
bgd,1996,-126553999999.99998
bgd,1997,-108868000000
bgd,1998,-99064000000
bgd,1999,-120065999999.99998
bgd,2000,-124406000000.00002
bgd,2001,-155134000000.00003
bgd,2002,-130345999999.99998
bgd,2003,-167040000000
bgd,2004,-174982000000.00003
bgd,2005,-239642000000
bgd,2006,-260703000000
bgd,2007,-327224999999.99994
bgd,2008,-459139000000
bgd,2009,-438028000000
bgd,2010,-458952999999.99994
bgd,2011,-693895999999.99988
bgd,2012,-821766000000
bgd,2013,-865701000000
bgd,2014,-878059000000
bgd,2015,-1123611000000
bgd,2016,-806625000000
bgd,2017,-1033704000000
bgd,2018,-1945084000000
bgd,2019,-1554170000000
bgr,1980,1294500
bgr,1981,310400
bgr,1982,309400
bgr,1983,62200
bgr,1984,597000
bgr,1985,-132700
bgr,1986,-1182900
bgr,1987,-671100
bgr,1988,-126700
bgr,1989,-687800
bgr,1990,-1638000
bgr,1991,5800000
bgr,1992,-11700000
bgr,1993,-22800000
bgr,1994,-3285000
bgr,1995,120122000
bgr,1996,244376000
bgr,1997,2414947000
bgr,1998,1809202000
bgr,1999,-1145811000
bgr,2000,-1492866000
bgr,2001,-2887567000
bgr,2002,-2716981000
bgr,2003,-3729737000
bgr,2004,-4594199000
bgr,2005,-6890414000
bgr,2006,-9162596000
bgr,2007,-11951243000
bgr,2008,-14375221000
bgr,2009,-6041090000
bgr,2010,-2130594000
bgr,2011,303784000
bgr,2012,-2619234000
bgr,2013,-365221000
bgr,2014,-821023000
bgr,2015,854209000
bgr,2016,4709613000
bgr,2017,4435613000
bgr,2018,2837636000
bgr,2019,4064113000
bhr,1980,102700100
bhr,1981,144999900
bhr,1982,167300100
bhr,1983,52399800
bhr,1984,38800000
bhr,1985,163800100
bhr,1986,159500000
bhr,1987,190900000
bhr,1988,248400000
bhr,1989,160000000
bhr,1990,333199800
bhr,1991,-184600100
bhr,1992,-220800000
bhr,1993,61500000
bhr,1994,150900000
bhr,1995,253300000
bhr,1996,268699900
bhr,1997,228500100
bhr,1998,16699900
bhr,1999,395900000
bhr,2000,768500000
bhr,2001,681600000
bhr,2002,500800000
bhr,2003,667700000
bhr,2004,814500000
bhr,2005,1169300000
bhr,2006,1542800000
bhr,2007,1762700000
bhr,2008,1863100000
bhr,2009,1635900000
bhr,2010,1798500000
bhr,2011,2670600000
bhr,2012,2128100000
bhr,2013,2170100000
bhr,2014,2075600000
bhr,2015,1317300000
bhr,2016,1064300000
bhr,2017,1130100000
bhr,2018,1094300000
bhs,1977,117700000
bhs,1978,126100000
bhs,1979,98800000
bhs,1980,100200000
bhs,1981,71500000
bhs,1982,98400000
bhs,1983,148200000
bhs,1984,107800000
bhs,1985,128100000
bhs,1986,146200000
bhs,1987,149800000
bhs,1989,-102190000
bhs,1990,-56940000
bhs,1991,-131180000
bhs,1992,-30080000
bhs,1993,17730000
bhs,1994,-76880000
bhs,1995,-184040000
bhs,1996,-353010000
bhs,1997,-378300000
bhs,1998,-574800000
bhs,1999,-214300000
bhs,2000,-286700000
bhs,2001,-362300000
bhs,2002,184100000
bhs,2003,49400000
bhs,2004,38800000
bhs,2005,-381300000
bhs,2006,-1111500000
bhs,2007,-831300000
bhs,2008,-888600000
bhs,2009,-812500000
bhs,2010,-885300000
bhs,2011,-1355800000
bhs,2012,-857300000
bhs,2013,-563300000
bhs,2014,-1218000000
bhs,2015,-329000000
bhs,2016,-223800000
bhs,2017,-808100000
bhs,2018,-644800000
bih,1994,-1443420000
bih,1995,-1365744300
bih,1996,-2526559100
bih,1997,-2862972000
bih,1998,-5147712800
bih,1999,-5723807700
bih,2000,-5471708900
bih,2001,-5972631600
bih,2002,-6438205400
bih,2003,-7670248400
bih,2004,-6514200000
bih,2005,-7060600000
bih,2006,-5616000000
bih,2007,-6617515000
bih,2008,-8285294000
bih,2009,-5884376000
bih,2010,-5473029000
bih,2011,-6233703000
bih,2012,-6147659000
bih,2013,-5474956000
bih,2014,-6197730000
bih,2015,-5276441000
bih,2016,-4979992000
bih,2017,-5087030000
bih,2018,-5010155000
bih,2019,-5455384000
blr,1990,10
blr,1991,0
blr,1992,200
blr,1993,-15500
blr,1994,-228400
blr,1995,-532700
blr,1996,-781800
blr,1997,-2126300
blr,1998,-3409300
blr,1999,-7348600
blr,2000,-29114200
blr,2001,-60960000
blr,2002,-97940900
blr,2003,-140010000
blr,2004,-318140000
blr,2005,46280000
blr,2006,-330740000
blr,2007,-609010000
blr,2008,-1002500000
blr,2009,-1546340000
blr,2010,-2245410000
blr,2011,-320620000
blr,2012,2447050000
blr,2013,-2111869999.99999
blr,2014,-619990000.00002
blr,2015,95940000.00001
blr,2016,-181000000
blr,2017,223600000
blr,2018,1854799999.99998
blr,2019,-637699999.99998
blz,1980,-49252163.94783
blz,1981,-77328968.77235
blz,1982,-73309936.63924
blz,1983,-55963262.32423
blz,1984,-34398541.02997
blz,1985,-50792765.62018
blz,1986,-16609198.7202
blz,1987,-18611216.72053
blz,1988,-42590931.87783
blz,1989,-78542294.0936
blz,1990,-19007670.56542
blz,1991,388000000
blz,1992,-33165300
blz,1993,-39119500
blz,1994,-30278100
blz,1995,-14263200
blz,1996,-3366700
blz,1997,-38314900
blz,1998,-59890400
blz,1999,-190989900
blz,2000,-344491500
blz,2001,-317894400
blz,2002,-253048500
blz,2003,-252568300
blz,2004,-168257300
blz,2005,-179046700
blz,2006,-12611300
blz,2007,-3194700
blz,2008,-199318700
blz,2009,-122978700
blz,2010,11233700
blz,2011,-49948600
blz,2012,19774100
blz,2013,-38940900
blz,2014,-98223800
blz,2015,-256704100
blz,2016,-319845700
blz,2017,-127038500
blz,2018,-11435700
blz,2019,-11487100
bmu,2009,927734000
bmu,2010,970636000
bmu,2011,1043222000
bmu,2012,1002653000
bmu,2013,1007490000
bol,1960,-346
bol,1961,-338
bol,1962,-557
bol,1963,-537
bol,1964,-205
bol,1965,-375
bol,1966,-415
bol,1967,-316
bol,1968,-434
bol,1969,-313
bol,1970,29
bol,1971,-392
bol,1972,-486
bol,1973,-153
bol,1974,3570
bol,1975,-3021
bol,1976,-1208
bol,1977,-1854
bol,1978,-5650
bol,1979,-2906
bol,1980,2000
bol,1981,1000
bol,1982,-1000
bol,1983,54000
bol,1984,-419000
bol,1985,-89747000
bol,1986,-333562000
bol,1987,-389692000
bol,1988,-472348000
bol,1989,-83558000
bol,1990,-177490000
bol,1991,-1049641000
bol,1992,-1985517000
bol,1993,-2276052000
bol,1994,-1529458000
bol,1995,-1494142000
bol,1996,-1761426000
bol,1997,-3434977000
bol,1998,-6032492000
bol,1999,-5011352000
bol,2000,-4698637000
bol,2001,-2842025000
bol,2002,-3447051000
bol,2003,-474416000
bol,2004,3350767000
bol,2005,2660668000
bol,2006,8262421000
bol,2007,7755975000
bol,2008,8383499000
bol,2009,3430474000.00002
bol,2010,9462794000.00001
bol,2011,9480199999.99999
bol,2012,17561833000
bol,2013,14732577000
bol,2014,3013537999.99998
bol,2015,-14129401000
bol,2016,-17414143000
bol,2017,-17874322000
bol,2018,-14287897000
bol,2019,-18262961000
bra,1960,0
bra,1961,0
bra,1962,-0.00004
bra,1963,0
bra,1964,0.00007
bra,1965,0.00033
bra,1966,0.00018
bra,1967,0
bra,1968,-0.00026
bra,1969,0.00004
bra,1970,-0.0003
bra,1971,-0.00163
bra,1972,-0.002
bra,1973,-0.00217
bra,1974,-0.01523
bra,1975,-0.0145
bra,1976,-0.0142
bra,1977,-0.00603
bra,1978,-0.01568
bra,1979,-0.0452
bra,1980,-0.10146
bra,1981,-0.03382
bra,1982,-0.12218
bra,1983,1.02909
bra,1984,7.8948
bra,1985,25.9042
bra,1986,32.7834
bra,1987,137.06601
bra,1988,1635.4801
bra,1989,14761.09961
bra,1990,143000
bra,1991,460000
bra,1992,15916000
bra,1993,198378000
bra,1994,-10000000
bra,1995,-13602409300
bra,1996,-18592579600
bra,1997,-24839151300
bra,1998,-23831740000
bra,1999,-20148421700
bra,2000,-27143431700
bra,2001,-28852723800
bra,2002,12547843500
bra,2003,38158816899.99999
bra,2004,66823345500
bra,2005,73818612300
bra,2006,65222188300.00001
bra,2007,37070079500
bra,2008,-5895203800
bra,2009,-13439925800
bra,2010,-40451999999.9999
bra,2011,-33671000000
bra,2012,-65440999999.99999
bra,2013,-122708000000
bra,2014,-153808000000
bra,2015,-69147000000.00002
bra,2016,25055999999.9999
bra,2017,47297000000
bra,2018,26290283000
bra,2019,-24077458999.9999
brb,1975,-81456000
brb,1976,-159896000
brb,1977,-114371000
brb,1978,-114305000
brb,1979,-144400000
brb,1980,-33100000
brb,1981,-176900000
brb,1982,-52500000
brb,1983,24200000
brb,1984,109300000
brb,1985,185100000
brb,1986,5200000
brb,1987,2100000
brb,1988,105300000
brb,1989,58600000
brb,1990,-9800000
brb,1991,-34700000
brb,1992,264000000
brb,1993,186200000
brb,1994,306800000
brb,1995,81400000
brb,1996,122000000
brb,1997,-139100000
brb,1998,-184600000
brb,1999,-286100000
brb,2000,-251300000
brb,2001,-269900000
brb,2002,-341700000
brb,2003,-268000000
brb,2004,-597500000
brb,2005,-610100000
brb,2006,-536353700
brb,2007,-188867300
brb,2008,-483007400
brb,2009,-198574200
brb,2010,-270937600
brb,2011,-422393900
brb,2012,-419149300
brb,2013,-366960600
brb,2014,-441921700
brb,2015,-155127500
brb,2016,96364900
brb,2017,146242400
brb,2018,160967100
brb,2019,33813700
brn,1974,1902000000
brn,1975,1846000000
brn,1976,2651000000
brn,1977,3320000000
brn,1978,3556000000
brn,1979,4934000000
brn,1980,8622000000
brn,1981,7327000000
brn,1982,6581000000
brn,1983,5629000000
brn,1989,1549000000
brn,1990,1566000000
brn,1991,1695000000
brn,1992,679000000
brn,1993,199000000
brn,1994,167000000
brn,1995,261000000
brn,1996,-51000000
brn,1997,-101000000
brn,1998,-470000000
brn,1999,578000000
brn,2000,3262818300
brn,2001,3043934000
brn,2002,2667630800
brn,2003,3806542800
brn,2004,4924286600
brn,2005,6802397300
brn,2006,8476500000
brn,2007,7375100000
brn,2008,10338600000
brn,2009,5775200000
brn,2010,7372456000
brn,2011,9199000000
brn,2012,8255000000
brn,2013,5693000000
brn,2014,7351151000
brn,2015,2582682050
brn,2016,1863861700
brn,2017,2339609200
brn,2018,1824286300
brn,2019,1356519169.04816
btn,1980,-256510000
btn,1981,-413270000
btn,1982,-479010000
btn,1983,-563820000
btn,1984,-619150000
btn,1985,-770000000
btn,1986,-883450000
btn,1987,-477230000
btn,1988,-831490000
btn,1989,-444270000
btn,1990,-200640000
btn,1991,-452870000
btn,1992,-1554770000
btn,1993,-898364900
btn,1994,-840780000
btn,1995,-477700000
btn,1996,-1141280000
btn,1997,-1356890000
btn,1998,-2537900000
btn,1999,-3534160000
btn,2000,-3732111800
btn,2001,-4824537700
btn,2002,-6645849700
btn,2003,-7330202900
btn,2004,-9915724400
btn,2005,-9460868500
btn,2006,-1935416300
btn,2007,-1150832600
btn,2008,-5019440000
btn,2009,-10715000000
btn,2010,-20501000000
btn,2011,-24874000000
btn,2012,-23694000000
btn,2013,-22989000000
btn,2014,-27241027300
btn,2015,-42828291300
btn,2016,-37967148700
btn,2017,-36132559800
btn,2018,-41951277000
bwa,1960,-2900000
bwa,1961,-3600000
bwa,1962,-4300000
