geo,time,sh_sta_wast_fe_zs
kwt,2016,1.9
kwt,2017,1.9
kwt,2018,2.2
kwt,2019,1.2
kwt,2020,2.1
kwt,2021,3.7
kwt,2022,2.9
kwt,2023,2.7
lao,2000,16
lao,2006,6.9
lao,2011,5.4
lao,2015,8.6
lao,2017,8.6
lao,2023,10.8
lbn,2004,5.4
lbn,2021,1.4
lbn,2023,1.5
lbr,2000,5.9
lbr,2007,7.8
lbr,2008,3.2
lbr,2010,4.5
lbr,2013,5.3
lbr,2016,3.2
lbr,2019,3.2
lby,1995,3.4
lby,2007,6.1
lby,2014,10.1
lby,2022,3.2
lca,2012,3.4
lka,1987,11
lka,1993,14
lka,2000,15.1
lka,2007,13.7
lka,2009,11.5
lka,2012,20.5
lka,2016,14.8
lso,2004,5.4
lso,2009,3.5
lso,2014,3.1
lso,2018,1.7
lso,2024,0.4
ltu,2021,5.1
lva,2021,1
mar,1987,3.8
mar,1992,2.3
mar,1997,4.5
mar,2003,10.4
mar,2011,1.8
mar,2017,2.8
mar,2019,1.9
mda,2005,5.7
mda,2012,1.8
mdg,1992,5.3
mdg,1997,7.1
mdg,2004,12.4
mdg,2011,5.3
mdg,2012,5.6
mdg,2018,5.3
mdg,2021,6.4
mdv,1994,15.2
mdv,1997,14.3
mdv,2001,12.2
mdv,2009,10.6
mdv,2017,8.1
mex,1988,6.2
mex,1998,1.4
mex,2002,3
mex,2005,3.2
mex,2006,1.5
mex,2012,1.4
mex,2015,0.7
mex,2016,1.4
mex,2019,1.1
mex,2020,1.6
mex,2021,1.7
mex,2022,0.6
mhl,2017,2.4
mkd,1999,1.6
mkd,2005,4.5
mkd,2011,1.4
mkd,2019,3.3
mli,1987,11.3
mli,1996,23.1
mli,2001,11.6
mli,2006,14.5
mli,2010,7.6
mli,2011,8.6
mli,2014,12.6
mli,2015,11.9
mli,2016,10
mli,2017,9.1
mli,2018,7.6
mli,2019,7.8
mli,2020,5.3
mli,2021,7.6
mli,2022,9.1
mli,2024,4.4
mlt,2022,0.3
mmr,2000,9.9
mmr,2003,10.6
mmr,2009,7.1
mmr,2016,6.2
mmr,2018,5.8
mne,2005,4.1
mne,2013,2.4
mne,2018,1.9
mng,1999,4.1
mng,2000,6.9
mng,2004,0.8
mng,2005,2.8
mng,2010,1.3
mng,2013,0.8
mng,2016,1.4
mng,2018,0.8
moz,1997,9
moz,2001,7.6
moz,2003,5.1
moz,2008,3.5
moz,2011,5.6
moz,2015,4.6
moz,2020,4.2
moz,2022,3.2
mrt,2000,13.3
mrt,2007,12.8
mrt,2008,6.8
mrt,2011,12.9
mrt,2012,10.2
mrt,2015,13.3
mrt,2018,9.7
mrt,2019,9.8
mrt,2020,5.8
mrt,2021,8.4
mrt,2022,10.7
mwi,1992,5.9
mwi,1998,8.6
mwi,2000,6.9
mwi,2002,5.7
mwi,2004,5.6
mwi,2006,3.6
mwi,2009,1.4
mwi,2010,3.8
mwi,2014,3.3
mwi,2015,2.2
mwi,2016,4
mwi,2017,2.5
mwi,2018,1.1
mwi,2019,3.3
mwi,2020,2.4
mys,2006,11.7
mys,2015,6.7
mys,2016,9.7
mys,2019,7.9
mys,2022,10.2
nam,1992,8.8
nam,2000,9.1
nam,2007,7.8
nam,2013,5.3
ner,1992,18.1
ner,1998,22.6
ner,2000,14.4
ner,2006,9.9
ner,2007,11.1
ner,2008,11.9
ner,2009,11.2
ner,2010,13.6
ner,2011,10.8
ner,2012,12.2
ner,2013,10.8
ner,2014,12.2
ner,2015,11.3
ner,2016,8.2
ner,2018,11.5
ner,2019,9
ner,2020,9.9
ner,2021,10.6
ner,2022,9.7
nga,1990,11
nga,2003,10.4
nga,2011,9.5
nga,2014,7.1
nga,2015,7
nga,2016,9.6
nga,2018,5.5
nga,2020,5.3
nga,2021,10.6
nic,1993,1.9
nic,1998,2.8
nic,2001,1.9
nic,2004,0.3
nic,2005,1
nic,2007,1.4
nic,2012,2.1
nld,1996,0.9
nld,2009,0.9
npl,1996,12.5
npl,1998,6.9
npl,2001,10.3
npl,2006,12.4
npl,2010,13.3
npl,2011,10
npl,2014,10.9
npl,2016,9.8
npl,2019,10.4
npl,2022,6.3
nru,2007,0
nru,2023,2.1
omn,1994,7.8
omn,1999,7.2
omn,2009,6
omn,2014,6.8
omn,2017,10
pak,1991,10.5
pak,1992,17.1
pak,2001,13.1
pak,2011,14.1
pak,2013,9.8
pak,2018,6.6
pan,1997,1.4
pan,2003,1.8
pan,2008,1.4
pan,2019,0.9
per,1991,1.8
per,1996,1.5
per,1997,0.8
per,1998,0.8
per,1999,1.1
per,2000,1.1
per,2001,0.5
per,2005,1
per,2007,0.7
per,2009,0.5
per,2010,0.5
per,2011,0.2
per,2012,0.5
per,2013,0.3
per,2014,0.5
per,2015,0.4
per,2016,0.5
per,2017,0.4
per,2018,0.4
per,2019,1.1
per,2020,0.4
per,2021,0.4
per,2022,0.4
per,2023,0.5
phl,2003,5.3
phl,2008,6.3
phl,2011,6.8
phl,2013,7.3
phl,2015,6.1
phl,2018,4.8
phl,2019,5.1
phl,2021,5.5
png,2005,4
png,2010,13.7
pol,2011,0.8
pol,2019,0.5
prk,2002,8
prk,2009,5.3
prk,2012,3.8
prk,2017,2
prt,2016,0.8
pry,1990,0.9
pry,1998,1.9
pry,2005,0.5
pry,2012,2.9
pry,2016,0.9
pse,1996,3.2
pse,2000,1.8
pse,2002,2.2
pse,2004,3
pse,2006,1.8
pse,2010,3.2
pse,2014,1.2
pse,2020,1.3
qat,2021,1
qat,2022,1.2
qat,2023,1.3
rou,1999,3.2
rou,2000,3.9
rou,2001,3.7
rou,2002,3.4
rus,1995,4.4
rus,1996,3.6
rus,1998,3.5
rus,2000,6
rus,2001,4.9
rus,2002,6.4
rus,2003,1.7
rus,2004,2.2
rus,2005,4
rwa,1992,4.1
rwa,2000,8.1
rwa,2005,4.8
rwa,2010,2.4
rwa,2012,2.7
rwa,2015,2.1
rwa,2018,1.9
rwa,2020,1.4
sau,2004,10.8
sau,2015,3.9
sau,2016,3
sau,2017,4.2
sau,2018,3.6
sau,2019,4
sau,2020,3.4
sdn,2006,13.9
sdn,2010,14
sdn,2014,15.7
sen,1986,3.8
sen,1993,8.6
sen,1996,7.5
sen,2000,8.6
sen,2005,8.5
sen,2011,9.7
sen,2012,7.5
sen,2013,8.1
sen,2014,6.3
sen,2015,8.8
sen,2016,6.4
sen,2017,8.2
sen,2018,7.5
sen,2019,6.7
sen,2023,8.8
sgp,2000,3.3
slb,1989,6.4
slb,2007,5.7
slb,2015,8.5
sle,2000,10.5
sle,2005,8.6
sle,2010,6.7
sle,2014,3.7
sle,2017,5.6
sle,2019,5.2
sle,2021,5.7
slv,1988,1.8
slv,1993,1.3
slv,1998,1.3
slv,2003,1.2
slv,2008,0.7
slv,2014,1.7
slv,2021,2.7
som,2006,12
som,2009,12.6
srb,2005,4.2
srb,2010,4.2
srb,2014,3.6
srb,2019,1.9
ssd,2006,22.9
ssd,2010,19.7
stp,2014,3.3
stp,2019,2.3
sur,2000,6.2
sur,2006,4.7
sur,2010,4.2
sur,2018,4.8
swz,2000,1.9
swz,2006,2.4
swz,2010,1
swz,2014,1.7
swz,2021,1.5
syc,2012,4.4
syr,1993,8.4
syr,2001,9.9
syr,2006,9.1
syr,2010,10.5
tca,2020,0
tcd,1997,15.1
tcd,2000,14.1
tcd,2004,15.1
tcd,2010,15.2
tcd,2015,11.1
tcd,2017,12
tcd,2018,11.7
tcd,2019,12.5
tcd,2020,8.1
tcd,2021,8.8
tcd,2022,6.8
tgo,1988,6
tgo,1998,12.4
tgo,2008,5.9
tgo,2009,5.1
tgo,2010,4.4
tgo,2012,4.8
tgo,2014,5.6
tgo,2017,5.3
tha,1987,4.5
tha,2006,4.8
tha,2012,6.1
tha,2016,5.2
tha,2019,7.2
tha,2022,6.5
tjk,2005,8.3
tjk,2007,6.7
tjk,2009,3.7
tjk,2012,9.9
tjk,2016,3.5
tjk,2017,5
tjk,2023,5.8
tkm,2000,6.9
tkm,2006,7.2
tkm,2015,3.9
tkm,2019,3.5
tls,2002,11.4
tls,2007,16.3
tls,2009,17.3
tls,2013,7.7
tls,2014,10.2
tls,2020,6.6
ton,2012,5.1
ton,2019,1
tto,1987,3.7
tto,2000,4.6
tto,2011,7.1
tun,1988,3.9
tun,2006,3.3
tun,2012,1.8
tun,2018,2.1
tur,1993,3.6
tur,1998,2.5
tur,2004,0.6
tur,2008,0.4
tur,2013,2.2
tur,2018,1.6
tuv,2007,2.2
tuv,2019,2.2
tza,1991,6.8
tza,1996,7.3
tza,1999,5.1
tza,2004,3
tza,2009,3
tza,2010,4
tza,2011,6.6
tza,2013,4.9
tza,2014,3
tza,2015,3.8
tza,2018,3
tza,2021,3.6
tza,2022,2.3
uga,1988,2.9
uga,1995,5.1
uga,2000,3.7
uga,2006,4.9
uga,2009,3.4
uga,2011,4.6
uga,2012,3.7
uga,2014,3.5
uga,2015,5.7
uga,2016,2.9
uga,2018,3.6
uga,2020,4.4
uga,2022,2.7
ukr,2000,7.9
ury,1999,1.1
ury,2002,2.2
ury,2003,1
ury,2004,2.9
ury,2007,0.8
ury,2011,0.5
ury,2013,0.7
ury,2016,0.5
ury,2018,1.1
usa,1991,0.4
usa,2000,0.1
usa,2002,0.1
usa,2004,0.9
usa,2006,1.1
usa,2008,0.4
usa,2010,0
usa,2012,0.5
usa,2014,0
usa,2016,0.1
usa,2018,0
uzb,1996,13
uzb,2002,9.2
uzb,2006,3.6
uzb,2017,1.6
uzb,2021,1.9
vnm,1993,5.9
vnm,1999,9.9
vnm,2000,5.1
vnm,2002,8.2
vnm,2003,10.1
vnm,2004,10.5
vnm,2005,9.9
vnm,2006,9.2
vnm,2007,9.3
vnm,2008,8.9
vnm,2009,7.3
vnm,2010,3.9
vut,2008,5.5
vut,2013,4
wsm,2014,4.9
wsm,2019,3.2
yem,1991,12.7
yem,1997,15.4
yem,2003,13.7
yem,2005,12
yem,2011,11.7
yem,2013,14.8
yem,2021,8.4
yem,2022,14.6
zaf,2008,6.3
zaf,2015,2.6
zaf,2016,2.8
zaf,2017,3.6
zmb,1992,6.2
zmb,1996,4.4
zmb,1999,4.5
zmb,2002,5.8
zmb,2007,5.1
zmb,2013,6
zmb,2018,3.7
zwe,1988,1.6
zwe,1994,5.2
zwe,1999,7.8
zwe,2005,6.9
zwe,2009,1.9
zwe,2010,2.6
zwe,2012,2.6
zwe,2014,2.8
zwe,2015,3.3
zwe,2019,2.8
