geo,time,vc_btl_deth
irq,1990,94
irq,1991,23044
irq,1992,327
irq,1993,118
irq,1994,219
irq,1995,753
irq,1996,597
irq,1997,2060
irq,1998,49
irq,1999,271
irq,2000,53
irq,2001,36
irq,2002,26
irq,2003,7927
irq,2004,4095
irq,2005,2608
irq,2006,3928
irq,2007,2217
irq,2008,2233
irq,2009,1045
irq,2010,1118
irq,2011,1077
irq,2012,638
irq,2013,1882
irq,2014,13168
irq,2015,10138
irq,2016,9622
irq,2017,10211
irq,2018,1268
irq,2019,739
irq,2020,857
irq,2021,809
irq,2022,828
isr,1989,5
isr,1990,18
isr,1991,16
isr,1992,31
isr,1993,49
isr,1994,44
isr,1995,35
isr,1996,71
isr,2000,77
isr,2001,244
isr,2002,613
isr,2003,308
isr,2004,385
isr,2005,123
isr,2006,617
isr,2007,276
isr,2008,668
isr,2009,696
isr,2010,27
isr,2011,78
isr,2012,235
isr,2014,2378
isr,2018,53
isr,2019,48
isr,2021,269
isr,2022,84
ita,1993,0
jor,2015,1
jor,2016,34
ken,1999,18
ken,2001,10
ken,2007,1
ken,2011,2
ken,2012,29
ken,2013,29
ken,2014,42
ken,2015,48
ken,2016,49
ken,2017,85
ken,2018,69
ken,2019,61
ken,2020,94
ken,2021,75
ken,2022,72
kgz,1999,14
kgz,2000,174
kgz,2021,40
kgz,2022,59
khm,1989,814
khm,1990,274
khm,1991,220
khm,1992,118
khm,1993,274
khm,1994,464
khm,1995,694
khm,1996,788
khm,1997,415
khm,1998,243
khm,2011,10
kwt,1990,1058
kwt,1991,135
lao,1989,30
lao,1990,249
lbn,1989,760
lbn,1990,753
lbn,1991,40
lbn,1992,89
lbn,1993,122
lbn,1994,82
lbn,1995,73
lbn,1996,90
lbn,1997,82
lbn,1998,54
lbn,1999,41
lbn,2006,588
lbn,2013,2
lbn,2014,137
lbn,2015,76
lbn,2017,74
lbr,1989,27
lbr,1990,339
lbr,1993,5
lbr,2000,57
lbr,2001,341
lbr,2002,492
lbr,2003,1787
lby,2011,3762
lby,2013,31
lby,2014,274
lby,2015,275
lby,2016,1727
lby,2017,404
lby,2018,44
lby,2019,1631
lby,2020,668
lka,1989,533
lka,1990,3622
lka,1991,6432
lka,1992,4091
lka,1993,2075
lka,1994,657
lka,1995,4755
lka,1996,3868
lka,1997,2880
lka,1998,3762
lka,1999,1882
lka,2000,2525
lka,2001,1144
lka,2003,29
lka,2005,88
lka,2006,1970
lka,2007,2494
lka,2008,8262
lka,2009,10165
lso,1998,78
mar,1989,207
mco,1989,207
mda,1992,585
mex,1994,145
mex,1996,37
mkd,2001,72
mli,1990,457
mli,1991,59
mli,1994,106
mli,2005,12
mli,2007,39
mli,2008,112
mli,2009,126
mli,2010,28
mli,2012,218
mli,2013,805
mli,2014,189
mli,2015,172
mli,2016,96
mli,2017,359
mli,2018,521
mli,2019,603
mli,2020,580
mli,2021,726
mli,2022,1436
mlt,1995,0
mmr,1989,997
mmr,1990,536
mmr,1991,777
mmr,1992,1617
mmr,1993,130
mmr,1994,685
mmr,1995,317
mmr,1996,229
mmr,1997,323
mmr,1998,61
mmr,1999,25
mmr,2000,215
mmr,2001,193
mmr,2002,271
mmr,2003,38
mmr,2004,27
mmr,2005,139
mmr,2006,244
mmr,2007,348
mmr,2008,46
mmr,2009,193
mmr,2010,150
mmr,2011,713
mmr,2012,702
mmr,2013,278
mmr,2014,187
mmr,2015,629
mmr,2016,118
mmr,2017,517
mmr,2018,99
mmr,2019,558
mmr,2020,159
mmr,2021,1031
mmr,2022,2036
moz,1989,1149
moz,1990,1577
moz,1991,1326
moz,1992,309
moz,2013,42
moz,2014,30
moz,2016,55
moz,2018,53
moz,2019,291
moz,2020,937
moz,2021,715
moz,2022,373
mrt,2010,1
mys,2013,70
mys,2017,1
nam,1999,1
nam,2000,54
ner,1991,40
ner,1992,29
ner,1994,50
ner,1995,34
ner,1997,62
ner,2004,4
ner,2007,81
ner,2008,47
ner,2013,31
ner,2015,368
ner,2016,274
ner,2017,229
ner,2018,74
ner,2019,298
ner,2020,535
ner,2021,459
ner,2022,516
nga,2004,151
nga,2009,405
nga,2011,325
nga,2012,811
nga,2013,1629
nga,2014,3811
nga,2015,4637
nga,2016,2491
nga,2017,1879
nga,2018,1173
nga,2019,1326
nga,2020,2001
nga,2021,1999
nga,2022,1522
nic,1989,526
nic,1990,39
nld,1990,2
npl,1996,44
npl,1997,40
npl,1998,250
npl,1999,156
npl,2000,268
npl,2001,429
npl,2002,3946
npl,2003,1341
npl,2004,1880
npl,2005,1104
npl,2006,457
pak,1990,73
pak,1991,27
pak,1993,0
pak,1994,74
pak,1995,69
pak,1996,47
pak,1997,45
pak,1998,52
pak,1999,32
pak,2000,59
pak,2001,36
pak,2002,148
pak,2003,175
pak,2004,359
pak,2005,110
pak,2006,419
pak,2007,759
pak,2008,3538
pak,2009,6916
pak,2010,6077
pak,2011,2863
pak,2012,3018
pak,2013,1817
pak,2014,3154
pak,2015,2126
pak,2016,796
pak,2017,701
pak,2018,228
pak,2019,267
pak,2020,373
pak,2021,416
pak,2022,630
pan,1989,920
per,1989,1827
per,1990,1099
per,1991,1138
per,1992,1036
per,1993,672
per,1994,253
per,1995,266
per,1996,80
per,1997,93
per,1998,25
per,1999,75
per,2007,32
per,2008,40
per,2009,50
per,2010,28
per,2020,5
phl,1989,937
phl,1990,1316
phl,1991,1515
phl,1992,430
phl,1993,253
phl,1994,265
phl,1995,152
phl,1996,180
phl,1997,302
phl,1998,93
phl,1999,199
phl,2000,1567
phl,2001,817
phl,2002,662
phl,2003,1051
phl,2004,339
phl,2005,470
phl,2006,360
phl,2007,439
phl,2008,481
phl,2009,894
phl,2010,332
phl,2011,350
phl,2012,295
phl,2013,514
phl,2014,470
phl,2015,572
phl,2016,550
phl,2017,1620
phl,2018,420
phl,2019,309
phl,2020,348
phl,2021,266
phl,2022,193
png,1990,55
png,1992,33
png,1993,34
png,1994,26
png,1995,29
png,1996,78
pol,2022,2
pry,1989,150
qat,2004,0
rou,1989,249
rus,1990,192
rus,1991,220
rus,1993,145
rus,1994,229
rus,1995,1754
rus,1996,2721
rus,1999,5854
rus,2000,2907
rus,2001,791
rus,2002,1289
rus,2003,480
rus,2004,1151
rus,2005,682
rus,2006,259
rus,2007,176
rus,2008,404
rus,2009,696
rus,2010,418
rus,2011,356
rus,2012,516
rus,2013,321
rus,2014,174
rus,2015,84
rus,2016,69
rus,2017,53
rus,2018,30
rus,2019,26
rus,2020,32
rus,2022,65
rwa,1990,1126
rwa,1991,153
rwa,1992,87
rwa,1993,353
rwa,1994,1882
rwa,1996,90
rwa,1997,980
rwa,1998,1095
rwa,2001,2044
rwa,2012,13
rwa,2013,1
rwa,2019,19
rwa,2022,4
sau,1991,101
sau,2004,58
sau,2005,31
sau,2006,11
sau,2007,2
sau,2015,81
sau,2016,120
sau,2017,45
sau,2018,11
sau,2019,5
sau,2020,0
sau,2021,6
sdn,1989,4515
sdn,1990,5030
sdn,1991,1313
sdn,1992,1083
sdn,1993,942
sdn,1994,337
sdn,1995,1036
sdn,1996,2289
sdn,1997,3859
sdn,1998,4891
sdn,1999,1408
sdn,2000,2841
sdn,2001,3457
sdn,2002,2312
sdn,2003,2008
sdn,2004,3673
sdn,2005,246
sdn,2006,1030
sdn,2007,217
sdn,2008,620
sdn,2009,373
sdn,2010,1054
sdn,2011,1404
sdn,2012,1411
sdn,2013,594
sdn,2014,849
sdn,2015,1264
sdn,2016,1309
sdn,2017,160
sdn,2018,243
sdn,2020,45
sdn,2021,31
sdn,2022,54
sen,1990,58
sen,1992,76
sen,1993,233
sen,1995,299
sen,1997,319
sen,1998,242
sen,2000,47
sen,2001,33
sen,2003,39
sen,2011,25
slb,1992,2
sle,1991,552
sle,1992,218
sle,1993,410
sle,1994,628
sle,1995,1472
sle,1996,570
sle,1997,748
sle,1998,3287
sle,1999,3153
sle,2000,382
sle,2001,50
slv,1989,4924
slv,1990,849
slv,1991,88
som,1989,373
som,1990,2650
som,1991,8005
som,1992,1154
som,1993,25
som,1994,237
som,1995,104
som,1996,440
som,1999,25
som,2001,228
som,2002,114
som,2004,0
som,2006,547
som,2007,1575
som,2008,1521
som,2009,1477
som,2010,2150
som,2011,1937
som,2012,2624
som,2013,913
som,2014,1111
som,2015,1201
som,2016,1933
som,2017,1918
som,2018,2204
som,2019,1943
som,2020,1942
som,2021,2174
som,2022,3032
srb,1991,3022
srb,1992,207
srb,1998,1235
srb,1999,1398
srb,2001,0
ssd,2011,220
ssd,2012,266
ssd,2013,926
ssd,2014,1674
ssd,2015,493
ssd,2016,735
ssd,2017,484
ssd,2018,526
ssd,2019,110
ssd,2020,58
ssd,2021,188
syr,2004,1
syr,2011,1203
syr,2012,50481
syr,2013,72003
syr,2014,66021
syr,2015,51079
syr,2016,44938
syr,2017,25032
syr,2018,13246
syr,2019,7539
syr,2020,4862
syr,2021,1517
syr,2022,932
tcd,1989,50
tcd,1990,652
tcd,1991,68
tcd,1992,899
tcd,1993,120
tcd,1994,156
tcd,1997,97
tcd,1998,34
tcd,1999,394
tcd,2000,989
tcd,2001,226
tcd,2002,294
tcd,2003,37
tcd,2004,50
tcd,2005,100
tcd,2006,1250
tcd,2007,69
tcd,2008,991
tcd,2009,135
tcd,2010,4
tcd,2015,275
tcd,2017,57
tcd,2018,150
tcd,2019,144
tcd,2020,196
tcd,2021,486
tcd,2022,45
tgo,2022,34
tha,1989,201
tha,1990,19
tha,1998,3
tha,2000,8
tha,2001,22
tha,2002,23
tha,2003,26
tha,2004,164
tha,2005,208
tha,2006,212
tha,2007,197
tha,2008,148
tha,2009,138
tha,2010,82
tha,2011,162
tha,2012,131
tha,2013,189
tha,2014,68
tha,2015,57
tha,2016,50
tha,2017,43
tha,2018,36
tha,2019,55
tha,2020,46
tha,2021,38
tha,2022,30
tjk,1992,3355
tjk,1993,1045
tjk,1994,356
tjk,1995,368
tjk,1996,2790
tjk,1997,87
tjk,1998,600
tjk,1999,3
tjk,2000,46
tjk,2010,98
tjk,2011,28
tjk,2021,16
tjk,2022,93
tto,1990,39
tun,2013,29
tun,2014,50
tun,2015,57
tun,2016,71
tur,1989,442
tur,1990,526
tur,1991,386
tur,1992,1687
tur,1993,2333
tur,1994,3920
tur,1995,3050
tur,1996,3736
tur,1997,2594
tur,1998,2019
tur,1999,1138
tur,2000,153
tur,2001,103
tur,2002,28
tur,2003,93
tur,2004,194
tur,2005,293
tur,2006,225
tur,2007,494
tur,2008,471
tur,2009,138
tur,2010,226
tur,2011,405
tur,2012,785
tur,2013,20
tur,2015,902
tur,2016,1424
tur,2017,391
tur,2018,433
tur,2019,278
tur,2020,189
tur,2021,131
tur,2022,82
tza,2020,25
uga,1989,1022
uga,1990,626
uga,1991,857
uga,1992,72
uga,1994,149
uga,1995,259
uga,1996,1155
uga,1997,738
uga,1998,748
uga,1999,341
uga,2000,364
uga,2001,108
uga,2002,722
uga,2003,633
uga,2004,1215
uga,2005,610
uga,2006,198
uga,2007,91
uga,2017,0
uga,2022,25
ukr,2014,4886
ukr,2015,1786
ukr,2016,254
ukr,2017,415
ukr,2018,243
ukr,2019,311
ukr,2020,196
ukr,2021,208
ukr,2022,81479
usa,2001,233
uzb,1999,50
uzb,2000,297
uzb,2004,37
ven,1992,144
ven,2007,2
yem,1994,1489
yem,2008,21
yem,2009,94
yem,2010,175
yem,2011,1140
yem,2012,2331
yem,2013,582
yem,2014,1780
yem,2015,7032
yem,2016,2946
yem,2017,3039
yem,2018,4517
yem,2019,2583
yem,2020,6289
yem,2021,23350
yem,2022,2896
zaf,1989,327
