geo,time,ny_gdp_mktp_cn_ad
arg,2017,10660228494799.99805
arg,2018,14542722148099.99805
arg,2019,21447249859799.99609
arg,2020,27021238150100
arm,1990,50310000
arm,1991,79690000
arm,1992,310190000
arm,1993,4218410000
arm,1994,187065008100
arm,1995,522255990800.00006
arm,1996,661209022499.99988
arm,1997,804334993400
arm,1998,955384987600
arm,1999,987443691499.99988
arm,2000,1031338300000.00012
arm,2001,1175876800000
arm,2002,1362471700000
arm,2003,1624642700000
arm,2004,1907945400000.00049
arm,2005,2242880900000
arm,2006,2656189800000
arm,2007,3149283400000
arm,2008,3568227599999.99951
arm,2009,3141651000000
arm,2010,3460202700000
arm,2011,3777945600000
arm,2012,4266460500000
arm,2013,4555638200000.01953
arm,2014,4828626300000
arm,2015,5043633199999.98047
arm,2016,5067293499999.98145
arm,2017,5564493299999.99902
arm,2018,6017035200000.02051
arm,2019,6569030799999.96973
arm,2020,6183742100000
asm,2002,512000000
asm,2003,524000000
asm,2004,509000000
asm,2005,500000000
asm,2006,493000000
asm,2007,518000000
asm,2008,560000000
asm,2009,675000000
asm,2010,573000000
asm,2011,570000000
asm,2012,640000000
asm,2013,638000000
asm,2014,643000000
asm,2015,673000000
asm,2016,671000000
asm,2017,612000000
asm,2018,641000000
asm,2019,638000000
atg,1989,1217681367.4753
atg,1990,1275072690.77113
atg,1991,1336782521.21512
atg,1992,1385552199.00604
atg,1993,1485157456.63974
atg,1994,1635721631.55212
atg,1995,1602009399.0644
atg,1996,1758658220.81604
atg,1997,1888779215.72292
atg,1998,2019876631.99758
atg,1999,2126275726.72712
atg,2000,2231200000
atg,2001,2161300000
atg,2002,2198830000
atg,2003,2312270000
atg,2004,2483270000
atg,2005,2762000000
atg,2006,3125690000
atg,2007,3544450000
atg,2008,3699190000.00001
atg,2009,3316490000.00001
atg,2010,3101490000.00001
atg,2011,3071619999.99999
atg,2012,3239859999.99999
atg,2013,3189909999.99999
atg,2014,3374279999.99999
atg,2015,3609070000
atg,2016,3878779999.99999
atg,2017,3963539999.99999
atg,2018,4334450000.00001
atg,2019,4487299999.99999
atg,2020,3820659999.99999
aus,1989,367591999999.99896
aus,1990,403860000000
aus,1991,414485000000
aus,1992,422447000000
aus,1993,443397000000
aus,1994,465760000000
aus,1995,494567000000.00006
aus,1996,527599000000
aus,1997,555291000000
aus,1998,588097000000
aus,1999,620140999999.99988
aus,2000,661159000000.00012
aus,2001,705065999999.99988
aus,2002,754252999999.99988
aus,2003,800960000000
aus,2004,861039000000
aus,2005,922371000000
aus,2006,996430000000.00012
aus,2007,1086593000000
aus,2008,1177313000000
aus,2009,1260145000000.00024
aus,2010,1301211000000
aus,2011,1416622000000.00024
aus,2012,1499458000000
aus,2013,1536307000000.00024
aus,2014,1598530000000
aus,2015,1624600999999.99976
aus,2016,1660714000000
aus,2017,1762371000000.00049
aus,2018,1848560000000
aus,2019,1952680000000
aus,2020,1985437999999.98975
aut,1989,127981232399.99998
aut,1990,137548696000
aut,1991,147464360000
aut,1992,155789391999.99997
aut,1993,160927977999.99997
aut,1994,168954605000.00003
aut,1995,176608750000
aut,1996,182540879999.99997
aut,1997,188723760000
aut,1998,196346609999.99997
aut,1999,203850579999.99997
aut,2000,213606480000
aut,2001,220525080000
aut,2002,226735220000
aut,2003,231862460000
aut,2004,242348259999.99997
aut,2005,254075030000
aut,2006,267824450000
aut,2007,283977969999.99994
aut,2008,293761910000
aut,2009,288044020000
aut,2010,295896640000
aut,2011,310128659999.99994
aut,2012,318653040000
aut,2013,323910200000.00006
aut,2014,333146070000
aut,2015,344269230000
aut,2016,357607949999.99799
aut,2017,369341260000
aut,2018,385361890000.00092
aut,2019,397575280000.00195
aut,2020,375561950000.00006
aze,1990,293200
aze,1991,534400
aze,1992,4820100
aze,1993,31400000
aze,1994,374700000
aze,1995,2133800000
aze,1996,2732600000
aze,1997,3158300000
aze,1998,3440600000
aze,1999,3775100000
aze,2000,4718100000
aze,2001,5315600000
aze,2002,6062500000
aze,2003,7146500000
aze,2004,8530200000
aze,2005,12522500000
aze,2006,18746199999.9999
aze,2007,28360499999.9999
aze,2008,40137200000.0001
aze,2009,35601499999.9999
aze,2010,42465000000
aze,2011,52082000000.00009
aze,2012,54743700000.00009
aze,2013,58182000000
aze,2014,59014100000
aze,2015,54379999999.99991
aze,2016,60425200000
aze,2017,70337799999.99989
aze,2018,80091999999.99988
aze,2019,81896199999.99989
aze,2020,72432199999.99998
bdi,1989,216979942368.65298
bdi,1990,238015860691.57101
bdi,1991,260138256268.49197
bdi,1992,276959619947.35602
bdi,1993,279783235968.91095
bdi,1994,286929439795.94501
bdi,1995,306748737835.22101
bdi,1996,322996796686.33087
bdi,1997,420841132284.5849
bdi,1998,491308696441.922
bdi,1999,559075413192.53198
bdi,2000,627333193100
bdi,2001,728046498299.99988
bdi,2002,768235261400.00012
bdi,2003,849482572100
bdi,2004,1007615939900
bdi,2005,1208243999999.99976
bdi,2006,1309900000000.00024
bdi,2007,1467230999999.99976
bdi,2008,1911139000000.00024
bdi,2009,2191508999999.99976
bdi,2010,2501047000000
bdi,2011,2819534000000
bdi,2012,3365809999999.99951
bdi,2013,3812500000000
bdi,2014,4184999000000
bdi,2015,4879792999999.99023
bdi,2016,4897101000000
bdi,2017,5485068000000
bdi,2018,5414485000000.00879
bdi,2019,5559586343900.00098
bdi,2020,6239578999999.98926
bel,1989,161269772400
bel,1990,170096820000
bel,1991,178197560999.99997
bel,1992,187120976999.99997
bel,1993,192721412000
bel,1994,203106896999.99997
bel,1995,210489100000
bel,1996,214287100000
bel,1997,224101500000
bel,1998,232623800000
bel,1999,242307600000
bel,2000,256376400000
bel,2001,264334900000
bel,2002,273255900000
bel,2003,281200200000
bel,2004,296819700000
bel,2005,310037600000.00006
bel,2006,325151500000
bel,2007,343618899999.99994
bel,2008,351743100000
bel,2009,346472800000.00006
bel,2010,363140100000
bel,2011,375967800000
bel,2012,386174700000
bel,2013,392880000000
bel,2014,403003300000
bel,2015,416701400000.00006
bel,2016,430085299999.99805
bel,2017,445050099999.99805
bel,2018,460370099999.99805
bel,2019,476343600000.00195
bel,2020,451176899999.99896
ben,1989,484722816290.85785
ben,1990,539729673108.97498
ben,1991,566793839089.92603
ben,1992,601211374862.87402
ben,1993,651432345782.85107
ben,1994,887259268600
ben,1995,1082965970899.99976
ben,1996,1207834857199.99976
ben,1997,1323938197499.99976
ben,1998,1448386288099.99976
ben,1999,2263337999999.99951
ben,2000,2499926000000.00049
ben,2001,2685133000000
ben,2002,2909671000000
ben,2003,3102021000000
ben,2004,3264365000000
ben,2005,3462851000000
ben,2006,3674800000000
ben,2007,3909982000000.00049
ben,2008,4365329999999.99951
ben,2009,4580012000000.00098
ben,2010,4718034000000
ben,2011,5039213000000
ben,2012,5688290999999.99902
ben,2013,6182559000000
ben,2014,6559333000000.00195
ben,2015,6732814000000
ben,2016,7005230000000.03223
ben,2017,7375302197900.02051
ben,2018,7915660272299.99121
ben,2019,8432247506700.03027
ben,2020,9008810371199.99023
bfa,1989,834394193900
bfa,1990,844374998999.99988
bfa,1991,884418019299.99988
bfa,1992,888488984599.99988
bfa,1993,905988997100
bfa,1994,1052274262000
bfa,1995,1187732652000
bfa,1996,1323156242400
bfa,1997,1428629487600
bfa,1998,1654757130200
bfa,1999,2086187976299.99976
bfa,2000,2108160114899.99976
bfa,2001,2336620419500
bfa,2002,2512872151500.00049
bfa,2003,2749159243200.00049
bfa,2004,2874882704499.99951
bfa,2005,3240716112600
bfa,2006,3420539891800.00049
bfa,2007,3649928073800
bfa,2008,4215340616100
bfa,2009,4444600582300.00098
bfa,2010,5002181838699.99902
bfa,2011,5692822881099.99902
bfa,2012,6413105899900.00098
bfa,2013,6640134954899.99902
bfa,2014,6884466390200
bfa,2015,6995311000000
bfa,2016,7605123000000.03125
bfa,2017,8191298999999.98145
bfa,2018,8920421283399.99219
bfa,2019,9369187710500.01953
bfa,2020,9997387363500.00781
bgd,1989,1056037845173.6001
bgd,1990,1188277868412.86011
bgd,1991,1263256897414.8999
bgd,1992,1366406704340.93018
bgd,1993,1433010931555.37964
bgd,1994,1547804186534.38965
bgd,1995,1743324804442.07983
bgd,1996,1899334000000
bgd,1997,2060032000000
bgd,1998,2269299000000.00049
bgd,1999,2465088999999.99951
bgd,2000,2685034000000
bgd,2001,2913369999999.99951
bgd,2002,3142804000000
bgd,2003,3483201999999.99951
bgd,2004,3832940000000
bgd,2005,4270741000000.00049
bgd,2006,4823369660199.99902
bgd,2007,5497996999999.99121
bgd,2008,6286822000000.00195
bgd,2009,7050717999999.98047
bgd,2010,7975387000000.01758
bgd,2011,9158287999999.98047
bgd,2012,10552040389300
bgd,2013,11989231718700
bgd,2014,13436743999999.99805
bgd,2015,15158023000000
bgd,2016,17328638999999.99805
bgd,2017,19758152000000
bgd,2018,22504793000000.00391
bgd,2019,25424826000000
bgd,2020,27463058272000
bgr,1989,39579200
bgr,1990,45390600
bgr,1991,135700000
bgr,1992,200800000
bgr,1993,298900000
bgr,1994,525600000
bgr,1995,1275678000
bgr,1996,2187142000
bgr,1997,19032357000
bgr,1998,26460036000
bgr,1999,25042932000
bgr,2000,28124879000
bgr,2001,30986688000
bgr,2002,34068712000
bgr,2003,36637913000
bgr,2004,41201299999.99999
bgr,2005,47017239000
bgr,2006,53608436000
bgr,2007,63454890000
bgr,2008,72790342000
bgr,2009,73181464000.00002
bgr,2010,74434109000
bgr,2011,80713713999.99998
bgr,2012,82238607000
bgr,2013,81954849999.99998
bgr,2014,83884920999.99998
bgr,2015,89362348000
bgr,2016,95130590000.00012
bgr,2017,102345074000
bgr,2018,109743367000.00002
bgr,2019,119772250000
bgr,2020,118605085000
bhr,1989,1452699999.99999
bhr,1990,1590400000
bhr,1991,1735700000
bhr,1992,1786400000
bhr,1993,1955300000
bhr,1994,2093400100
bhr,1995,2199399900
bhr,1996,2294299900
bhr,1997,2387300100
bhr,1998,2325100000
bhr,1999,2489499900
bhr,2000,3407650000
bhr,2001,3375050000
bhr,2002,3607160000
bhr,2003,4164130000
bhr,2004,4944460000
bhr,2005,6004240000
bhr,2006,6957790000
bhr,2007,8170480000.00001
bhr,2008,9667300000.00001
bhr,2009,8624770000
bhr,2010,9668190000
bhr,2011,10820000000
bhr,2012,11561740000
bhr,2013,12234840000
bhr,2014,12553780000
bhr,2015,11675040000
bhr,2016,12120350000
bhr,2017,13338140000
bhr,2018,14157340000
bhr,2019,14466420000
bhr,2020,12986760000
bhs,1989,5223247016.68248
bhs,1990,5655362096.01244
bhs,1991,5557402507.4637
bhs,1992,5553544142.92567
bhs,1993,5523177384.98751
bhs,1994,5821486124.73296
bhs,1995,6125153704.11455
bhs,1996,6446684082.28329
bhs,1997,7022756940.78355
bhs,1998,6910974293.60391
bhs,1999,7771303725.82681
bhs,2000,8168371068.5538
bhs,2001,8412477471.61184
bhs,2002,8982217528.1029
bhs,2003,8971021564.05811
bhs,2004,9158328930.01083
bhs,2005,9948124800.13037
bhs,2006,10282941773.6652
bhs,2007,10739164666.2549
bhs,2008,10645773941.7836
bhs,2009,10095543383.6145
bhs,2010,10210638298.5466
bhs,2011,10185040299.4523
bhs,2012,10720500000
bhs,2013,10568400000
bhs,2014,11111600000
bhs,2015,11710800000
bhs,2016,11928500000
bhs,2017,12490700000
bhs,2018,13022100000
bhs,2019,13578800000
bhs,2020,11250000000
bih,1994,2474257118.31675
bih,1995,3253343693.28574
bih,1996,5098887626.51051
bih,1997,7743968701.67463
bih,1998,8810413168.10704
bih,1999,10463059788.8427
bih,2000,11689000000
bih,2001,12565000000
bih,2002,13821000000
bih,2003,14505000000
bih,2004,16689024000
bih,2005,17650339000
bih,2006,20057215000
bih,2007,22547859000
bih,2008,25519330000
bih,2009,24798520000
bih,2010,25364953000
bih,2011,26231262000
bih,2012,26222710000
bih,2013,26778754000
bih,2014,27358710000
bih,2015,28589054000
bih,2016,29904460000
bih,2017,31376236999.99989
bih,2018,33444077000
bih,2019,35295751999.9999
bih,2020,33976721000
blr,1990,433
blr,1991,900
blr,1992,9200
blr,1993,98500
blr,1994,1779300
blr,1995,12140300
blr,1996,19183900
blr,1997,36683000
blr,1998,70216100
blr,1999,302606400
blr,2000,913380000
blr,2001,1717320000
blr,2002,2613830000
blr,2003,3656480000
blr,2004,4999180000
blr,2005,6506710000
blr,2006,7926700000
blr,2007,9716530000
blr,2008,12979080000
blr,2009,14209130000
blr,2010,17046580000
blr,2011,30724500000
blr,2012,54761670000
blr,2013,67068850000
blr,2014,80579270000
blr,2015,89909810000.00031
blr,2016,94949000000
blr,2017,105748200000
blr,2018,122319700000
blr,2019,134732100000
blr,2020,147006000000.00003
blz,1989,726300000
blz,1990,824172890.98435
blz,1991,889441500
blz,1992,1037119401.42887
blz,1993,1120410564.59867
blz,1994,1162539072.74129
blz,1995,1240845000.30109
blz,1996,1283320010.64126
blz,1997,1309165799.88809
blz,1998,1378280024.37074
blz,1999,1465464706.3527
blz,2000,1664144929.30555
blz,2001,1736717454.93441
blz,2002,1850395943.01651
blz,2003,1967151230.49073
blz,2004,2102773152.96782
blz,2005,2205129760.07299
blz,2006,2421207453.01687
blz,2007,2543196089.29339
blz,2008,2702677297.16913
blz,2009,2634618891.20404
blz,2010,2754354165.27682
blz,2011,2921595806.46812
blz,2012,3045795012.15698
blz,2013,3158822506.01028
blz,2014,3334670121.92127
blz,2015,3443401982.93824
blz,2016,3578608175.57124
blz,2017,3717059353.43713
blz,2018,3831799573.92813
blz,2019,3965037081.22681
blz,2020,3527392237.90379
bmu,1989,1501500032
bmu,1990,1807011927.27862
bmu,1991,1855239763.82053
bmu,1992,1906304531.92373
bmu,1993,2065694581.28593
bmu,1994,2118802167.06778
bmu,1995,2304439507.23503
bmu,1996,3058654784.39307
bmu,1997,3328091792.04017
bmu,1998,3552687124.65692
bmu,1999,3772475560.43622
bmu,2000,3949257248.51901
bmu,2001,4176511353.395
bmu,2002,4467858550.87625
bmu,2003,4750753961.85011
bmu,2004,5089118193.48292
bmu,2005,5524227465.21881
bmu,2006,6144000000
bmu,2007,6767000000
bmu,2008,6980000000
bmu,2009,6656000000
bmu,2010,6634526000
bmu,2011,6312691000
bmu,2012,6378188000
bmu,2013,6465756000
bmu,2014,6413987999.99999
bmu,2015,6654541000.00001
bmu,2016,6899910999.99999
bmu,2017,7142315999.99999
bmu,2018,7224328999.99999
bmu,2019,7484113000.00003
bol,1989,12693906000
bol,1990,15443136000
bol,1991,19132128000
bol,1992,22014006000
bol,1993,24458969000.0001
bol,1994,27636342000.0001
bol,1995,32235073000.0001
bol,1996,37536646999.99991
bol,1997,41643865999.9999
bol,1998,46822326000
bol,1999,48156175000
bol,2000,51928491999.99991
bol,2001,53790326999.99991
bol,2002,56682329000
bol,2003,61904449000.0001
bol,2004,69626113000.00011
bol,2005,77023817000
bol,2006,91747795000
bol,2007,103009182000
bol,2008,120693764000
bol,2009,121726744999.99998
bol,2010,137875568000.00003
bol,2011,166231562899.99997
bol,2012,187153877600
bol,2013,211856031699.99994
bol,2014,228003659200
bol,2015,228031369900
bol,2016,234533182000
bol,2017,259184717400.00003
bol,2018,278387647200
bol,2019,282586680900
bol,2020,253520030909.99997
bra,1989,425595.31
bra,1990,11548794.55
bra,1991,60286000
bra,1992,640958800
bra,1993,14097114200
bra,1994,356801000000
bra,1995,705991552900
bra,1996,854763607800
bra,1997,952089196100
bra,1998,1002351019200
bra,1999,1087710456099.99988
bra,2000,1199092070900
bra,2001,1315755467800
bra,2002,1488787255200
bra,2003,1717950396400
bra,2004,1957751212999.99976
bra,2005,2170584503500.00049
bra,2006,2409449921999.99951
bra,2007,2720262937799.99951
bra,2008,3109803089100.00049
bra,2009,3333039355300
bra,2010,3885847000000
bra,2011,4376380999999.99023
bra,2012,4814760000000.00879
bra,2013,5331619000000.00879
bra,2014,5778953000000.02148
bra,2015,5995787000000.02051
bra,2016,6269327999999.98047
bra,2017,6585479000000.01074
bra,2018,7004141000000.01074
bra,2019,7407023573499.96777
bra,2020,7447858250246.38965
brb,1989,4054239818.60992
brb,1990,4047000000
brb,1991,4064000000
brb,1992,3914000000
brb,1993,4150000000
brb,1994,4327000000
brb,1995,4459000000
brb,1996,4754000000
brb,1997,5025000000
brb,1998,5666000000
brb,1999,5937000000
brb,2000,6119000000
brb,2001,6109000000
brb,2002,6213000000
brb,2003,6419000000
brb,2004,6889000000
brb,2005,7639000000
brb,2006,8435000000
brb,2007,9348000000
brb,2008,9570000000
brb,2009,8931000000
brb,2010,9060000000
brb,2011,9315000000.00002
brb,2012,9219999999.99996
brb,2013,9354000000.00004
brb,2014,9393000000
brb,2015,9429999999.99998
brb,2016,9660000000.00002
brb,2017,9956000000.00001
brb,2018,10173000000
brb,2019,10418000000
brb,2020,8731000000.00001
brn,1989,5822558200
brn,1990,6381000000
brn,1991,6395000000
brn,1992,6815000000
brn,1993,6634000000
brn,1994,6243000000
brn,1995,6710000000
brn,1996,7213000000
brn,1997,7717000000
brn,1998,6780000000
brn,1999,7797000000
brn,2000,10345988300
brn,2001,10035474000
brn,2002,10463065100
brn,2003,11424185700
brn,2004,13305817600
brn,2005,15864066900
brn,2006,18225800000
brn,2007,18458500000
brn,2008,20397900000
brn,2009,15611300000
brn,2010,18690000000
brn,2011,23302999999.9999
brn,2012,23802306200
brn,2013,22638999999.9999
brn,2014,21663599999.9999
brn,2015,17778000000
brn,2016,15748000000
brn,2017,16747700000
brn,2018,18301000000
brn,2019,18374986776.6468
brn,2020,16578553381.1797
btn,1989,4478666700
btn,1990,5036894801.90986
btn,1991,5464876700.00001
btn,1992,6226392600.00001
btn,1993,6890681800.00001
btn,1994,8124378200.00001
btn,1995,9419773500.00001
btn,1996,10750720400
btn,1997,12790595200
btn,1998,14996062000
btn,1999,17192514600
btn,2000,19075416200
btn,2001,21775566600.0001
btn,2002,25318496700
btn,2003,28136274399.9999
btn,2004,30931981200.0001
btn,2005,35144971100
btn,2006,39643167199.9999
btn,2007,48307804700
btn,2008,53416067000
btn,2009,59732832000.0001
btn,2010,70783141400.00009
btn,2011,82938206999.99989
btn,2012,95186684100.00032
btn,2013,102910374300.00002
btn,2014,116388798800
btn,2015,128534632200
btn,2016,145072779900
btn,2017,159571684700.00003
btn,2018,167339970000
btn,2019,178201890000
btn,2020,178538181700
bwa,1989,6213550000
bwa,1990,7052350000.00002
bwa,1991,7970750000.00002
bwa,1992,8747900000.00003
bwa,1993,10080305000
bwa,1994,11434600000
bwa,1995,13114200000
bwa,1996,16114900000.0001
bwa,1997,18327800000.0001
bwa,1998,20244000000.0001
bwa,1999,25361400000.0001
bwa,2000,29530900000.0001
bwa,2001,32065900000.0001
bwa,2002,34416000000.0001
bwa,2003,37181580600.00009
bwa,2004,42036500200.00009
bwa,2005,50752072000.00009
bwa,2006,59106901000.00021
bwa,2007,67152660799.99979
bwa,2008,74720901399.99989
bwa,2009,73462364600.0002
bwa,2010,86867416000.0002
bwa,2011,104979857400
bwa,2012,109870421899.99998
bwa,2013,125158316400
bwa,2014,145868640600.00003
bwa,2015,146066191400
bwa,2016,170564035199.99997
bwa,2017,180102582000.00003
bwa,2018,190365308600.00003
bwa,2019,197503588400
bwa,2020,180798687600
caf,1989,393634000000
caf,1990,392255000000
caf,1991,388567000000.00006
caf,1992,373723000000
caf,1993,362103000000.00006
caf,1994,472576000000
caf,1995,556744999999.99988
caf,1996,515538000000
caf,1997,547331000000
caf,1998,570683000000
caf,1999,615377403800
caf,2000,651102539300
caf,2001,683069686499.99988
caf,2002,690985647100
caf,2003,662425831200.00012
caf,2004,670964091200
caf,2005,705415999999.99988
caf,2006,763713000000.00183
caf,2007,813587000000.00195
caf,2008,889059999999.99683
caf,2009,972276000000
caf,2010,1060142000000.00012
caf,2011,1148896000000
caf,2012,1281561000000
caf,2013,835453000000.00195
caf,2014,935578000000.00085
caf,2015,1002592000000
caf,2016,1081516000000
caf,2017,1203324000000
caf,2018,1233635000000
caf,2019,1300902510700.00024
caf,2020,1325619658399.99976
can,1989,669025999999.99902
can,1997,906895000000
can,1998,940539000000
can,1999,1007916999999.99988
can,2000,1106063000000.00024
can,2001,1144535000000
can,2002,1193686999999.99976
can,2003,1254742000000
can,2004,1335724000000.00024
can,2005,1421573000000
can,2006,1496574000000
can,2007,1577660000000
can,2008,1657040000000
can,2009,1571334000000
can,2010,1666046000000
can,2011,1774063000000.00024
can,2012,1827204999999.99976
can,2013,1902248999999.99976
can,2014,1994896999999.99976
can,2015,1990441999999.99976
can,2016,2025532999999.98999
can,2017,2140640999999.99976
can,2018,2231168000000
can,2019,2310712000000
can,2020,2204061000000
chanisl,1998,3590000000
chanisl,1999,3871000000
chanisl,2000,4256000000
chanisl,2001,4330000000
chanisl,2002,4446000000
chanisl,2003,4491000000
chanisl,2004,4672000000
chanisl,2005,4855000000
chanisl,2006,5259000000
chanisl,2007,5755000000
che,1989,330580551800
che,1990,369509225999.99994
che,1991,385929295000
che,1992,393956519999.99994
che,1993,402596439000
che,1994,412537285000
che,1995,417579199000
che,1996,420822455000
che,1997,428309625000
che,1998,440568637000
che,1999,448437465999.99994
che,2000,472595737000
che,2001,484723494000.00006
che,2002,483439959000.00012
che,2003,488937337999.99994
che,2004,504278198000.00006
che,2005,523662569000
che,2006,556438829000
che,2007,592442266999.99988
che,2008,617696476000
che,2009,607377277000
che,2010,629325240000
che,2011,641200305000
che,2012,648980519000.00012
che,2013,660648764999.99988
che,2014,672818206000
che,2015,675735646000
che,2016,685440984000.00012
che,2017,693694125000.00012
che,2018,719613789000
che,2019,726920939999.99988
che,2020,702224121000
chl,1989,7977983648900.01855
chl,1990,10096424395700
chl,1991,13212666666499.99609
chl,1992,16665745886300
chl,1993,19924680966000
chl,1994,23953800140800
chl,1995,29141591313200
chl,1996,32173374439800.00781
chl,1997,35621374458400
chl,1998,37549275338200.00781
chl,1999,38246923164200
chl,2000,42005194286599.99219
chl,2001,45067992919399.99219
chl,2002,48044478870100
chl,2003,52299888133099.99219
chl,2004,60471710758499.98438
chl,2005,68831705427000.00781
chl,2006,82080219853900.01562
chl,2007,90702903280000.01562
chl,2008,93854108404199.98438
chl,2009,96686356858700.01562
chl,2010,111508610680000.01562
chl,2011,122006090354899.96875
chl,2012,129947342296999.98438
chl,2013,137876215768100
chl,2014,148599453874999
chl,2015,159553348309799.96875
chl,2016,169537387722400.03125
chl,2017,179749461246600
chl,2018,190825823098800
chl,2019,196379332652199.0625
chl,2020,200512436237200.03125
chn,1989,1717974173480.01001
chn,1990,1887286882720
chn,1991,2200562845800
chn,1992,2719453090000
chn,1993,3567323035800.00049
chn,1994,4863745033400.00098
chn,1995,6133989133699.99902
chn,1996,7181362958700
chn,1997,7971504449200
chn,1998,8519550708999.99707
chn,1999,9056437577700
chn,2000,10028013925300.00195
chn,2001,11086312304599.99805
chn,2002,12171742474800.00195
chn,2003,13742203491800.00391
