geo,time,sp_dyn_imrt_fe_in
arm,1985,45
arm,1986,43.4
arm,1987,41.8
arm,1988,53.8
arm,1989,38.8
arm,1990,37.3
arm,1991,35.8
arm,1992,34.4
arm,1993,32.9
arm,1994,31.6
arm,1995,30.2
arm,1996,28.9
arm,1997,27.7
arm,1998,26.5
arm,1999,25.3
arm,2000,24.1
arm,2001,23
arm,2002,21.9
arm,2003,20.9
arm,2004,19.9
arm,2005,18.9
arm,2006,18
arm,2007,17.2
arm,2008,16.3
arm,2009,15.5
arm,2010,14.8
arm,2011,14
arm,2012,13.3
arm,2013,12.7
arm,2014,12.1
arm,2015,11.5
arm,2016,10.9
arm,2017,10.4
arm,2018,9.9
arm,2019,9.4
arm,2020,9
arm,2021,8.6
atg,1960,59.2
atg,1961,55.2
atg,1962,50.9
atg,1963,46.3
atg,1964,41.8
atg,1965,37.5
atg,1966,33.5
atg,1967,29.9
atg,1968,26.8
atg,1969,24.2
atg,1970,22
atg,1971,20.2
atg,1972,18.8
atg,1973,17.5
atg,1974,16.5
atg,1975,15.5
atg,1976,14.6
atg,1977,13.8
atg,1978,13
atg,1979,12.3
atg,1980,11.6
atg,1981,11.1
atg,1982,10.6
atg,1983,10.3
atg,1984,10
atg,1985,9.9
atg,1986,9.8
atg,1987,9.8
atg,1988,9.9
atg,1989,10
atg,1990,10.2
atg,1991,10.4
atg,1992,10.7
atg,1993,11
atg,1994,11.2
atg,1995,11.5
atg,1996,11.6
atg,1997,11.7
atg,1998,11.7
atg,1999,11.6
atg,2000,11.4
atg,2001,11.1
atg,2002,10.8
atg,2003,10.4
atg,2004,10
atg,2005,9.6
atg,2006,9.2
atg,2007,8.8
atg,2008,8.4
atg,2009,8
atg,2010,7.6
atg,2011,7.2
atg,2012,6.8
atg,2013,6.5
atg,2014,6.2
atg,2015,6
atg,2016,5.7
atg,2017,5.5
atg,2018,5.3
atg,2019,5.1
atg,2020,4.9
atg,2021,4.8
aus,1960,17.9
aus,1961,17.5
aus,1962,17.1
aus,1963,16.7
aus,1964,16.4
aus,1965,16.2
aus,1966,16
aus,1967,15.9
aus,1968,15.8
aus,1969,15.7
aus,1970,15.4
aus,1971,15.2
aus,1972,14.6
aus,1973,14
aus,1974,13.2
aus,1975,12.5
aus,1976,11.8
aus,1977,11
aus,1978,10.4
aus,1979,9.9
aus,1980,9.5
aus,1981,9.1
aus,1982,8.8
aus,1983,8.6
aus,1984,8.4
aus,1985,8.2
aus,1986,7.9
aus,1987,7.6
aus,1988,7.4
aus,1989,7
aus,1990,6.6
aus,1991,6.3
aus,1992,5.9
aus,1993,5.6
aus,1994,5.3
aus,1995,5.1
aus,1996,4.9
aus,1997,4.9
aus,1998,4.7
aus,1999,4.6
aus,2000,4.6
aus,2001,4.5
aus,2002,4.4
aus,2003,4.4
aus,2004,4.3
aus,2005,4.3
aus,2006,4.2
aus,2007,4.1
aus,2008,3.9
aus,2009,3.7
aus,2010,3.6
aus,2011,3.4
aus,2012,3.3
aus,2013,3.2
aus,2014,3.1
aus,2015,3
aus,2016,2.9
aus,2017,2.9
aus,2018,2.9
aus,2019,2.9
aus,2020,2.9
aus,2021,2.9
aut,1960,32.7
aut,1961,30.6
aut,1962,28.8
aut,1963,27.3
aut,1964,25.9
aut,1965,24.7
aut,1966,23.6
aut,1967,22.7
aut,1968,22.1
aut,1969,21.6
aut,1970,21.5
aut,1971,21.2
aut,1972,20.7
aut,1973,19.8
aut,1974,18.5
aut,1975,17
aut,1976,15.5
aut,1977,14.3
aut,1978,13.3
aut,1979,12.6
aut,1980,11.9
aut,1981,11.3
aut,1982,10.8
aut,1983,10.3
aut,1984,9.8
aut,1985,9.2
aut,1986,8.7
aut,1987,8.3
aut,1988,7.8
aut,1989,7.4
aut,1990,7.1
aut,1991,6.8
aut,1992,6.4
aut,1993,6
aut,1994,5.5
aut,1995,5.1
aut,1996,4.8
aut,1997,4.5
aut,1998,4.3
aut,1999,4.2
aut,2000,4.1
aut,2001,4.1
aut,2002,4
aut,2003,3.9
aut,2004,3.8
aut,2005,3.7
aut,2006,3.5
aut,2007,3.4
aut,2008,3.4
aut,2009,3.3
aut,2010,3.2
aut,2011,3.1
aut,2012,3
aut,2013,2.9
aut,2014,2.8
aut,2015,2.7
aut,2016,2.7
aut,2017,2.7
aut,2018,2.7
aut,2019,2.7
aut,2020,2.7
aut,2021,2.7
aze,1982,79.9
aze,1983,78.1
aze,1984,76.3
aze,1985,74.6
aze,1986,73
aze,1987,71.7
aze,1988,70.6
aze,1989,70
aze,1990,69.8
aze,1991,69.9
aze,1992,70.2
aze,1993,70.3
aze,1994,70.1
aze,1995,69.4
aze,1996,67.9
aze,1997,65.7
aze,1998,62.9
aze,1999,59.6
aze,2000,56.1
aze,2001,52.5
aze,2002,49.1
aze,2003,46
aze,2004,43
aze,2005,40.4
aze,2006,38
aze,2007,35.7
aze,2008,33.5
aze,2009,31.5
aze,2010,29.5
aze,2011,27.6
aze,2012,25.8
aze,2013,24.2
aze,2014,22.6
aze,2015,21
aze,2016,19.6
aze,2017,18.4
aze,2018,17.3
aze,2019,16.4
aze,2020,15.6
aze,2021,14.9
bdi,1964,132.5
bdi,1965,133.6
bdi,1966,134.6
bdi,1967,135.5
bdi,1968,136.2
bdi,1969,137
bdi,1970,137.2
bdi,1971,137.3
bdi,1972,152.4
bdi,1973,137.1
bdi,1974,136.9
bdi,1975,136.5
bdi,1976,135.6
bdi,1977,133.7
bdi,1978,130.3
bdi,1979,126
bdi,1980,121
bdi,1981,115.7
bdi,1982,110.2
bdi,1983,104.8
bdi,1984,100.1
bdi,1985,96.6
bdi,1986,94.2
bdi,1987,93
bdi,1988,92.8
bdi,1989,93.2
bdi,1990,93.9
bdi,1991,94.6
bdi,1992,95.2
bdi,1993,100.3
bdi,1994,95.6
bdi,1995,95.3
bdi,1996,94.4
bdi,1997,93.1
bdi,1998,91.2
bdi,1999,88.9
bdi,2000,86.3
bdi,2001,83.6
bdi,2002,80.7
bdi,2003,77.5
bdi,2004,74.2
bdi,2005,70.5
bdi,2006,66.8
bdi,2007,62.9
bdi,2008,59.4
bdi,2009,56.1
bdi,2010,53
bdi,2011,50.2
bdi,2012,47.6
bdi,2013,45.2
bdi,2014,43
bdi,2015,41.1
bdi,2016,39.4
bdi,2017,37.9
bdi,2018,36.7
bdi,2019,35.4
bdi,2020,34.4
bdi,2021,33.4
bel,1960,25.4
bel,1961,24.4
bel,1962,23.6
bel,1963,22.7
bel,1964,21.8
bel,1965,21
bel,1966,20.2
bel,1967,19.4
bel,1968,18.8
bel,1969,18.2
bel,1970,17.6
bel,1971,16.9
bel,1972,16.2
bel,1973,15.3
bel,1974,14.4
bel,1975,13.5
bel,1976,12.8
bel,1977,12.1
bel,1978,11.5
bel,1979,11
bel,1980,10.5
bel,1981,10
bel,1982,9.5
bel,1983,9.1
bel,1984,8.7
bel,1985,8.4
bel,1986,8.1
bel,1987,7.8
bel,1988,7.6
bel,1989,7.3
bel,1990,7.1
bel,1991,6.9
bel,1992,6.6
bel,1993,6.3
bel,1994,5.9
bel,1995,5.5
bel,1996,5.1
bel,1997,4.8
bel,1998,4.6
bel,1999,4.4
bel,2000,4.3
bel,2001,4.1
bel,2002,4
bel,2003,3.9
bel,2004,3.8
bel,2005,3.7
bel,2006,3.6
bel,2007,3.5
bel,2008,3.4
bel,2009,3.3
bel,2010,3.2
bel,2011,3.2
bel,2012,3.1
bel,2013,3
bel,2014,3
bel,2015,2.9
bel,2016,2.9
bel,2017,2.9
bel,2018,3
bel,2019,3
bel,2020,3
bel,2021,3
ben,1960,170.7
ben,1961,167.6
ben,1962,164.5
ben,1963,161.4
ben,1964,158.1
ben,1965,155.1
ben,1966,152.2
ben,1967,149.4
ben,1968,146.7
ben,1969,144
ben,1970,141.4
ben,1971,138.8
ben,1972,136.2
ben,1973,133.4
ben,1974,130.6
ben,1975,127.8
ben,1976,125
ben,1977,122.4
ben,1978,119.8
ben,1979,117.4
ben,1980,115.2
ben,1981,113.2
ben,1982,111.4
ben,1983,109.6
ben,1984,107.9
ben,1985,106.2
ben,1986,104.4
ben,1987,102.7
ben,1988,100.9
ben,1989,99.1
ben,1990,97.1
ben,1991,95.1
ben,1992,93.1
ben,1993,91.3
ben,1994,89.5
ben,1995,87.7
ben,1996,85.9
ben,1997,84.2
ben,1998,82.5
ben,1999,80.6
ben,2000,78.7
ben,2001,76.7
ben,2002,75.2
ben,2003,73.6
ben,2004,72.1
ben,2005,70.6
ben,2006,69.1
ben,2007,67.6
ben,2008,66.1
ben,2009,64.7
ben,2010,63.2
ben,2011,61.8
ben,2012,60.5
ben,2013,59.3
ben,2014,58
ben,2015,56.8
ben,2016,55.7
ben,2017,54.6
ben,2018,53.3
ben,2019,52
ben,2020,50.7
ben,2021,49.4
bfa,1960,145.4
bfa,1961,144
bfa,1962,142.5
bfa,1963,141.2
bfa,1964,139.9
bfa,1965,138.8
bfa,1966,137.8
bfa,1967,136.8
bfa,1968,135.9
bfa,1969,135
bfa,1970,134
bfa,1971,132.8
bfa,1972,131.2
bfa,1973,129
bfa,1974,126.2
bfa,1975,122.7
bfa,1976,118.8
bfa,1977,115
bfa,1978,111.6
bfa,1979,108.6
bfa,1980,106
bfa,1981,103.8
bfa,1982,101.9
bfa,1983,100.3
bfa,1984,98.6
bfa,1985,96.9
bfa,1986,95.1
bfa,1987,93.5
bfa,1988,92.1
bfa,1989,91.3
bfa,1990,91
bfa,1991,90.8
bfa,1992,90.7
bfa,1993,90.6
bfa,1994,90.4
bfa,1995,89.9
bfa,1996,88.9
bfa,1997,87.9
bfa,1998,86.6
bfa,1999,85.3
bfa,2000,83.9
bfa,2001,82.4
bfa,2002,80.7
bfa,2003,78.6
bfa,2004,76.4
bfa,2005,74
bfa,2006,71.6
bfa,2007,69.2
bfa,2008,66.9
bfa,2009,64.7
bfa,2010,62.7
bfa,2011,60.7
bfa,2012,59
bfa,2013,57.3
bfa,2014,55.8
bfa,2015,54.4
bfa,2016,53
bfa,2017,51.7
bfa,2018,50.5
bfa,2019,49.2
bfa,2020,48
bfa,2021,46.8
bgd,1960,161.4
bgd,1961,157.5
bgd,1962,153.9
bgd,1963,150.7
bgd,1964,147.9
bgd,1965,145.4
bgd,1966,143.6
bgd,1967,142.1
bgd,1968,141.1
bgd,1969,140.5
bgd,1970,157.4
bgd,1971,200
bgd,1972,140.2
bgd,1973,139.9
bgd,1974,139.2
bgd,1975,138.2
bgd,1976,137.2
bgd,1977,135.7
bgd,1978,133.7
bgd,1979,131.5
bgd,1980,128.8
bgd,1981,125.9
bgd,1982,122.7
bgd,1983,119.4
bgd,1984,115.6
bgd,1985,111.7
bgd,1986,107.7
bgd,1987,104
bgd,1988,100.4
bgd,1989,96.8
bgd,1990,93.2
bgd,1991,89.6
bgd,1992,86
bgd,1993,82.5
bgd,1994,78.9
bgd,1995,75.1
bgd,1996,71.4
bgd,1997,68
bgd,1998,64.7
bgd,1999,61.5
bgd,2000,58.5
bgd,2001,55.7
bgd,2002,52.9
bgd,2003,50.4
bgd,2004,48
bgd,2005,45.6
bgd,2006,43.4
bgd,2007,41.3
bgd,2008,39.3
bgd,2009,37.5
bgd,2010,35.9
bgd,2011,34.4
bgd,2012,32.9
bgd,2013,31.5
bgd,2014,30.1
bgd,2015,28.7
bgd,2016,27.4
bgd,2017,26.1
bgd,2018,24.8
bgd,2019,23.5
bgd,2020,22.3
bgd,2021,21.2
bgr,1960,40.8
bgr,1961,36.1
bgr,1962,32.7
bgr,1963,30.3
bgr,1964,28.8
bgr,1965,28
bgr,1966,27.9
bgr,1967,27.6
bgr,1968,26.7
bgr,1969,25.2
bgr,1970,24
bgr,1971,23.1
bgr,1972,22.4
bgr,1973,21.8
bgr,1974,21.4
bgr,1975,21
bgr,1976,20.4
bgr,1977,19.7
bgr,1978,18.9
bgr,1979,17.9
bgr,1980,17
bgr,1981,16.3
bgr,1982,15.8
bgr,1983,15.2
bgr,1984,14.6
bgr,1985,13.9
bgr,1986,13.1
bgr,1987,12.5
bgr,1988,12.2
bgr,1989,12.4
bgr,1990,12.7
bgr,1991,13.1
bgr,1992,13.4
bgr,1993,13.5
bgr,1994,13.5
bgr,1995,13.5
bgr,1996,13.7
bgr,1997,13.8
bgr,1998,13.6
bgr,1999,13.1
bgr,2000,12.6
bgr,2001,12.1
bgr,2002,11.7
bgr,2003,11.1
bgr,2004,10.5
bgr,2005,9.8
bgr,2006,9.3
bgr,2007,8.8
bgr,2008,8.5
bgr,2009,8.3
bgr,2010,8
bgr,2011,7.7
bgr,2012,7.3
bgr,2013,6.9
bgr,2014,6.5
bgr,2015,6.1
bgr,2016,5.8
bgr,2017,5.5
bgr,2018,5.3
bgr,2019,5.1
bgr,2020,4.9
bgr,2021,4.8
bhr,1960,129.7
bhr,1961,119.4
bhr,1962,110
bhr,1963,101.2
bhr,1964,92.8
bhr,1965,85
bhr,1966,77.9
bhr,1967,71.2
bhr,1968,65.1
bhr,1969,59.5
bhr,1970,54.4
bhr,1971,49.8
bhr,1972,45.6
bhr,1973,41.9
bhr,1974,38.6
bhr,1975,35.7
bhr,1976,33.1
bhr,1977,30.9
bhr,1978,28.9
bhr,1979,27.1
bhr,1980,25.5
bhr,1981,24.2
bhr,1982,23
bhr,1983,22
bhr,1984,21.1
bhr,1985,20.4
bhr,1986,19.9
bhr,1987,19.5
bhr,1988,19.3
bhr,1989,19.2
bhr,1990,19.1
bhr,1991,18.9
bhr,1992,18.4
bhr,1993,17.6
bhr,1994,16.5
bhr,1995,15.2
bhr,1996,13.9
bhr,1997,12.7
bhr,1998,11.8
bhr,1999,11
bhr,2000,10.4
bhr,2001,10
bhr,2002,9.7
bhr,2003,9.4
bhr,2004,9.1
bhr,2005,8.8
bhr,2006,8.5
bhr,2007,8.1
bhr,2008,7.7
bhr,2009,7.3
bhr,2010,7
bhr,2011,6.7
bhr,2012,6.5
bhr,2013,6.3
bhr,2014,6.2
bhr,2015,6.2
bhr,2016,6.1
bhr,2017,6
bhr,2018,5.9
bhr,2019,5.8
bhr,2020,5.7
bhr,2021,5.6
bhs,1968,23
bhs,1969,23.4
bhs,1970,23.9
bhs,1971,24.3
bhs,1972,24.6
bhs,1973,24.9
bhs,1974,25
bhs,1975,24.9
bhs,1976,24.7
bhs,1977,24.3
bhs,1978,24
bhs,1979,23.6
bhs,1980,23.2
bhs,1981,22.9
bhs,1982,22.7
bhs,1983,22.4
bhs,1984,22.3
bhs,1985,22
bhs,1986,21.6
bhs,1987,21
bhs,1988,20.2
bhs,1989,19.3
bhs,1990,18.5
bhs,1991,17.6
bhs,1992,16.8
bhs,1993,16
bhs,1994,15.3
bhs,1995,14.6
bhs,1996,14
bhs,1997,13.5
bhs,1998,13.1
bhs,1999,12.9
bhs,2000,12.9
bhs,2001,13
bhs,2002,13.2
bhs,2003,13.4
bhs,2004,13.5
bhs,2005,13.5
bhs,2006,13.4
bhs,2007,13.2
bhs,2008,12.9
bhs,2009,12.6
bhs,2010,12.3
bhs,2011,12
bhs,2012,11.8
bhs,2013,11.5
bhs,2014,11.3
bhs,2015,11.1
bhs,2016,11
bhs,2017,10.9
bhs,2018,10.8
bhs,2019,14.5
bhs,2020,10.6
bhs,2021,10.5
bih,1984,23.3
bih,1985,21.4
bih,1986,19.7
bih,1987,18.2
bih,1988,16.8
bih,1989,15.5
bih,1990,14.3
bih,1991,13.2
bih,1992,20.1
bih,1993,19.5
bih,1994,15.6
bih,1995,10.5
bih,1996,9.5
bih,1997,9
bih,1998,8.5
bih,1999,8
bih,2000,7.7
bih,2001,7.4
bih,2002,7.2
bih,2003,7.1
bih,2004,7
bih,2005,6.9
bih,2006,6.6
bih,2007,6.4
bih,2008,6.1
bih,2009,5.8
bih,2010,5.6
bih,2011,5.4
bih,2012,5.2
bih,2013,5.1
bih,2014,4.9
bih,2015,4.9
bih,2016,4.8
bih,2017,4.8
bih,2018,4.7
bih,2019,4.6
bih,2020,4.5
bih,2021,4.4
blr,1980,14.4
blr,1981,13.8
blr,1982,13.3
blr,1983,12.8
blr,1984,12.3
blr,1985,11.9
blr,1986,11.5
blr,1987,11.1
blr,1988,10.7
blr,1989,10.4
blr,1990,10.2
blr,1991,10.2
blr,1992,10.3
blr,1993,10.4
blr,1994,10.5
blr,1995,10.5
blr,1996,10.3
blr,1997,10
blr,1998,9.6
blr,1999,9
blr,2000,8.4
blr,2001,7.8
blr,2002,7.2
blr,2003,6.7
blr,2004,6.2
blr,2005,5.7
blr,2006,5.3
blr,2007,4.8
blr,2008,4.4
blr,2009,4
blr,2010,3.7
blr,2011,3.4
blr,2012,3.2
blr,2013,3
blr,2014,2.9
blr,2015,2.7
blr,2016,2.6
blr,2017,2.4
blr,2018,2.2
blr,2019,2.1
blr,2020,1.9
blr,2021,1.8
blz,1967,71.9
blz,1968,69.2
blz,1969,66.5
blz,1970,64
blz,1971,61.7
blz,1972,59.4
blz,1973,57.2
blz,1974,55.1
blz,1975,53.1
blz,1976,51.2
blz,1977,49.4
blz,1978,47.7
blz,1979,46.1
blz,1980,44.5
blz,1981,42.9
blz,1982,41.2
blz,1983,39.6
blz,1984,38
blz,1985,36.3
blz,1986,34.7
blz,1987,32.9
blz,1988,31.1
blz,1989,29.5
blz,1990,27.8
blz,1991,26.3
blz,1992,24.9
blz,1993,23.6
blz,1994,22.5
blz,1995,21.5
blz,1996,20.6
blz,1997,19.8
blz,1998,19.1
blz,1999,18.4
blz,2000,17.8
blz,2001,17.3
blz,2002,16.9
blz,2003,16.6
blz,2004,16.3
blz,2005,16.1
blz,2006,15.8
blz,2007,15.6
blz,2008,15.3
blz,2009,15
blz,2010,14.7
blz,2011,14.2
blz,2012,13.7
blz,2013,13.1
blz,2014,12.5
blz,2015,11.9
blz,2016,11.3
blz,2017,10.7
blz,2018,10.1
blz,2019,9.6
blz,2020,9.1
blz,2021,8.7
bol,1960,157.9
bol,1961,154.8
bol,1962,151.9
bol,1963,148.8
bol,1964,145.8
bol,1965,142.9
bol,1966,139.9
bol,1967,136.9
bol,1968,133.9
bol,1969,130.9
bol,1970,127.8
bol,1971,124.9
bol,1972,122.1
bol,1973,119.1
bol,1974,116.1
bol,1975,113.1
bol,1976,110.3
bol,1977,107.5
bol,1978,104.9
bol,1979,102.5
bol,1980,100.1
bol,1981,98
bol,1982,96.1
bol,1983,94.1
bol,1984,92.1
bol,1985,90
bol,1986,87.4
bol,1987,84.8
bol,1988,82.2
bol,1989,79.6
bol,1990,77.1
bol,1991,74.5
bol,1992,72
bol,1993,69.6
bol,1994,67.1
bol,1995,64.6
bol,1996,61.9
bol,1997,59.2
bol,1998,56.5
bol,1999,53.8
bol,2000,51.1
bol,2001,48.5
bol,2002,46
bol,2003,43.6
bol,2004,41.3
bol,2005,39.1
bol,2006,37.1
bol,2007,35.1
bol,2008,33.3
bol,2009,31.5
bol,2010,29.9
bol,2011,28.3
bol,2012,26.9
bol,2013,25.4
bol,2014,24.2
bol,2015,23
bol,2016,22
bol,2017,21.1
bol,2018,20.2
bol,2019,19.4
bol,2020,18.7
bol,2021,18.1
bra,1960,114.2
bra,1961,111.3
bra,1962,108.4
bra,1963,105.6
bra,1964,103
bra,1965,100.6
bra,1966,98.3
bra,1967,96.2
bra,1968,94
bra,1969,92
bra,1970,89.9
bra,1971,87.9
bra,1972,85.8
bra,1973,83.7
bra,1974,81.8
bra,1975,79.8
bra,1976,77.8
bra,1977,75.5
bra,1978,73.2
bra,1979,70.8
bra,1980,68.3
bra,1981,65.7
bra,1982,63.2
bra,1983,60.8
bra,1984,58.5
bra,1985,56.4
bra,1986,54.4
bra,1987,52.6
bra,1988,50.8
bra,1989,49
bra,1990,47.1
bra,1991,45.2
bra,1992,43.1
bra,1993,41
bra,1994,38.7
bra,1995,36.5
bra,1996,34.4
bra,1997,32.3
bra,1998,30.4
bra,1999,28.5
bra,2000,26.8
bra,2001,25.2
bra,2002,23.6
bra,2003,22.1
bra,2004,20.7
bra,2005,19.4
bra,2006,18.2
bra,2007,17.1
bra,2008,16.2
bra,2009,15.4
bra,2010,14.7
bra,2011,14.1
bra,2012,13.6
bra,2013,13.2
bra,2014,12.8
bra,2015,12.6
bra,2016,13.4
bra,2017,12.1
bra,2018,12
bra,2019,11.8
bra,2020,11.6
bra,2021,11.4
brb,1960,64.2
brb,1961,59.7
brb,1962,55.8
brb,1963,52.3
brb,1964,49.3
brb,1965,46.7
brb,1966,44.4
brb,1967,42.4
brb,1968,40.4
brb,1969,38.5
brb,1970,36.7
brb,1971,34.9
brb,1972,33.1
brb,1973,31.4
brb,1974,29.7
brb,1975,28.1
brb,1976,26.6
brb,1977,25.1
brb,1978,23.7
brb,1979,22.4
brb,1980,21.1
brb,1981,20.1
brb,1982,19.2
brb,1983,18.5
brb,1984,17.9
brb,1985,17.3
brb,1986,16.8
brb,1987,16.3
brb,1988,15.8
brb,1989,15.2
brb,1990,14.6
brb,1991,14.1
brb,1992,13.6
brb,1993,13.1
brb,1994,12.8
brb,1995,12.5
brb,1996,12.4
brb,1997,12.3
brb,1998,12.4
brb,1999,12.5
brb,2000,12.7
brb,2001,13
brb,2002,13.2
brb,2003,13.3
brb,2004,13.4
brb,2005,13.4
brb,2006,13.3
brb,2007,13.1
brb,2008,13
brb,2009,12.8
brb,2010,12.7
brb,2011,12.6
brb,2012,12.5
brb,2013,12.3
brb,2014,12.2
brb,2015,11.9
brb,2016,11.7
brb,2017,11.4
brb,2018,11.1
brb,2019,10.8
brb,2020,10.4
brb,2021,10.1
brn,1960,74.8
brn,1961,67.6
brn,1962,60.6
brn,1963,54.5
brn,1964,49.5
brn,1965,45.6
brn,1966,42.6
brn,1967,40.4
brn,1968,38.5
brn,1969,36.6
brn,1970,34.6
brn,1971,32.2
brn,1972,29.6
brn,1973,27
brn,1974,24.4
brn,1975,22.1
brn,1976,20
brn,1977,18.1
brn,1978,16.5
brn,1979,15
brn,1980,13.8
brn,1981,12.8
