geo,time,se_pre_durs
bfa,2019,3
bfa,2020,3
bfa,2021,3
bfa,2022,3
bfa,2023,3
bgd,1999,3
bgd,2000,3
bgd,2001,3
bgd,2002,3
bgd,2003,3
bgd,2004,3
bgd,2005,3
bgd,2006,3
bgd,2007,3
bgd,2008,3
bgd,2009,3
bgd,2010,3
bgd,2011,3
bgd,2012,3
bgd,2013,3
bgd,2014,3
bgd,2015,3
bgd,2016,3
bgd,2017,3
bgd,2018,3
bgd,2019,3
bgd,2020,3
bgd,2021,3
bgd,2022,3
bgd,2023,3
bgr,1999,4
bgr,2000,4
bgr,2001,4
bgr,2002,4
bgr,2003,4
bgr,2004,4
bgr,2005,4
bgr,2006,4
bgr,2007,4
bgr,2008,4
bgr,2009,4
bgr,2010,4
bgr,2011,4
bgr,2012,4
bgr,2013,4
bgr,2014,4
bgr,2015,4
bgr,2016,4
bgr,2017,4
bgr,2018,4
bgr,2019,4
bgr,2020,4
bgr,2021,4
bgr,2022,4
bgr,2023,4
bhr,1999,3
bhr,2000,5
bhr,2001,5
bhr,2002,5
bhr,2003,5
bhr,2004,5
bhr,2005,5
bhr,2006,5
bhr,2007,5
bhr,2008,5
bhr,2009,5
bhr,2010,5
bhr,2011,5
bhr,2012,5
bhr,2013,5
bhr,2014,5
bhr,2015,5
bhr,2016,5
bhr,2017,5
bhr,2018,5
bhr,2019,5
bhr,2020,6
bhr,2021,6
bhr,2022,6
bhr,2023,6
bhs,1999,2
bhs,2000,2
bhs,2001,2
bhs,2002,2
bhs,2003,2
bhs,2004,2
bhs,2005,2
bhs,2006,2
bhs,2007,2
bhs,2008,2
bhs,2009,2
bhs,2010,2
bhs,2011,2
bhs,2012,2
bhs,2013,2
bhs,2014,2
bhs,2015,2
bhs,2016,2
bhs,2017,2
bhs,2018,2
bhs,2019,2
bhs,2020,2
bhs,2021,2
bhs,2022,2
bhs,2023,2
bih,1999,4
bih,2000,4
bih,2011,5
bih,2012,5
bih,2013,5
bih,2014,5
bih,2015,5
bih,2016,5
bih,2017,5
bih,2018,5
bih,2019,5
bih,2020,6
bih,2021,6
bih,2022,6
bih,2023,6
blr,1999,5
blr,2000,5
blr,2001,5
blr,2002,5
blr,2003,5
blr,2004,5
blr,2005,5
blr,2006,5
blr,2007,5
blr,2008,5
blr,2009,5
blr,2010,4
blr,2011,4
blr,2012,4
blr,2013,4
blr,2014,4
blr,2015,4
blr,2016,4
blr,2017,4
blr,2018,4
blr,2019,4
blr,2020,4
blr,2021,4
blr,2022,4
blr,2023,4
blz,1999,2
blz,2000,2
blz,2001,2
blz,2002,2
blz,2003,2
blz,2004,2
blz,2005,2
blz,2006,2
blz,2007,2
blz,2008,2
blz,2009,2
blz,2010,2
blz,2011,2
blz,2012,2
blz,2013,2
blz,2014,2
blz,2015,2
blz,2016,2
blz,2017,2
blz,2018,2
blz,2019,2
blz,2020,2
blz,2021,2
blz,2022,2
blz,2023,2
bmu,1998,1
bmu,1999,1
bmu,2000,1
bmu,2001,1
bmu,2002,1
bmu,2003,1
bmu,2004,1
bmu,2005,1
bmu,2006,1
bmu,2007,1
bmu,2008,1
bmu,2009,1
bmu,2010,1
bmu,2011,1
bmu,2012,1
bmu,2013,1
bmu,2014,1
bmu,2015,1
bmu,2016,1
bmu,2017,1
bmu,2018,1
bmu,2019,1
bmu,2020,1
bmu,2021,1
bmu,2022,1
bmu,2023,1
bol,1976,2
bol,1999,2
bol,2000,2
bol,2001,2
bol,2002,2
bol,2003,2
bol,2004,2
bol,2005,2
bol,2006,2
bol,2007,2
bol,2008,2
bol,2009,2
bol,2010,2
bol,2011,2
bol,2012,2
bol,2013,2
bol,2014,2
bol,2015,2
bol,2016,2
bol,2017,2
bol,2018,2
bol,2019,2
bol,2020,2
bol,2021,2
bol,2022,2
bol,2023,2
bra,1999,7
bra,2000,7
bra,2001,7
bra,2002,7
bra,2003,7
bra,2004,7
bra,2005,7
bra,2006,7
bra,2007,7
bra,2008,7
bra,2009,7
bra,2010,6
bra,2011,6
bra,2012,6
bra,2013,6
bra,2014,6
bra,2015,6
bra,2016,6
bra,2017,6
bra,2018,6
bra,2019,6
bra,2020,6
bra,2021,6
bra,2022,6
bra,2023,6
brb,2013,5
brb,2014,5
brb,2015,5
brb,2016,5
brb,2017,5
brb,2018,5
brb,2019,5
brb,2020,5
brb,2021,5
brb,2022,5
brb,2023,5
brn,1998,3
brn,1999,3
brn,2000,3
brn,2001,3
brn,2002,3
brn,2003,3
brn,2004,3
brn,2005,3
brn,2006,3
brn,2007,3
brn,2008,3
brn,2009,3
brn,2010,3
brn,2011,3
brn,2012,3
brn,2013,3
brn,2014,3
brn,2015,3
brn,2016,3
brn,2017,3
brn,2018,3
brn,2019,3
brn,2020,3
brn,2021,3
brn,2022,3
brn,2023,3
btn,1998,2
btn,1999,2
btn,2000,2
btn,2001,2
btn,2002,2
btn,2003,2
btn,2004,2
btn,2005,2
btn,2006,2
btn,2007,2
btn,2008,2
btn,2009,2
btn,2010,2
btn,2011,2
btn,2012,2
btn,2013,2
btn,2014,2
btn,2015,2
btn,2016,2
btn,2017,2
btn,2018,2
btn,2019,2
btn,2020,2
btn,2021,2
btn,2022,2
btn,2023,3
bwa,1999,3
bwa,2000,3
bwa,2001,3
bwa,2002,3
bwa,2003,3
bwa,2004,3
bwa,2005,3
bwa,2006,3
bwa,2007,3
bwa,2008,3
bwa,2009,3
bwa,2010,3
bwa,2011,3
bwa,2012,3
bwa,2013,3
bwa,2014,3
bwa,2015,3
bwa,2016,3
bwa,2017,3
bwa,2018,3
bwa,2019,3
bwa,2020,3
bwa,2021,3
bwa,2022,3
bwa,2023,3
caf,1999,3
caf,2000,3
caf,2001,3
caf,2002,3
caf,2003,3
caf,2004,3
caf,2005,3
caf,2006,3
caf,2007,3
caf,2008,3
caf,2009,3
caf,2010,3
caf,2011,3
caf,2012,3
caf,2013,3
caf,2014,3
caf,2015,3
caf,2016,3
caf,2017,3
caf,2018,3
caf,2019,3
caf,2020,3
caf,2021,3
caf,2022,3
caf,2023,3
can,1998,3
can,1999,3
can,2000,6
can,2001,6
can,2002,6
can,2003,6
can,2004,6
can,2005,6
can,2006,6
can,2007,6
can,2008,6
can,2009,6
can,2010,6
can,2011,6
can,2012,6
can,2013,6
can,2014,6
can,2015,6
can,2016,6
can,2017,6
can,2018,6
can,2019,6
can,2020,6
can,2021,6
can,2022,6
can,2023,6
che,1999,2
che,2000,2
che,2001,2
che,2002,2
che,2003,2
che,2004,2
che,2005,2
che,2006,2
che,2007,2
che,2008,2
che,2009,2
che,2010,2
che,2011,2
che,2012,2
che,2013,2
che,2014,2
che,2015,2
che,2016,2
che,2017,2
che,2018,2
che,2019,2
che,2020,2
che,2021,2
che,2022,2
che,2023,2
chl,2013,6
chl,2014,6
chl,2015,6
chl,2016,6
chl,2017,6
chl,2018,6
chl,2019,6
chl,2020,6
chl,2021,6
chl,2022,6
chl,2023,6
chn,1997,4
chn,1998,3
chn,1999,3
chn,2000,3
chn,2001,3
chn,2002,3
chn,2003,3
chn,2004,3
chn,2005,3
chn,2006,3
chn,2007,3
chn,2008,3
chn,2009,3
chn,2010,3
chn,2011,3
chn,2012,3
chn,2013,3
chn,2014,3
chn,2015,3
chn,2016,3
chn,2017,3
chn,2018,3
chn,2019,3
chn,2020,3
chn,2021,3
chn,2022,3
chn,2023,3
civ,1999,3
civ,2000,3
civ,2001,3
civ,2002,3
civ,2003,3
civ,2004,3
civ,2005,3
civ,2006,3
civ,2007,3
civ,2008,3
civ,2009,3
civ,2010,3
civ,2011,3
civ,2012,3
civ,2013,3
civ,2014,3
civ,2015,3
civ,2016,3
civ,2017,3
civ,2018,3
civ,2019,3
civ,2020,3
civ,2021,3
civ,2022,3
civ,2023,3
cmr,1999,2
cmr,2000,2
cmr,2001,2
cmr,2002,2
cmr,2003,2
cmr,2004,2
cmr,2005,2
cmr,2006,2
cmr,2007,2
cmr,2008,2
cmr,2009,2
cmr,2010,2
cmr,2011,2
cmr,2012,2
cmr,2013,2
cmr,2014,2
cmr,2015,2
cmr,2016,2
cmr,2017,2
cmr,2018,2
cmr,2019,2
cmr,2020,2
cmr,2021,2
cmr,2022,2
cmr,2023,2
cod,1999,3
cod,2000,3
cod,2001,3
cod,2002,3
cod,2003,3
cod,2004,3
cod,2005,3
cod,2006,3
cod,2007,3
cod,2008,3
cod,2009,3
cod,2010,3
cod,2011,3
cod,2012,3
cod,2013,3
cod,2014,3
cod,2015,3
cod,2016,3
cod,2017,3
cod,2018,3
cod,2019,3
cod,2020,3
cod,2021,3
cod,2022,3
cod,2023,3
cog,1999,3
cog,2000,3
cog,2001,3
cog,2002,3
cog,2003,3
cog,2004,3
cog,2005,3
cog,2006,3
cog,2007,3
cog,2008,3
cog,2009,3
cog,2010,3
cog,2011,3
cog,2012,3
cog,2013,3
cog,2014,3
cog,2015,3
cog,2016,3
cog,2017,3
cog,2018,3
cog,2019,3
cog,2020,3
cog,2021,3
cog,2022,3
cog,2023,3
col,1999,3
col,2000,3
col,2001,3
col,2002,3
col,2003,3
col,2004,3
col,2005,3
col,2006,3
col,2007,3
col,2008,3
col,2009,3
col,2010,3
col,2011,3
col,2012,6
col,2013,6
col,2014,6
col,2015,6
col,2016,6
col,2017,6
col,2018,6
col,2019,6
col,2020,6
col,2021,6
col,2022,6
col,2023,6
com,1999,3
com,2000,3
com,2001,3
com,2002,3
com,2003,3
com,2004,3
com,2005,3
com,2006,3
com,2007,3
com,2008,3
com,2009,3
com,2010,3
com,2011,3
com,2012,3
com,2013,3
com,2014,3
com,2015,3
com,2016,3
com,2017,3
com,2018,3
com,2019,3
com,2020,3
com,2021,3
com,2022,3
com,2023,3
cpv,1999,3
cpv,2000,3
cpv,2001,3
cpv,2002,3
cpv,2003,3
cpv,2004,3
cpv,2005,3
cpv,2006,3
cpv,2007,3
cpv,2008,3
cpv,2009,3
cpv,2010,3
cpv,2011,3
cpv,2012,3
cpv,2013,3
cpv,2014,3
cpv,2015,3
cpv,2016,3
cpv,2017,3
cpv,2018,3
cpv,2019,3
cpv,2020,3
cpv,2021,3
cpv,2022,3
cpv,2023,3
cri,1998,6
cri,1999,6
cri,2000,6
cri,2001,6
cri,2002,6
cri,2003,6
cri,2004,6
cri,2005,6
cri,2006,6
cri,2007,6
cri,2008,6
cri,2009,6
cri,2010,6
cri,2011,6
cri,2012,6
cri,2013,6
cri,2014,6
cri,2015,6
cri,2016,6
cri,2017,6
cri,2018,6
cri,2019,6
cri,2020,6
cri,2021,6
cri,2022,6
cri,2023,6
cub,1999,6
cub,2000,6
cub,2001,6
cub,2002,6
cub,2003,6
cub,2004,6
cub,2005,6
cub,2006,6
cub,2007,6
cub,2008,6
cub,2009,6
cub,2010,6
cub,2011,6
cub,2012,6
cub,2013,6
cub,2014,6
cub,2015,6
cub,2016,6
cub,2017,6
cub,2018,6
cub,2019,6
cub,2020,6
cub,2021,6
cub,2022,6
cub,2023,6
cym,2013,4
cym,2014,4
cym,2015,4
cym,2016,4
cym,2017,4
cym,2018,4
cym,2019,4
cym,2020,4
cym,2021,4
cym,2022,4
cym,2023,4
cyp,1999,3
cyp,2000,3
cyp,2001,3
cyp,2002,3
cyp,2003,3
cyp,2004,3
cyp,2005,3
cyp,2006,3
cyp,2007,3
cyp,2008,3
cyp,2009,3
cyp,2010,3
cyp,2011,3
cyp,2012,3
cyp,2013,3
cyp,2014,3
cyp,2015,6
cyp,2016,6
cyp,2017,6
cyp,2018,6
cyp,2019,6
cyp,2020,6
cyp,2021,6
cyp,2022,6
cyp,2023,6
cze,1997,3
cze,1998,3
cze,1999,3
cze,2000,3
cze,2001,3
cze,2002,3
cze,2003,3
cze,2004,3
cze,2005,3
cze,2006,3
cze,2007,3
cze,2008,3
cze,2009,3
cze,2010,3
cze,2011,3
cze,2012,3
cze,2013,3
cze,2014,3
cze,2015,3
cze,2016,3
cze,2017,3
cze,2018,3
cze,2019,3
cze,2020,3
cze,2021,3
cze,2022,3
cze,2023,3
deu,2013,6
deu,2014,6
deu,2015,6
deu,2016,6
deu,2017,6
deu,2018,6
deu,2019,6
deu,2020,6
deu,2021,6
deu,2022,6
deu,2023,6
dji,1999,2
dji,2000,2
dji,2001,2
dji,2002,2
dji,2003,2
dji,2004,2
dji,2005,2
dji,2006,2
dji,2007,2
dji,2008,2
dji,2009,2
dji,2010,2
dji,2011,2
dji,2012,2
dji,2013,2
dji,2014,2
dji,2015,2
dji,2016,2
dji,2017,2
dji,2018,2
dji,2019,2
dji,2020,2
dji,2021,2
dji,2022,2
dji,2023,2
dma,2000,2
dma,2013,5
dma,2014,5
dma,2015,5
dma,2016,5
dma,2017,5
dma,2018,5
dma,2019,5
dma,2020,5
dma,2021,5
dma,2022,5
dma,2023,5
dnk,2013,6
dnk,2014,6
dnk,2015,6
dnk,2016,6
dnk,2017,6
dnk,2018,6
dnk,2019,6
dnk,2020,6
dnk,2021,6
dnk,2022,6
dnk,2023,6
dom,1998,3
dom,1999,3
dom,2000,3
dom,2001,3
dom,2002,3
dom,2003,3
dom,2004,3
dom,2005,3
dom,2006,3
dom,2007,3
dom,2008,3
dom,2009,3
dom,2010,3
dom,2011,3
dom,2012,3
dom,2013,3
dom,2014,3
dom,2015,3
dom,2016,3
dom,2017,3
dom,2018,3
dom,2019,3
dom,2020,3
dom,2021,3
dom,2022,3
dom,2023,3
dza,1971,2
dza,1999,2
dza,2000,2
dza,2001,2
dza,2002,2
dza,2003,2
dza,2004,2
dza,2005,2
dza,2006,1
dza,2007,1
dza,2008,1
dza,2009,1
dza,2010,1
dza,2011,1
dza,2012,1
dza,2013,1
dza,2014,1
dza,2015,1
dza,2016,1
dza,2017,1
dza,2018,1
dza,2019,1
dza,2020,1
dza,2021,1
dza,2022,1
dza,2023,1
ecu,1999,1
ecu,2000,1
ecu,2001,1
ecu,2002,1
ecu,2003,1
ecu,2004,1
ecu,2005,1
ecu,2006,1
ecu,2007,1
ecu,2008,3
ecu,2009,3
ecu,2010,3
ecu,2011,3
ecu,2012,3
ecu,2013,3
ecu,2014,3
ecu,2015,3
ecu,2016,3
ecu,2017,3
ecu,2018,3
ecu,2019,3
ecu,2020,3
ecu,2021,3
ecu,2022,3
ecu,2023,3
egy,1999,2
egy,2000,2
egy,2001,2
egy,2002,2
egy,2003,2
egy,2004,2
egy,2005,2
egy,2006,2
egy,2007,2
egy,2008,2
egy,2009,2
egy,2010,2
egy,2011,2
egy,2012,2
egy,2013,2
egy,2014,2
egy,2015,2
egy,2016,2
egy,2017,2
egy,2018,2
egy,2019,2
egy,2020,2
egy,2021,2
egy,2022,2
egy,2023,2
eri,1999,2
eri,2000,2
eri,2001,2
eri,2002,2
eri,2003,2
eri,2004,2
eri,2005,2
eri,2006,2
eri,2007,2
eri,2008,2
eri,2009,2
eri,2010,2
eri,2011,2
eri,2012,2
eri,2013,2
eri,2014,2
eri,2015,2
eri,2016,2
eri,2017,2
eri,2018,2
eri,2019,2
eri,2020,2
eri,2021,2
eri,2022,2
eri,2023,2
esp,2013,6
esp,2014,6
esp,2015,6
esp,2016,6
esp,2017,6
esp,2018,6
esp,2019,6
esp,2020,6
esp,2021,6
esp,2022,6
esp,2023,6
est,2013,7
est,2014,7
est,2015,7
est,2016,7
est,2017,7
est,2018,7
est,2019,7
est,2020,7
est,2021,7
est,2022,7
est,2023,7
eth,1999,3
eth,2000,3
eth,2001,3
eth,2002,3
eth,2003,3
eth,2004,3
eth,2005,3
eth,2006,3
eth,2007,3
eth,2008,3
eth,2009,3
eth,2010,3
eth,2011,3
eth,2012,3
eth,2013,3
eth,2014,3
eth,2015,3
eth,2016,3
eth,2017,3
eth,2018,3
eth,2019,3
eth,2020,3
eth,2021,3
eth,2022,3
eth,2023,3
fin,2013,6
fin,2014,6
fin,2015,6
fin,2016,6
fin,2017,6
fin,2018,6
fin,2019,6
fin,2020,6
fin,2021,6
fin,2022,6
fin,2023,6
fji,1999,3
fji,2000,3
fji,2001,3
fji,2002,3
fji,2003,3
fji,2004,3
fji,2005,3
fji,2006,3
fji,2007,3
fji,2008,3
fji,2009,3
fji,2010,3
fji,2011,3
fji,2012,3
fji,2013,3
fji,2014,3
fji,2015,3
fji,2016,3
fji,2017,3
fji,2018,3
fji,2019,3
fji,2020,3
fji,2021,3
fji,2022,3
fji,2023,3
fra,1998,3
fra,1999,3
fra,2000,3
fra,2001,3
fra,2002,3
fra,2003,3
fra,2004,3
fra,2005,3
fra,2006,3
fra,2007,3
fra,2008,3
fra,2009,3
fra,2010,3
fra,2011,3
fra,2012,3
fra,2013,3
fra,2014,3
fra,2015,3
fra,2016,3
fra,2017,3
fra,2018,3
fra,2019,3
fra,2020,3
fra,2021,3
fra,2022,3
fra,2023,3
fsm,1999,3
fsm,2000,3
fsm,2001,3
fsm,2002,3
fsm,2003,3
fsm,2004,3
fsm,2005,3
fsm,2006,3
fsm,2007,3
fsm,2008,3
fsm,2009,3
fsm,2010,3
fsm,2011,3
fsm,2012,3
fsm,2013,3
fsm,2014,3
fsm,2015,3
fsm,2016,3
fsm,2017,3
fsm,2018,3
fsm,2019,3
fsm,2020,3
fsm,2021,3
fsm,2022,3
fsm,2023,3
gab,1999,3
gab,2000,3
gab,2001,3
gab,2002,3
gab,2003,3
gab,2004,3
gab,2005,3
gab,2006,3
gab,2007,3
gab,2008,3
gab,2009,3
gab,2010,3
gab,2011,3
gab,2012,3
gab,2013,3
gab,2014,3
gab,2015,3
gab,2016,3
gab,2017,3
gab,2018,3
gab,2019,3
gab,2020,3
gab,2021,3
gab,2022,3
gab,2023,3
gbr,2013,5
gbr,2014,5
gbr,2015,5
gbr,2016,5
gbr,2017,5
gbr,2018,5
gbr,2019,5
gbr,2020,5
gbr,2021,5
gbr,2022,5
gbr,2023,5
geo,1999,3
geo,2000,3
geo,2001,3
geo,2002,3
geo,2003,3
geo,2004,3
geo,2005,3
geo,2006,3
geo,2007,3
geo,2008,3
geo,2009,3
geo,2010,3
geo,2011,3
geo,2012,3
geo,2013,3
geo,2014,3
geo,2015,3
geo,2016,3
geo,2017,3
geo,2018,3
geo,2019,3
geo,2020,3
geo,2021,3
geo,2022,6
geo,2023,6
gha,2013,5
gha,2014,5
gha,2015,5
gha,2016,5
gha,2017,5
gha,2018,5
gha,2019,5
gha,2020,5
gha,2021,5
gha,2022,5
gha,2023,5
gib,1999,1
gib,2000,1
gib,2001,1
gib,2002,1
gib,2003,1
gib,2004,1
gib,2005,1
gib,2006,1
gib,2007,1
gib,2008,1
gib,2009,1
gib,2010,1
gib,2011,1
gib,2012,1
gib,2013,1
gib,2014,1
gib,2015,1
gib,2016,1
gib,2017,1
gib,2018,4
gib,2019,4
gib,2020,4
gib,2021,4
gib,2022,4
gib,2023,4
gin,1999,3
gin,2000,3
gin,2001,3
gin,2002,3
gin,2003,3
gin,2004,3
gin,2005,3
gin,2006,3
gin,2007,3
gin,2008,3
gin,2009,3
gin,2010,3
gin,2011,3
gin,2012,3
gin,2013,3
gin,2014,3
gin,2015,3
gin,2016,3
gin,2017,3
gin,2018,3
gin,2019,3
gin,2020,3
gin,2021,3
gin,2022,3
gin,2023,3
gmb,1999,5
gmb,2000,5
gmb,2001,5
gmb,2002,5
gmb,2003,5
gmb,2004,5
gmb,2005,5
gmb,2006,5
gmb,2007,5
gmb,2008,5
gmb,2009,5
gmb,2010,5
gmb,2011,5
gmb,2012,5
gmb,2013,5
gmb,2014,5
gmb,2015,5
gmb,2016,5
gmb,2017,5
gmb,2018,5
gmb,2019,5
gmb,2020,5
gmb,2021,5
gmb,2022,5
gmb,2023,5
gnb,1999,3
gnb,2000,3
gnb,2001,3
gnb,2002,3
gnb,2003,3
gnb,2004,3
gnb,2005,3
gnb,2006,3
gnb,2007,3
gnb,2008,3
gnb,2009,3
gnb,2010,3
gnb,2011,3
gnb,2012,3
gnb,2013,3
gnb,2014,3
gnb,2015,3
gnb,2016,3
gnb,2017,3
gnb,2018,3
gnb,2019,3
gnb,2020,3
gnb,2021,3
gnb,2022,3
gnb,2023,3
gnq,1999,4
gnq,2000,4
gnq,2001,4
gnq,2002,4
gnq,2003,4
gnq,2004,4
gnq,2005,4
gnq,2006,4
gnq,2007,3
gnq,2008,3
gnq,2009,3
gnq,2010,3
gnq,2011,3
gnq,2012,6
gnq,2013,6
gnq,2014,6
gnq,2015,6
gnq,2016,6
gnq,2017,6
gnq,2018,6
gnq,2019,6
gnq,2020,6
gnq,2021,6
gnq,2022,6
gnq,2023,6
grc,2013,6
grc,2014,6
grc,2015,6
grc,2016,6
grc,2017,6
grc,2018,6
grc,2019,6
grc,2020,6
grc,2021,6
grc,2022,6
grc,2023,6
grd,2000,2
grd,2002,2
grd,2013,5
grd,2014,5
grd,2015,5
grd,2016,5
grd,2017,5
grd,2018,5
grd,2019,5
grd,2020,5
grd,2021,5
grd,2022,5
grd,2023,5
gtm,2013,7
gtm,2014,7
gtm,2015,7
gtm,2016,7
gtm,2017,7
gtm,2018,7
gtm,2019,7
gtm,2020,7
gtm,2021,7
gtm,2022,7
gtm,2023,7
guy,1999,2
guy,2000,2
guy,2001,2
guy,2002,2
guy,2003,2
guy,2004,2
guy,2005,2
guy,2006,2
guy,2007,2
guy,2008,2
guy,2009,2
guy,2010,2
guy,2011,2
guy,2012,2
guy,2013,2
guy,2014,2
guy,2015,2
guy,2016,2
guy,2017,2
guy,2018,2
guy,2019,2
guy,2020,2
guy,2021,2
guy,2022,2
guy,2023,2
hkg,1999,5
hkg,2000,5
hkg,2001,5
hkg,2002,5
hkg,2003,5
hkg,2004,5
hkg,2005,5
hkg,2006,3
hkg,2007,3
hkg,2008,3
hkg,2009,3
hkg,2010,3
hkg,2011,3
hkg,2012,3
hkg,2013,3
hkg,2014,3
hkg,2015,3
hkg,2016,3
hkg,2017,3
hkg,2018,3
hkg,2019,3
hkg,2020,3
hkg,2021,3
hkg,2022,3
hkg,2023,3
hnd,1998,3
hnd,1999,3
hnd,2000,3
hnd,2001,3
hnd,2002,3
hnd,2003,3
hnd,2004,3
hnd,2005,3
hnd,2006,3
hnd,2007,3
hnd,2008,3
hnd,2009,3
hnd,2010,3
hnd,2011,3
hnd,2012,3
hnd,2013,3
hnd,2014,3
hnd,2015,3
hnd,2016,3
hnd,2017,3
hnd,2018,3
hnd,2019,3
hnd,2020,3
