geo,time,ne_con_prvt_pc_kd_zg
bfa,2016,1.25789
bfa,2017,0.59167
bfa,2018,-0.52208
bfa,2019,0.04826
bgd,1961,5.97115
bgd,1962,-4.43366
bgd,1963,1.99742
bgd,1964,7.42502
bgd,1965,-2.49983
bgd,1966,-1.4574
bgd,1967,-3.64013
bgd,1968,-0.12604
bgd,1969,1.11972
bgd,1970,6.11248
bgd,1971,-5.43206
bgd,1972,-7.71324
bgd,1973,-15.30612
bgd,1974,-6.36537
bgd,1975,-6.4105
bgd,1976,-2.36987
bgd,1977,-14.65835
bgd,1978,12.64928
bgd,1979,0.35652
bgd,1980,1.29849
bgd,1981,-5.91011
bgd,1982,-5.66697
bgd,1983,-0.01263
bgd,1984,4.44477
bgd,1985,-1.30073
bgd,1986,0.18284
bgd,1987,0.07008
bgd,1988,1.21893
bgd,1989,-1.61132
bgd,1990,5.05505
bgd,1991,-2.6081
bgd,1992,1.65028
bgd,1993,1.18707
bgd,1994,1.46744
bgd,1995,1.55524
bgd,1996,-2.20228
bgd,1997,-1.06117
bgd,1998,-0.40141
bgd,1999,1.9085
bgd,2000,2.94549
bgd,2001,2.18681
bgd,2002,-0.76548
bgd,2003,2.26579
bgd,2004,4.27159
bgd,2005,5.15881
bgd,2006,5.61526
bgd,2007,6.12413
bgd,2008,2.79584
bgd,2009,1.15569
bgd,2010,3.43403
bgd,2011,5.28054
bgd,2012,2.91968
bgd,2013,3.91919
bgd,2014,2.82364
bgd,2015,4.63954
bgd,2016,1.88024
bgd,2017,5.1323
bgd,2018,8.26653
bgd,2019,3.78179
bgd,2020,1.96914
bgd,2021,6.96709
bgr,1981,4.17949
bgr,1982,4.96778
bgr,1983,2.05276
bgr,1984,4.90956
bgr,1985,-0.10677
bgr,1986,1.93092
bgr,1987,5.5597
bgr,1988,6.44026
bgr,1989,-2.68451
bgr,1990,7.62012
bgr,1991,-24.30387
bgr,1992,-1.34627
bgr,1993,-2.12237
bgr,1994,-4.0748
bgr,1995,19.0937
bgr,1996,3.95723
bgr,1997,-31.89166
bgr,1998,-2.09872
bgr,1999,7.69822
bgr,2000,9.5382
bgr,2001,9.83468
bgr,2002,8.00345
bgr,2003,7.36827
bgr,2004,10.2885
bgr,2005,8.10412
bgr,2006,9.3336
bgr,2007,12.20438
bgr,2008,4.19148
bgr,2009,-3.53458
bgr,2010,3.05453
bgr,2011,2.64959
bgr,2012,4.35061
bgr,2013,-3.34159
bgr,2014,1.97464
bgr,2015,3.47796
bgr,2016,2.94192
bgr,2017,3.28187
bgr,2018,4.47232
bgr,2019,6.7109
bgr,2020,0.19602
bgr,2021,8.53746
bhr,2001,2.37003
bhr,2002,-4.45619
bhr,2003,-2.49403
bhr,2004,-4.79773
bhr,2005,-4.11364
bhr,2006,-6.13188
bhr,2007,-3.02055
bhr,2008,16.34052
bhr,2009,4.36228
bhr,2010,9.06872
bhr,2011,3.50775
bhr,2012,-0.56466
bhr,2013,8.63201
bhr,2014,-2.24514
bhr,2015,-0.108
bhr,2016,-3.99056
bhr,2017,-3.32246
bhr,2018,-3.51613
bhr,2019,-3.88732
bhr,2020,-7.78099
bhs,1990,-3.75771
bhs,1991,-6.07909
bhs,1992,-6.78626
bhs,1993,-2.16102
bhs,1994,0.42006
bhs,1995,5.65141
bhs,1996,5.01304
bhs,1997,11.46587
bhs,1998,-1.17199
bhs,1999,6.76596
bhs,2000,0.94157
bhs,2001,-0.77986
bhs,2002,1.88077
bhs,2003,-2.61086
bhs,2004,-3.36424
bhs,2005,6.0872
bhs,2006,1.01903
bhs,2007,-0.69438
bhs,2008,-5.25997
bhs,2009,-11.43745
bhs,2010,-0.50511
bhs,2011,-3.31429
bhs,2012,2.68479
bhs,2013,-2.81541
bhs,2014,4.35324
bhs,2015,0.54992
bhs,2016,0.91224
bhs,2017,5.45626
bhs,2018,-0.60278
bhs,2019,-5.97158
bhs,2020,-21.97925
bhs,2021,20.7325
bih,2001,4.54344
bih,2002,5.36334
bih,2003,4.41964
bih,2004,3.22994
bih,2005,4.80938
bih,2006,3.70023
bih,2007,5.41851
bih,2008,5.28989
bih,2009,-3.80167
bih,2010,0.91473
bih,2011,1.0496
bih,2012,0.89593
bih,2013,1.81248
bih,2014,3.69161
bih,2015,3.17082
bih,2016,3.50259
bih,2017,2.14619
bih,2018,2.81374
bih,2019,2.98643
bih,2020,-2.65198
bih,2021,6.67226
blr,1991,-6.2808
blr,1992,-5.68848
blr,1993,-5.10695
blr,1994,-13.88187
blr,1995,-11.36834
blr,1996,5.6879
blr,1997,11.33286
blr,1998,13.75876
blr,1999,9.58746
blr,2000,8.23685
blr,2001,17.90961
blr,2002,11.74933
blr,2003,7.94532
blr,2004,10.14964
blr,2005,15.42764
blr,2006,13.39655
blr,2007,13.89048
blr,2008,16.73379
blr,2009,0.24642
blr,2010,9.69154
blr,2011,2.44752
blr,2012,10.86043
blr,2013,10.6944
blr,2014,4.22288
blr,2015,-2.44952
blr,2016,-3.27428
blr,2017,4.7965
blr,2018,8.14535
blr,2019,5.25306
blr,2020,-0.78005
blr,2021,4.54196
blz,1981,-22.65271
blz,1982,10.46493
blz,1983,-10.23595
blz,1984,-17.1982
blz,1985,-8.68189
blz,1986,-10.00388
blz,1987,15.77413
blz,1988,14.25369
blz,1989,9.12541
blz,1990,5.02604
blz,1991,8.70014
blz,1992,72.62677
blz,1993,-0.22398
blz,1994,3.46312
blz,1995,1.97889
blz,1996,-1.62288
blz,1997,-1.36507
blz,1998,2.73837
blz,1999,4.43834
blz,2000,7.95468
blz,2001,6.35508
blz,2002,3.92946
blz,2003,1.3355
blz,2004,-2.35588
blz,2005,-4.95581
blz,2006,-5.1918
blz,2007,0.52585
blz,2008,-5.25504
blz,2009,1.05717
blz,2010,3.07754
blz,2011,1.77726
blz,2012,-1.10492
blz,2013,2.13158
blz,2014,-0.36943
blz,2015,2.1502
blz,2016,3.06562
blz,2017,-4.95574
blz,2018,-4.52691
blz,2019,-3.17881
blz,2020,-8.77984
blz,2021,5.50553
bmu,2015,0.69251
bmu,2016,7.98998
bmu,2017,-4.64721
bmu,2018,-3.8963
bmu,2019,-1.63751
bmu,2020,-9.47117
bmu,2021,5.70086
bol,1961,5.20167
bol,1962,-1.79015
bol,1963,3.54286
bol,1964,-1.17819
bol,1965,5.06558
bol,1966,5.40261
bol,1967,3.88835
bol,1968,0.82201
bol,1969,4.29621
bol,1970,4.30932
bol,1971,1.35924
bol,1972,-1.17987
bol,1973,5.92878
bol,1974,0.9258
bol,1975,1.83905
bol,1976,5.45682
bol,1977,2.85134
bol,1978,-4.92692
bol,1979,-1.31346
bol,1980,-0.29646
bol,1981,-1.65246
bol,1982,-5.94219
bol,1983,-6.48905
bol,1984,-2.02383
bol,1985,1.86945
bol,1986,2.81771
bol,1987,0.96906
bol,1988,-1.21802
bol,1989,-0.34748
bol,1990,1.21248
bol,1991,1.16278
bol,1992,1.39416
bol,1993,1.17812
bol,1994,0.81155
bol,1995,0.84629
bol,1996,1.18266
bol,1997,3.32791
bol,1998,3.18231
bol,1999,0.76734
bol,2000,0.34412
bol,2001,-0.64248
bol,2002,0.14708
bol,2003,0.0192
bol,2004,1.05783
bol,2005,1.50217
bol,2006,2.26407
bol,2007,2.39339
bol,2008,3.71407
bol,2009,1.96009
bol,2010,2.28262
bol,2011,3.5104
bol,2012,2.94513
bol,2013,4.27237
bol,2014,3.80392
bol,2015,3.61988
bol,2016,1.87824
bol,2017,3.22402
bol,2018,2.82875
bol,2019,2.23542
bol,2020,-9.11813
bol,2021,3.90809
bra,1961,6.10307
bra,1962,3.30747
bra,1963,-3.5444
bra,1964,0.47795
bra,1965,-1.77476
bra,1966,1.41158
bra,1967,5.89454
bra,1968,8.8258
bra,1969,-6.63306
bra,1970,15.4144
bra,1971,10.23294
bra,1972,8.87828
bra,1973,6.58896
bra,1974,9.38875
bra,1975,-7.49491
bra,1976,14.73426
bra,1977,8.88007
bra,1978,-0.48746
bra,1979,7.94359
bra,1980,6.38427
bra,1981,-4.60854
bra,1982,0.85576
bra,1983,2.74419
bra,1984,7.05481
bra,1985,-3.34494
bra,1986,-1.21238
bra,1987,-5.82158
bra,1988,-0.60331
bra,1989,-5.66299
bra,1990,7.98524
bra,1991,-1.98128
bra,1992,-2.72153
bra,1993,3.09474
bra,1994,6.45209
bra,1995,7.48325
bra,1996,1.73552
bra,1997,1.48949
bra,1998,-2.3421
bra,1999,-1.1356
bra,2000,2.72115
bra,2001,-0.66868
bra,2002,-0.09018
bra,2003,-1.84779
bra,2004,2.68456
bra,2005,3.33779
bra,2006,4.19986
bra,2007,5.33842
bra,2008,5.49632
bra,2009,3.47028
bra,2010,5.24746
bra,2011,3.86274
bra,2012,2.57707
bra,2013,2.57483
bra,2014,1.37067
bra,2015,-4.01156
bra,2016,-4.59698
bra,2017,1.14825
bra,2018,1.55652
bra,2019,1.80747
bra,2020,-6.10532
bra,2021,2.84595
brn,1990,1.87806
brn,1991,-4.44845
brn,1992,18.94163
brn,1993,13.97039
brn,1994,-10.25615
brn,1995,-7.20671
brn,1996,8.62769
brn,1997,10.27653
brn,1998,-11.8306
brn,1999,-4.95732
brn,2000,-8.92975
brn,2001,2.10755
brn,2002,-1.24889
brn,2003,13.67326
brn,2004,10.34464
brn,2005,-2.11162
brn,2006,2.28715
brn,2007,0.72259
brn,2008,0.56337
brn,2009,3.76214
brn,2010,0.55274
brn,2011,4.05795
brn,2012,7.21636
brn,2013,4.61233
brn,2014,-4.97085
brn,2015,3.9258
brn,2016,-2.46379
brn,2017,3.5663
brn,2018,1.11066
brn,2019,4.87598
brn,2020,4.30832
brn,2021,8.41279
btn,1991,16.89411
btn,1992,15.13491
btn,1993,-21.37692
btn,1994,-10.25547
btn,1995,6.11618
btn,1996,14.66887
btn,1997,2.29061
btn,1998,21.23011
btn,1999,-6.91556
btn,2000,-7.38512
btn,2001,-8.86364
btn,2002,17.60111
btn,2003,14.63114
btn,2004,6.89867
btn,2005,20.48631
btn,2006,-36.80173
btn,2007,72.80239
btn,2008,-9.45516
btn,2009,9.97977
btn,2010,4.62182
btn,2011,4.77411
btn,2012,-3.72337
btn,2013,60.28808
btn,2014,-9.22788
btn,2015,8.65997
btn,2016,-3.01001
btn,2017,4.63765
btn,2018,12.07368
btn,2019,6.26064
btn,2020,-8.96353
bwa,1976,6.48712
bwa,1977,4.62987
bwa,1978,8.39954
bwa,1979,8.22581
bwa,1980,-1.75399
bwa,1981,-5.3307
bwa,1982,-8.00404
bwa,1983,-9.785
bwa,1984,3.6107
bwa,1985,13.06211
bwa,1986,2.9448
bwa,1987,-3.62038
bwa,1988,4.87432
bwa,1989,20.692
bwa,1990,18.37681
bwa,1991,6.68384
bwa,1992,-3.97683
bwa,1993,-4.83264
bwa,1994,-0.14278
bwa,1995,14.14596
bwa,1996,2.93573
bwa,1997,10.82153
bwa,1998,-0.2068
bwa,1999,-2.09988
bwa,2000,-3.28602
bwa,2001,-6.25033
bwa,2002,3.10837
bwa,2003,-0.40618
bwa,2004,1.25744
bwa,2005,8.71006
bwa,2006,14.89572
bwa,2007,12.56874
bwa,2008,14.7992
bwa,2009,3.48763
bwa,2010,6.78174
bwa,2011,6.36205
bwa,2012,-2.52247
bwa,2013,8.86775
bwa,2014,-0.40909
bwa,2015,-0.4428
bwa,2016,-0.31168
bwa,2017,-0.98355
bwa,2018,2.09393
bwa,2019,1.26475
bwa,2020,-4.67592
caf,2010,-4.14493
caf,2011,-0.67839
caf,2012,8.20092
caf,2013,-46.06822
caf,2014,2.1202
caf,2015,1.20467
caf,2016,7.82483
caf,2017,-0.59912
caf,2018,47.58025
caf,2019,3.9682
caf,2020,-5.91811
caf,2021,-1.36592
can,1971,2.69901
can,1972,5.62519
can,1973,5.43519
can,1974,3.54125
can,1975,2.31477
can,1976,3.75371
can,1977,1.58338
can,1978,1.96329
can,1979,1.28133
can,1980,0.40417
can,1981,-0.04323
can,1982,-3.71706
can,1983,1.48824
can,1984,2.86271
can,1985,3.94613
can,1986,2.39931
can,1987,2.51524
can,1988,2.78287
can,1989,1.57204
can,1990,-0.14579
can,1991,-2.33529
can,1992,0.34795
can,1993,0.7448
can,1994,1.77012
can,1995,1.19175
can,1996,1.89847
can,1997,3.85176
can,1998,1.88807
can,1999,3.0943
can,2000,3.09936
can,2001,1.29837
can,2002,2.87361
can,2003,1.82216
can,2004,2.10395
can,2005,2.95052
can,2006,3.15037
can,2007,3.40376
can,2008,1.88188
can,2009,-1.05134
can,2010,2.44041
can,2011,1.28169
can,2012,0.79554
can,2013,1.54907
can,2014,1.55208
can,2015,1.56022
can,2016,0.95445
can,2017,2.44362
can,2018,1.09587
can,2019,0.20645
can,2020,-7.33037
can,2021,4.48817
che,1971,4.21268
che,1972,4.63662
che,1973,2.00479
che,1974,-1.02066
che,1975,-2.88068
che,1976,1.64562
che,1977,3.37992
che,1978,2.21086
che,1979,1.07108
che,1980,2.22051
che,1981,0.41219
che,1982,-0.33194
che,1983,0.82519
che,1984,1.25536
che,1985,1.68584
che,1986,2.26793
che,1987,2.34861
che,1988,1.38658
che,1989,1.70212
che,1990,0.53938
che,1991,0.55582
che,1992,-0.63261
che,1993,-1.27474
che,1994,0.41577
che,1995,0.21072
che,1996,1.04729
che,1997,1.79906
che,1998,2.03797
che,1999,1.65687
che,2000,1.67952
che,2001,1.72466
che,2002,-0.36857
che,2003,-0.27187
che,2004,1.165
che,2005,0.6709
che,2006,0.88604
che,2007,1.22035
che,2008,0.23096
che,2009,0.29509
che,2010,0.81892
che,2011,0.27958
che,2012,1.10678
che,2013,1.09367
che,2014,-0.24682
che,2015,1.30569
che,2016,0.52613
che,2017,0.22258
che,2018,-0.07649
che,2019,0.63887
che,2020,-4.36893
che,2021,1.89384
chl,1961,3.56549
chl,1962,1.95922
chl,1963,2.12417
chl,1964,-2.53963
chl,1965,-1.96141
chl,1966,9.3005
chl,1967,1.61814
chl,1968,2.10139
chl,1969,3.55289
chl,1970,-2.18805
chl,1971,11.34308
chl,1972,6.00054
chl,1973,-8.04812
chl,1974,-19.54987
chl,1975,-12.78904
chl,1976,-1.2806
chl,1977,14.24729
chl,1978,5.91474
chl,1979,4.92182
chl,1980,5.38208
chl,1981,11.79627
chl,1982,-15.92582
chl,1983,-7.03094
chl,1984,-0.78979
chl,1985,-2.42814
chl,1986,3.52554
chl,1987,5.55658
chl,1988,5.32303
chl,1989,8.36565
chl,1990,0.53011
chl,1991,7.09025
chl,1992,11.92761
chl,1993,5.69389
chl,1994,6.48561
chl,1995,8.17854
chl,1996,7.88246
chl,1997,6.05503
chl,1998,4.16763
chl,1999,-2.23193
chl,2000,2.85844
chl,2001,0.88136
chl,2002,1.57082
chl,2003,2.87224
chl,2004,7.57265
chl,2005,6.65939
chl,2006,6.08407
chl,2007,5.35889
chl,2008,2.09493
chl,2009,-1.55087
chl,2010,10.2368
chl,2011,8.1293
chl,2012,5.34596
chl,2013,4.32183
chl,2014,1.28712
chl,2015,1.19407
chl,2016,1.94247
chl,2017,2.08759
chl,2018,2.34836
chl,2019,-0.45028
chl,2020,-8.76096
chl,2021,19.74652
chn,1996,10.41361
chn,1997,4.86477
chn,1998,5.74631
chn,1999,8.39511
chn,2000,10.71448
chn,2001,6.21062
chn,2002,8.39848
chn,2003,5.49982
chn,2004,7.44641
chn,2005,10.37357
chn,2006,9.60339
chn,2007,13.18349
chn,2008,8.22709
chn,2009,9.44572
chn,2010,11.06103
chn,2011,14.41996
chn,2012,8.467
chn,2013,8.14031
chn,2014,8.50839
chn,2015,8.07291
chn,2016,8.31451
chn,2017,8.87411
chn,2018,7.816
chn,2019,6.05558
chn,2020,-2.73241
civ,2009,1.42406
civ,2010,2.19958
civ,2011,-6.48887
civ,2012,6.97711
civ,2013,1.67267
civ,2014,7.4942
civ,2015,10.89867
civ,2016,8.35408
civ,2017,4.57154
cmr,1961,-0.7194
cmr,1962,0.9495
cmr,1963,0.59976
cmr,1964,0.50452
cmr,1965,-2.82014
cmr,1966,0.3494
cmr,1967,-15.51992
cmr,1968,8.27337
cmr,1969,-0.77277
cmr,1970,-1.24807
cmr,1971,6.46563
cmr,1972,-4.10005
cmr,1973,-3.18911
cmr,1974,6.41296
cmr,1975,13.84202
cmr,1976,-9.82176
cmr,1977,16.33484
cmr,1978,7.91867
cmr,1979,4.36804
cmr,1980,-16.79998
cmr,1981,15.01957
cmr,1982,10.54555
cmr,1983,-3.78154
cmr,1984,-2.49182
cmr,1985,2.53249
cmr,1986,20.21809
cmr,1987,1.30739
cmr,1988,-14.53921
cmr,1989,-15.99449
cmr,1990,-5.06776
cmr,1991,-5.2905
cmr,1992,-12.46672
cmr,1993,12.77972
cmr,1994,1.52565
cmr,1995,-2.12196
cmr,1996,2.65543
cmr,1997,4.98747
cmr,1998,3.59383
cmr,1999,3.33702
cmr,2000,4.43382
cmr,2001,2.401
cmr,2002,1.21787
cmr,2003,4.04315
cmr,2004,3.04066
cmr,2005,2.60769
cmr,2006,-0.15886
cmr,2007,-0.64447
cmr,2008,2.46451
cmr,2009,1.74395
cmr,2010,-1.14131
cmr,2011,0.53142
cmr,2012,2.33283
cmr,2013,2.90838
cmr,2014,2.87471
cmr,2015,3.62401
cmr,2016,-0.28818
cmr,2017,1.97637
cmr,2018,2.41216
cmr,2019,1.39809
cmr,2020,-2.07497
cod,1994,0.6449
cod,1995,-1.6029
cod,1996,-6.61489
cod,1997,-8.1422
cod,1998,3.58308
cod,1999,-7.79302
cod,2000,-1.30839
cod,2001,-3.49748
cod,2002,-12.53864
cod,2003,19.87025
cod,2004,1.36316
cod,2005,3.65147
cod,2006,-3.06186
cod,2007,3.89181
cod,2008,-2.69222
cod,2009,-1.09902
cod,2010,3.39611
cod,2011,-9.24145
cod,2012,12.34443
cod,2013,8.97432
cod,2014,4.25553
cod,2015,3.18631
cod,2016,-0.90339
cod,2017,-0.90664
cod,2018,-4.60407
cod,2019,13.66556
cod,2020,-10.8642
