geo,time,sh_sta_stnt_fe_zs
mdg,2018,38.5
mdv,2009,17.4
mex,1998,19.8
mex,2006,14.9
mex,2012,12.1
mex,2015,11.8
mex,2016,9.3
mhl,2017,30
mkd,2005,9.2
mkd,2011,4.3
mli,2001,41.2
mli,2006,35.3
mli,2010,25.6
mli,2015,27.8
mli,2018,25.7
mmr,2000,39.6
mmr,2003,42
mmr,2016,27.5
mne,2005,7.5
mne,2013,8.4
mng,2000,28.1
mng,2005,25.6
mng,2010,14.6
mng,2013,10.5
mng,2016,5.6
mng,2018,7.8
moz,2001,47.2
moz,2003,44.5
moz,2008,40.5
moz,2011,40.8
moz,2015,38
mrt,1990,52.6
mrt,2000,38.3
mrt,2007,29.9
mrt,2008,20.5
mrt,2011,28.2
mrt,2012,20.5
mrt,2015,26.2
mrt,2018,20.1
mwi,1992,53.1
mwi,1998,59.9
mwi,2000,52.7
mwi,2002,55.5
mwi,2004,50
mwi,2006,50.9
mwi,2010,43.5
mwi,2014,39.1
mwi,2015,35.6
mwi,2016,35.3
mwi,2018,36.6
nam,1992,32
nam,2000,28.5
nam,2007,26.7
nam,2013,20.4
ner,1992,42.9
ner,2000,51.2
ner,2006,52.5
ner,2012,37.1
ner,2013,40.6
ner,2014,39.9
ner,2016,39.8
nga,1990,47.7
nga,2003,39.4
nga,2007,37.6
nga,2008,38.5
nga,2011,34.9
nga,2013,34.9
nga,2014,31.7
nga,2015,30.4
nga,2016,41.4
nga,2018,34.1
nic,1993,27.9
nic,1998,28.8
nic,2001,23.3
nic,2006,22
nic,2012,16.4
npl,2001,57.4
npl,2006,49.4
npl,2011,39.5
npl,2014,38.7
npl,2016,35.8
omn,1999,14.8
pak,2001,40.6
pak,2013,41.8
pak,2018,37.1
pan,1997,15.1
pan,2003,22.1
pan,2008,18.6
per,1991,35.5
per,1996,30.3
per,2000,30.1
per,2005,25.6
per,2007,26
per,2009,22.9
per,2010,21.5
per,2011,19
per,2012,17.9
per,2013,16.6
per,2014,13.7
per,2015,13.7
per,2016,12.2
per,2017,12
per,2018,11.9
phl,2011,32.2
phl,2013,28.9
phl,2015,32.1
png,2010,47.9
pry,1990,16.3
pry,2012,10.1
pry,2016,4.4
pse,2004,10.6
pse,2006,12.6
pse,2010,10
pse,2014,6.6
rwa,1992,54.1
rwa,2000,45.4
rwa,2005,50.1
rwa,2010,41.1
rwa,2012,41.1
rwa,2015,33
sdn,2010,31.8
sdn,2014,36.1
sen,1993,27.3
sen,2000,22.8
sen,2005,18.9
sen,2011,25.1
sen,2013,16.9
sen,2014,17.1
sen,2015,18.6
sen,2016,14.7
sen,2017,15
sen,2019,16.9
slb,2015,29.6
sle,2000,31.9
sle,2005,42.8
sle,2008,35.3
sle,2010,41.7
sle,2013,36.9
sle,2017,25.6
slv,1993,30.3
slv,1998,31.2
slv,2003,23.5
slv,2008,19.9
slv,2014,12
som,2006,41.2
som,2009,22.7
srb,2005,8
srb,2010,7.2
srb,2014,5.1
ssd,2010,29.1
stp,2000,32
stp,2008,31.1
stp,2014,14
sur,2000,11
sur,2006,9.8
sur,2010,7.6
swz,2000,34
swz,2006,25.8
swz,2010,28.1
swz,2014,21.8
syr,1993,31.2
syr,2006,27.1
syr,2010,26.8
tcd,1997,42.7
tcd,2000,37
tcd,2004,43.7
tcd,2010,37.1
tcd,2015,38.6
tgo,2006,27.4
tgo,2010,27.9
tgo,2012,22.9
tgo,2014,26.9
tha,2006,14.9
tha,2012,16.3
tha,2016,9.4
tjk,2005,30.7
tjk,2007,37.8
tjk,2009,26.7
tjk,2012,27.3
tjk,2016,18.7
tjk,2017,17.2
tkm,2006,16.9
tkm,2015,11.4
tls,2007,57.4
tls,2009,55.6
tls,2013,48.5
tto,2000,3.6
tto,2011,6.4
tun,2012,8.8
tun,2018,8.8
tur,1993,22.4
tur,1998,18.2
tur,2004,16.4
tur,2008,12.8
tur,2013,8.7
tza,1991,47.2
tza,1996,46.5
tza,1999,45.7
tza,2004,41.9
tza,2009,40.8
tza,2010,38.6
tza,2011,34.3
tza,2013,34.5
tza,2015,32.2
uga,1988,43.8
uga,2000,42.3
uga,2006,35.8
uga,2009,33.7
uga,2011,29.7
uga,2012,32.2
uga,2014,31.5
uga,2016,26.9
ukr,2000,22.8
uzb,2002,24.4
uzb,2006,19.7
uzb,2017,10.1
vnm,1993,61.3
vnm,2000,42.5
vnm,2010,21.6
vut,2007,20.1
vut,2013,24.5
wsm,2014,4.1
yem,1991,54.6
yem,1997,53.5
yem,2003,57
yem,2005,55.7
yem,2013,45.3
zaf,1994,26.8
zaf,2004,30.3
zaf,2008,23.3
zaf,2012,24.9
zaf,2016,25
zmb,1992,43.1
zmb,1996,47.1
zmb,1999,58.8
zmb,2002,50.8
zmb,2007,42.9
zmb,2013,37.7
zmb,2018,31
zwe,1988,28.8
zwe,1999,31.9
zwe,2005,32.3
zwe,2009,32.4
zwe,2010,28.5
zwe,2014,24.1
zwe,2015,24.2
zwe,2019,20.4
