geo,time,gc_xpn_trft_cn
che,1991,41357237901.21999
che,1992,46168547688.04
che,1993,51642342774.9
che,1994,52753065715.15002
che,1995,53673016509.80999
che,1996,56754085162.28999
che,1997,59059441351.18999
che,1998,60207873382.91
che,1999,58620142000.65999
che,2000,57968588459
che,2001,60050220059.86
che,2002,62718506396.76
che,2003,65900210146.37
che,2004,66887261472.88
che,2005,68315942538.27998
che,2006,68608070430.17
che,2007,69696325962.33
che,2008,70067857723.91
che,2009,75222521295.2
che,2010,76833523137.75
che,2011,77493843459.20999
che,2012,79140919244.91
che,2013,81634183014.91998
che,2014,82684264757.58
che,2015,84608746718.44
che,2016,86188656201.12999
che,2017,87571438927.80998
che,2018,88047969104.02997
chl,2000,4669379999999.99902
chl,2001,4935489999999.99902
chl,2002,5289159999999.99902
chl,2003,5529360000000
chl,2004,5851780000000.00098
chl,2005,6375000000000
chl,2006,7037000000000
chl,2007,7910539000000.00098
chl,2008,9538810000000.00195
chl,2009,9928022257495.3125
chl,2010,10236184786520.00195
chl,2011,10532699865719.80078
chl,2012,11703820496426.09961
chl,2013,12616969999999.99805
chl,2014,13958862465193.69922
chl,2015,15215925168891.00195
chl,2016,16651918278720.00195
chl,2017,13592880000000.00195
chl,2018,14560309576796.19922
civ,1995,127200000000
civ,2001,65371000000.00001
civ,2002,77971000000.00002
civ,2003,101900000000
civ,2004,84700000000
civ,2005,94300000000
civ,2006,49800000000
civ,2007,92700000000
civ,2008,62100000000
civ,2009,140170700000
civ,2010,194733000000
civ,2011,245992000000
civ,2012,316503434854
civ,2013,247918000000
civ,2014,221866500000
civ,2015,1393491986308.00024
civ,2016,1355539492741
civ,2017,1579555466374.73999
civ,2018,1846766271946
cmr,1990,64720000000
cmr,1991,98150000000
cmr,1992,79390000000
cmr,1993,59950000000
cmr,1994,57940000000
cmr,1995,67900000000
cmr,1998,97200000000
cmr,1999,125500000000
cmr,2012,481758000000
cmr,2013,607861000000
cmr,2014,597200000000
cmr,2015,564000000000
cmr,2016,492300000000
cmr,2017,338800000000
cmr,2018,475058766742.00012
cog,2001,83400000000
cog,2002,114200000000
cog,2003,45989600000
cog,2004,323913831561
cog,2005,404835248612.00006
cog,2006,225051000000
cog,2007,240755000000
cog,2008,189345000000
cog,2009,81701220010
cog,2010,99318607503
cog,2011,215871436111.99997
cog,2012,324351906759
cog,2013,250953284099
cog,2014,313664569710.00006
cog,2015,263278000000
cog,2016,328729268811
cog,2017,214191937912.00003
cog,2018,485351211633.00006
col,1998,7992118579217.23828
col,1999,9766713653184.73828
col,2000,10758880073888.70117
col,2003,30984689545399.99219
col,2008,47253082000000
col,2009,51297553000000
col,2010,57782888000000.00781
col,2011,52306079000000
col,2012,85474574000000.01562
col,2013,130043863000000
col,2014,135368451103671
col,2015,129345652205458
col,2016,120077709331402.01562
col,2017,129325911121120
col,2018,149479873574208.03125
cpv,2005,6133388409.74486
cpv,2006,8716354399.99197
cpv,2007,7851229159
cpv,2008,9129786054
cpv,2009,11718490962
cpv,2010,11036789479
cpv,2011,11791368441
cpv,2012,11376025065
cpv,2013,11629623742
cpv,2014,12263364976
cpv,2015,13255470529.29
cpv,2016,14215239405.49
cpv,2017,16309758531
cri,1987,470000000
cri,1988,470000000
cri,1989,280000000
cri,1990,26340000000
cri,1991,32780000000
cri,1992,42490000000
cri,1993,70760000000
cri,1994,122929999999.99998
cri,1995,116040000000
cri,1996,133609999999.99998
cri,1997,175310000000.00003
cri,1998,211820000000
cri,1999,248419999999.99997
cri,2000,278520000000
cri,2001,340830000000
cri,2002,389880000000
cri,2003,390900000000
cri,2004,468248000000
cri,2005,599440500000.00012
cri,2006,639719999999.99988
cri,2007,827700000000
cri,2008,875895883792.07996
cri,2009,979230590766.11011
cri,2010,1081033810662.88
cri,2011,1234045163623.31006
cri,2012,1370457253146.6001
cri,2013,1493065752085
cri,2014,1626725296828.8103
cri,2015,2028625475429.55005
cri,2016,1833261758016.07983
cri,2017,2080687534586.3501
cri,2018,2329003461552.2002
cyp,1980,29524632.90698
cyp,1981,38494790.47421
cyp,1982,39178231.05076
cyp,1983,51856053.74577
cyp,1984,55973783.21948
cyp,1985,51206785.19804
cyp,1986,34359974.98607
cyp,1987,32070449.05463
cyp,1988,48080044.56033
cyp,1989,55751665.0321
cyp,1990,622369593.19393
cyp,1991,661400886.69271
cyp,1992,800681590.71861
cyp,1993,960134788.24313
cyp,1994,1130185113.32192
cyp,1995,1066679879.85115
cyp,1996,1177738973.5406
cyp,1997,1265902807.91561
cyp,1998,1433174889.02634
cyp,1999,1494001100.33933
cyp,2000,1750633036.83403
cyp,2001,1930036188.17853
cyp,2002,2120032668.45956
cyp,2003,2531293035.3988
cyp,2004,2844821399.89133
cyp,2005,3109654623.30464
cyp,2006,3182441044.70727
cyp,2007,3248563920.48852
cyp,2008,3679985784.43601
cyp,2009,2289400000
cyp,2010,2541000000
cyp,2011,2692900000
cyp,2012,2674800000
cyp,2013,2579300000
cyp,2014,2548500000
cyp,2015,2539300000
cyp,2016,2661100000
cyp,2017,2674900000
cyp,2018,2769300000
cze,1993,244421000000
cze,1994,295571000000.00006
cze,1995,229407000000
cze,1996,247183000000
cze,1997,306922000000
cze,1998,340531000000.00006
cze,1999,365143000000.00006
cze,2000,383223000000.00006
cze,2001,415660000000
cze,2002,436670000000
cze,2003,455434000000
cze,2004,470550000000
cze,2005,480208000000
cze,2006,513494000000
cze,2007,564736000000
cze,2008,586606000000
cze,2009,636411000000
cze,2010,642336000000
cze,2011,676247000000.00012
cze,2012,712689000000
cze,2013,730470000000.00012
cze,2014,749761000000
cze,2015,768459000000
cze,2016,789751000000
cze,2017,811139000000
cze,2018,856195000000
deu,1990,44073360159.11401
deu,1991,383643000000
deu,1992,413718000000
deu,1993,436259000000
deu,1994,464725000000
deu,1995,481028000000
deu,1996,500335000000
deu,1997,504907000000
deu,1998,512247000000.00006
deu,1999,525377000000
deu,2000,528992000000
deu,2001,537633000000
deu,2002,553117000000
deu,2003,566356000000
deu,2004,558572999999.99988
deu,2005,566533000000
deu,2006,564462000000
deu,2007,564122000000
deu,2008,573718000000
deu,2009,610902000000.00012
deu,2010,626787000000
deu,2011,625889000000
deu,2012,630488999999.99988
deu,2013,655681000000
deu,2014,675301000000
deu,2015,702033000000
deu,2016,725435000000
deu,2017,753137000000
deu,2018,778907000000
dnk,1985,8491000000
dnk,1986,8677000000
dnk,1987,9038000000
dnk,1988,12590000000
dnk,1989,14613000000
dnk,1990,196464000000
dnk,1991,205685000000
dnk,1992,224390000000
dnk,1993,238047000000
dnk,1994,262622000000
dnk,1995,99549000000
dnk,1996,102338000000
dnk,1997,101222000000
dnk,1998,101799000000
dnk,1999,101574000000
dnk,2000,101544000000
dnk,2001,103409000000
dnk,2002,108203000000
dnk,2003,112464000000
dnk,2004,114717000000
dnk,2005,110179000000
dnk,2006,102277000000
dnk,2007,99534000000
dnk,2008,95864000000
dnk,2009,111844000000
dnk,2010,121739000000
dnk,2011,123573000000
dnk,2012,126645000000
dnk,2013,126052000000
dnk,2014,126588000000
dnk,2015,125684000000
dnk,2016,121104000000
dnk,2017,122276000000
dnk,2018,119311000000
dom,1993,2185900000
dom,1994,1858300000
dom,1995,3112400000
dom,1996,4982300000
dom,1997,8288900000
dom,1998,8544000000
dom,1999,9896600000
dom,2000,7554600000
dom,2001,10738709821.68
dom,2002,9174867915.87
dom,2003,10405674140.1
dom,2004,44400377559.05999
dom,2005,49116528939.1684
dom,2006,55595813836.80769
dom,2007,58519888299.7525
dom,2008,99605887291.07489
dom,2009,73783210217.09711
dom,2010,73912510367.8727
dom,2011,80592084907.1223
dom,2012,105197320049.10001
dom,2013,107334099221.82001
dom,2014,119017209145.76799
dom,2015,80650044780.1573
dom,2016,96666532051.4765
dom,2017,80159493511.44998
dom,2018,101013033873.93401
egy,1987,1652000000
egy,1988,3195000000
egy,1989,2573000000
egy,1991,3287000000
egy,1992,4470000000
egy,1993,3859000000
egy,1994,3418000000
egy,1995,3639000000
egy,1996,4075000000
egy,1997,4379000000
egy,2002,24522000000
egy,2003,27159000000
egy,2004,33311000000
egy,2005,39375000000
egy,2006,86055900000
egy,2007,86123600000
egy,2008,124249200000.00002
egy,2009,140262400000
egy,2010,144759300000
egy,2011,166583500000
egy,2012,198810200000
egy,2013,256390400000
egy,2014,292427400000
egy,2015,274927400000
esp,1970,83456000000
esp,1971,88235000000.00002
esp,1995,59843000000.00001
esp,1996,62436999999.99999
esp,1997,62742000000
esp,1998,67108999999.99999
esp,1999,73526000000
esp,2000,81982000000
esp,2001,87408000000
esp,2002,84576999999.99998
esp,2003,89496999999.99998
esp,2004,96746000000
esp,2005,104127000000
esp,2006,115541000000
esp,2007,125150000000.00002
esp,2008,134681999999.99998
esp,2009,167059000000
esp,2010,148462000000.00003
esp,2011,134888000000
esp,2012,155955000000
esp,2013,151193000000
esp,2014,147230000000.00003
esp,2015,146607000000
esp,2016,145350000000.00003
esp,2017,146488000000
esp,2018,153324000000
est,1991,1203760.74188
est,1995,562800000
est,1996,718500000
est,1997,845600000
est,1998,998500000
est,1999,1098800000
est,2000,1128000000
est,2001,1304900000
est,2002,1437000000
est,2003,1587600000
est,2004,1819500000
est,2005,2105100000
est,2006,2501500000
est,2007,3003800000
est,2008,3582700000
est,2009,3603600000
est,2010,3475600000
est,2011,3569900000
est,2012,3766200000
est,2013,3989500000
est,2014,4132200000
est,2015,4547600000
est,2016,4827500000
est,2017,5109300000
est,2018,5768100000
eth,1990,454100000
eth,1991,373500000
eth,1992,792100000
eth,1993,571000000
eth,1994,709400000
eth,1995,1039200000
eth,1996,884000000
eth,1997,1944000000
eth,1998,3727900000
eth,1999,3975800000
eth,2001,4366000000
eth,2002,5289200000
eth,2003,5280900000
eth,2004,5529000000
eth,2005,6654100000
eth,2006,3176600000
eth,2007,1147280000
eth,2008,19395000000
eth,2009,23722800000
eth,2010,29187900000
eth,2011,34712649000
eth,2012,46090200000
eth,2013,53381737769.43002
eth,2014,57724468544.36
eth,2015,77335572145.55
eth,2016,85233389971.61
eth,2017,108244266303.27
eth,2018,125425679120.70001
eth,2019,136962659079.59
fin,1990,6942965792.25764
fin,1991,7765236564.72796
fin,1992,7750772403.05227
fin,1993,7593348503.8843
fin,1994,7150677881.4376
fin,1995,23559000000
fin,1996,23050000000
fin,1997,23036000000
fin,1998,23408000000
fin,1999,23905000000
fin,2000,23731000000
fin,2001,24477000000
fin,2002,25924000000
fin,2003,27029000000
fin,2004,28029000000
fin,2005,28846000000
fin,2006,29661000000
fin,2007,30361000000
fin,2008,31868000000
fin,2009,34720000000
fin,2010,36345000000
fin,2011,37665000000
fin,2012,39807000000
fin,2013,42060000000
fin,2014,43935000000
fin,2015,45375000000
fin,2016,45788000000
fin,2017,46752000000
fin,2018,47208000000
fji,1994,125330000
fji,2004,261859000
fji,2005,287860000
fji,2006,288734637
fji,2010,352188394.65
fji,2011,498402122.9
fji,2012,512346903.3
fji,2013,658061610.11
fji,2014,955647669.78
fji,2015,1090140032.26
fji,2016,1058231236.23
fji,2017,1061678024.03
fji,2018,1140239238.45
fra,1980,7759654977.38419
fra,1981,9787226906.64175
fra,1982,11540390604.872
fra,1983,13522227828.9583
fra,1984,17196249144.37991
fra,1985,16052881515.0993
fra,1986,17516392080.5785
fra,1987,17897514623.672
fra,1988,15199167018.5698
fra,1989,15641269168.5583
fra,1990,276710211187.62402
fra,1991,296955440676.75104
fra,1992,315660935091.78204
fra,1993,334290204998.19293
fra,1994,349108249473.67004
fra,1995,278887000000
fra,1996,288599000000
fra,1997,297960999999.99994
fra,1998,306244999999.99994
fra,1999,315999000000
fra,2000,326219000000.00006
fra,2001,342919000000.00006
fra,2002,361875000000.00006
fra,2003,377003000000
fra,2004,386965000000
fra,2005,402744000000
fra,2006,422064000000
fra,2007,441202000000
fra,2008,457926000000
fra,2009,486500000000
fra,2010,502782000000
fra,2011,514466000000
fra,2012,532458000000
fra,2013,546559000000
fra,2014,568560000000
fra,2015,585484000000
fra,2016,595509000000
fra,2017,607113999999.99988
fra,2018,622695999999.99988
fsm,2008,836456
fsm,2009,953267
fsm,2010,3190727
fsm,2011,1637433
fsm,2012,1540547
fsm,2013,1344640
fsm,2014,2092654
fsm,2015,1101344
fsm,2016,2105000
fsm,2017,1605000
fsm,2018,1115000
gab,2012,457977605310.83295
gab,2013,447500893755.02002
gab,2014,368926000000
gab,2015,315805165176.99994
gab,2016,223146897436
gab,2017,221198292518.99997
gab,2018,194605177809.60001
gbr,1972,5761000000
gbr,1973,6327000000
gbr,1974,7746000000
gbr,1975,10210000000
gbr,1976,12667000000
gbr,1977,14964000000
gbr,1978,17801000000
gbr,1979,21197000000
gbr,1980,30066000000
gbr,1981,36748000000
gbr,1982,41520000000
gbr,1983,42277000000
gbr,1984,45394000000
gbr,1985,50256000000
gbr,1986,53025000000
gbr,1987,55452000000
gbr,1988,56569000000
gbr,1989,58351000000
gbr,1990,106003000000
gbr,1991,131606000000.00002
gbr,1992,152921000000
gbr,1993,156153000000
gbr,1994,160609000000
gbr,1995,176499000000
gbr,1996,182003000000
gbr,1997,181569999999.99997
gbr,1998,186135000000
gbr,1999,193437000000
gbr,2000,208080000000
gbr,2001,217606000000
gbr,2002,237048000000
gbr,2003,261723000000
gbr,2004,277327000000
gbr,2005,293465000000
gbr,2006,310360999999.99994
gbr,2007,326802000000
gbr,2008,346494000000
gbr,2009,373485000000
gbr,2010,392837000000
gbr,2011,394785000000
gbr,2012,413630000000
gbr,2013,407928999999.99994
gbr,2014,417062000000
gbr,2015,424063000000
gbr,2016,422021000000
gbr,2017,423863000000.00006
gbr,2018,436146000000
geo,1997,184100000
geo,1998,272500000
geo,1999,308700000
geo,2000,335000000
geo,2001,347200000
geo,2003,446300000
geo,2004,721400000
geo,2005,1068900000
geo,2006,1369600000
geo,2007,1357100000
geo,2008,2507500000
geo,2009,2728400000
geo,2010,2777000000
geo,2011,2957700000
geo,2012,3249300000
geo,2013,3408900000
geo,2014,3890000000
geo,2015,4319500000
geo,2016,4444500000
geo,2017,4834300000
geo,2018,5228700000
geo,2019,5211700000
gha,2001,29401800
gha,2002,38555600
gha,2003,280074937
gha,2004,536812836
gha,2005,563929309
gha,2006,836657149
gha,2007,1528906086
gha,2008,1871585806
gha,2009,1842423238
gha,2010,3154266692
gha,2011,4177314159
gha,2014,8447040732.38
gha,2015,16204891119.89
gha,2016,8607303837
gha,2017,9220021176
gha,2018,11080174943
gin,1989,15551000000
gin,1990,17366000000
gin,1991,18981000000
gin,1992,27440000000
gmb,1990,52130000
gmb,2001,198100000
gmb,2002,216900000
gmb,2003,221600000
gmb,2004,190800000
gmb,2005,230600000
gmb,2006,356100000
gmb,2007,434300000
gmb,2008,463200000
gmb,2009,490300000
gnb,2017,17160699000
gnq,2006,65150000000
gnq,2007,75844999999.99998
gnq,2008,169693000000
gnq,2009,116992000000
gnq,2010,170012600000
gnq,2011,182408988000.00003
gnq,2012,250968810530.37399
gnq,2013,236897423064.45999
gnq,2014,184456093390.59998
gnq,2015,69349428194.3333
gnq,2016,56888699460
gnq,2017,58475845701
gnq,2018,72853379045
grc,1995,11939000000
grc,1996,13194000000
grc,1997,14439000000
grc,1998,16061000000
grc,1999,17604000000
grc,2000,19639000000
grc,2001,21801000000
grc,2002,23322000000
grc,2003,27495000000
grc,2004,28940000000
grc,2005,31646000000
grc,2006,35433000000
grc,2007,39518000000
grc,2008,45082000000
grc,2009,48292000000
