geo,time,ne_gdi_fprv_cn
bfa,1985,69057937400
bfa,1986,68113858600.00001
bfa,1987,79468421100
bfa,1988,83717357600
bfa,1989,90655301600
bfa,1990,81900003300
bfa,1991,96699998200
bfa,1992,95500001300
bfa,1993,97399996400
bfa,1994,145049993200
bfa,1995,143473000400
bfa,1996,165323997200
bfa,1997,192826998800
bfa,1998,210948997100
bgd,1981,40054000000
bgd,1982,46403000000
bgd,1983,49132000000
bgd,1984,56036000000
bgd,1985,66267000000
bgd,1986,73481000000
bgd,1987,76579000000
bgd,1988,82463000000
bgd,1989,87868000000
bgd,1990,98426000000
bgd,1991,113448000000
bgd,1992,123501572200
bgd,1993,143787434000
bgd,1994,159209301400
bgd,1995,188827900500
bgd,1996,298694000000
bgd,1997,322466000000
bgd,1998,374540000000
bgd,1999,412476000000
bgd,2000,463352000000
bgd,2001,520470000000
bgd,2002,584933000000
bgd,2003,673278000000
bgd,2004,751690000000
bgd,2005,868050000000
bgd,2006,992711322300
bgd,2007,1159212395000
bgd,2008,1364476541700
bgd,2009,1543343145300
bgd,2010,1720512297300
bgd,2011,2029787647100
bgd,2012,2374232940300
bgd,2013,2607486010500
bgd,2014,2960024000000
bgd,2015,3344722000000
bgd,2016,4920555000000
bgd,2017,5499423000000
bgd,2018,6583344000000
bgd,2019,7452276000000
bgd,2020,7614069000000
bgd,2021,8366820000000
bgd,2022,9736710000000
bgr,1980,6260700
bgr,1981,6363400
bgr,1982,6262500
bgr,1983,6234300
bgr,1984,6215500
bgr,1985,6525600
bgr,1986,6697700
bgr,1987,7940000
bgr,1988,8657300
bgr,1989,8622500
bgr,1990,8667800
bgr,1991,23567000
bgr,1992,29699000
bgr,1993,35415000
bgr,1994,66189000
bhr,2000,428860000
bhr,2001,400110000
bhr,2002,542470000
bhr,2003,712560000
bhr,2004,860460000
bhr,2005,1264230000
bhr,2006,1580950000
bhr,2007,2236550000
bhr,2008,2801460000
bhr,2009,1695650000
bhr,2010,1729900000
bhr,2011,1808290000
bhr,2012,2327710000
bhr,2013,2522330000
bhr,2014,2729180000
bhr,2015,2336430000
bhr,2016,2682410000
bhr,2017,3167560000
bhr,2018,3503470000
bhr,2019,3432410000
bhr,2020,3223980300
bhr,2021,3229078800
bih,1995,209401700
blr,1990,85.67
blr,1991,200
blr,1992,2100
blr,1993,27900
blr,1994,521600
blr,1995,2657700
blr,1996,3376300
blr,1997,8214800
blr,1998,15354100
blr,1999,71476000
blr,2000,207005900
blr,2001,355100000
blr,2002,526163800
blr,2003,732430000
blr,2004,1089500000
blr,2005,1467800000
blr,2006,1970730000
blr,2007,2560340000
blr,2008,3706400000
blr,2009,4412070000
blr,2010,5894960000
blr,2011,10537850000
blr,2012,16471830000
blr,2013,21892194200
bra,1980,0.92473
bra,1981,1.81455
bra,1982,3.50764
bra,1983,6.95127
bra,1984,21.0422
bra,1985,73.5396
bra,1986,213.23
bra,1987,800.99597
bra,1988,6156.97998
bra,1989,100987
brn,2010,3104308300
brn,2011,4798969300
brn,2012,6133426200
brn,2013,7232551100
brn,2014,4475285300
brn,2015,5070573500
brn,2016,4383011400
brn,2017,5061238200
brn,2018,6981986300
brn,2019,6711476300
brn,2020,6455730300
brn,2021,5710014485.26179
brn,2022,5724796749.62788
btn,2000,6785520700
btn,2001,9802003700
btn,2002,11709186800
btn,2003,14258220400
btn,2004,16842217300
btn,2005,14359984900
btn,2006,13585489700
btn,2007,13235352200
btn,2008,16150750000
btn,2009,20766143900
btn,2010,32069586700
btn,2011,45138107100
btn,2012,49921066600
btn,2013,36174554600
btn,2014,51611304100
btn,2015,59250494100
btn,2016,63295648200
btn,2017,61821343400
btn,2018,59660441400
btn,2019,53377358800
btn,2020,39056613600
btn,2021,39517948800
bwa,1974,37550000
bwa,1975,69900000
bwa,1976,80650000
bwa,1977,97000000
bwa,1978,140850000
bwa,1979,210300000
bwa,1980,284600000
bwa,1981,225750000
bwa,1982,223850000
bwa,1983,225300000
bwa,1984,268900000
bwa,1985,293500000
bwa,1986,330450000
bwa,1987,456100000
bwa,1988,818750000
bwa,1989,1320700000
bwa,1990,1676550000
bwa,1991,1716650000
bwa,1992,1573950000
bwa,1993,1507414500
bwa,1994,1562050000
bwa,1995,1975465000
bwa,1996,1955765000
bwa,1997,2467550000
bwa,1998,3014385000
bwa,1999,3451000000
bwa,2000,4290200000
bwa,2001,4612800000
bwa,2002,5254700000
bwa,2003,6160136900
bwa,2004,7793607200
bwa,2005,9076979900
bwa,2006,11431626400
bwa,2007,12513658500
bwa,2008,11458370000
bwa,2009,13005700000
bwa,2010,17829808400
bwa,2011,23684940300
bwa,2012,31523902000
bwa,2013,33016440600
caf,2018,111002107200
caf,2019,114206864000
caf,2020,92991705900
caf,2021,123547312600
caf,2022,136977687100
chn,1992,766938121800
chn,1993,1230505771900
chn,1994,1543220770600
chn,1995,1827420512300
chn,1996,2090169207700
chn,1997,2244180193200
chn,1998,2539092320000
chn,1999,2676421495500
chn,2000,2968206079900
chn,2001,3369759730000
chn,2002,3865501483600
chn,2003,4630890208600
chn,2004,5640656612300
chn,2005,6546617897400
chn,2006,7474719049000
chn,2007,9077327586500
chn,2008,10998757747200
chn,2009,13338410698800
chn,2010,15848406655500
chn,2011,19058363152600
chn,2012,21257656701300
chn,2013,23610011819300
chn,2014,24909919716000
chn,2015,25260004723000
chn,2016,26355210128800
chn,2017,29608072968800
chn,2018,32337026791400
chn,2019,37856051314600
chn,2020,37467445443600
civ,1965,33100009500
civ,1966,32500000800
civ,1967,31600009200
civ,1968,35799998500
civ,1969,38699999200
civ,1970,54000001000
civ,1971,58199900200
civ,1972,65699999700
civ,1973,84099924000
civ,1974,96800006100
civ,1975,106999988200
civ,1976,141900005400
civ,1977,231799996400
civ,1978,290799976400
civ,1979,268399984600.00003
civ,1980,278620012500
civ,1981,317619994600
civ,1982,302870003700
civ,1983,277229994000
civ,1984,256599998500
civ,1985,251599994900
civ,1986,251500003300
civ,1987,202899996700
civ,1988,206799994900
civ,1989,185000001500
civ,1990,144555999200
civ,1991,151800004600
civ,1992,138200006700
civ,2015,5032000000000
civ,2016,5164000000000
civ,2017,4935000000000
civ,2018,5374000000000
civ,2019,4987200143400
civ,2020,5565000000000
civ,2021,6134613721600
civ,2022,7197290987800
cmr,1977,295000014800
cmr,1978,431600009200
cmr,1979,456199995400
cmr,1980,219700002800
cmr,1981,360100003800
cmr,1982,356100014100
cmr,1983,425300000800
cmr,1984,409499992100
cmr,1985,364499992600
cmr,1986,590353989600
cmr,1987,515000008700
cmr,1988,423199998000
cmr,1989,422208995300
cmr,1990,398200012800
cmr,1991,423000014800
cmr,1992,372200013800
cmr,1993,485856622700
cmr,1994,608865070700
cmr,1995,674338021200
cmr,1996,713032588900
cmr,1997,820393321600
cmr,1998,887688774500
cmr,1999,894122812800
cmr,2000,941577027800
cmr,2001,1106757439000
cmr,2002,1205895516000
cmr,2003,1220004932700
cmr,2004,1345359129800
cmr,2005,1371093929800
cmr,2006,1399375894200
cmr,2007,1526570606500
cmr,2008,1764295550000
cmr,2009,1753252945500
cmr,2010,1807546463100
cmr,2011,1961763159500
cmr,2012,2011756475400
cmr,2013,2190048526800
cmr,2014,2515736914900
cmr,2015,2548721780000
cmr,2016,2747662000000
cmr,2017,2982640000000
cmr,2018,3104538000000
cmr,2019,3129709997800
cmr,2020,3318155799500
cmr,2021,3722930533200
cmr,2022,3733933981900
cod,1991,0
cod,1994,4840600
cod,1995,20926000
cod,1996,770300000
cod,1997,161300000
cod,1998,199787900
cod,1999,1036479600
cod,2000,158300000000
cod,2001,114036681800
cod,2002,163397257100
cod,2003,278426708600
cod,2004,386992042700
cod,2005,526979000000
cod,2006,866597000000
cod,2007,1056238066400
cod,2008,964234828500
cod,2009,1721959506700
cod,2010,4341824027400
cod,2011,5137665751400
cod,2012,3306939271800
cod,2013,5915832880300
cod,2014,5750853001100
cod,2015,4868522241200
cod,2016,5258185125000
cod,2017,12732795418000
cod,2018,14389414403700
cod,2019,15316445295000
cod,2020,19680621782900
cod,2021,26914671658900
cog,1985,114700010000
cog,1986,64805500000
cog,1987,84635983000
cog,1988,73887213200
cog,1989,89699999700
cog,1990,110700000000
cog,1991,144200000000
cog,1992,153900000000
cog,1993,207300000000
cog,1994,492800000000
cog,1995,330700000000
cog,1996,244800000000
cog,1997,246200000000
cog,1998,225300000000
cog,1999,296200000000
cog,2000,320000000000
cog,2001,332700000000
cog,2002,291200000000
cog,2003,382103206500
cog,2004,377254530400
cog,2005,611876000000
cog,2006,711106000000
cog,2007,2102910000000
cog,2008,1638006953200
cog,2009,1896011447000
cog,2010,1927817411100
cog,2011,1845117991100
cog,2012,2623876669400
cog,2013,3178137886900
cog,2014,3270483528200
cog,2015,4776912634800
cog,2016,4459664537500
cog,2017,2058819388600
cog,2018,1785168860100
cog,2019,1734984728100
col,1970,16957000000
col,1971,18632000000
col,1972,19250000000
col,1973,25204000000
col,1974,37776000000
col,1975,41109000000
col,1976,55820000000
col,1977,58723000000
col,1978,92599000000
col,1979,119766000000
col,1980,154301000000
col,1981,204331000000
col,1982,234040000000
col,1983,295702000000
col,1984,326540000000
col,1985,415941000000
col,1986,624314000000
col,1987,897249000000
col,1988,1351822000000
col,1989,1549666000000
dji,2013,53197000000
dji,2014,72167000000
dji,2015,83198000000
dji,2016,89140000000
dji,2017,96057000000
dji,2018,102370542300
dji,2019,112647666600
dji,2020,126003827200
dom,2007,338643258900
dom,2008,387611958700
dom,2009,349350832600
dom,2010,430477246600
dom,2011,484542276500
dom,2012,441147933500
dom,2013,492309529700
dom,2014,576346191100
dom,2015,632367570400
dom,2016,712979253600
dom,2017,784639288500
dom,2018,969832780200
dom,2019,1094974205300
dom,2020,1055037827600
dom,2021,1481028844597.93994
dza,1970,6200000000
dza,1971,6099999700
dza,1972,7000000000
dza,1973,8700000300
dza,1974,12800000000
dza,1975,18300000300
dza,1976,23700000800
dza,1977,27800000500
dza,1978,38200000500
dza,1979,36600000500
dza,1980,37054001200
dza,1981,40043999200
dza,1982,37832998900
dza,1983,37228998700
dza,1984,44951998500
dza,1985,49277001700
dza,1986,61599998000
dza,1987,57799999500
dza,1988,48299999200
dza,1989,72300003300
dza,1990,104300003300
dza,1991,166400000000
dza,1992,207734603800
dza,1993,213300002800
dza,1994,306400002000
dza,1995,435300007900
dza,1996,465400004600
dza,1997,436500004900
dza,1998,516899995600
ecu,1965,185951000
ecu,1966,213279000
ecu,1967,245090000
ecu,1968,278756000
ecu,1969,313191000
ecu,1970,360935000
ecu,1971,440562000
ecu,1972,545449000
ecu,1973,711713000
ecu,1974,751356000
ecu,1975,1086810000
ecu,1976,1255690000
ecu,1977,1702222000
ecu,1978,2065541000
ecu,1979,2331580000
ecu,1980,2579647000
ecu,1981,2948962000
ecu,1982,3006041000
ecu,1983,2064537000
ecu,1984,2045852000
ecu,1985,2127696000
ecu,1986,2083965000
ecu,1987,2267576000
ecu,1988,1987453000
ecu,1989,2274918000
ecu,1990,2229200000
ecu,1991,2564615000
ecu,1992,2581954000
ecu,1993,2811317000
ecu,1994,3287742000
ecu,1995,3565292000
ecu,1996,3544020000
ecu,1997,4141937000
ecu,1998,4473851000
ecu,1999,2763556000
ecu,2000,3157622000
ecu,2001,4183690000
ecu,2002,5237157000
ecu,2003,5528459000
ecu,2004,6498028000
ecu,2005,7866304000
ecu,2006,9178400000
ecu,2007,8191889000
ecu,2008,10441993000
ecu,2009,9410562000
ecu,2010,12351439000
ecu,2011,14084956000
ecu,2012,16678132000
ecu,2013,17271522000
ecu,2014,19234248000
ecu,2015,19594549000
ecu,2016,18396392000
ecu,2017,19047348000
ecu,2018,21533557000
ecu,2019,21242772000
ecu,2020,16071717000
egy,1982,1851000100
egy,1983,3356000000
egy,1984,3737000000
egy,1985,4194000000
egy,1986,4860000000
egy,1987,5699000000
egy,1988,7500000000
egy,1989,12511000000
egy,1990,11901000000
egy,1991,10396000000
egy,1992,11702000000
egy,1993,10551000000
egy,1994,11217000000
egy,1995,16135000000
egy,1996,20700000000
egy,1997,28217000000
egy,1998,20690000000
egy,1999,30430000000
egy,2000,30909000000
egy,2001,32211400000
egy,2002,31834900000
egy,2003,33642900000
egy,2004,37144000000
egy,2005,46460600000
egy,2006,66284100000.00001
egy,2007,97258400000
egy,2008,129045300000
egy,2009,95438800000
egy,2010,126711100000
egy,2011,141709700000
egy,2012,153554300000
egy,2013,145700000000
egy,2014,154626400000
egy,2015,185906700000
egy,2016,210578000000
egy,2017,226264400000
egy,2018,274390800000
egy,2019,486968500000
egy,2020,333934900000
egy,2021,249342800000
egy,2022,342291100000
eri,1992,99500000
eri,1993,355100000
eri,1994,469300000
eri,1995,453900000
eri,1996,677800000
eri,1997,895300000
eri,1998,1437400000
eri,1999,2245700000
eri,2000,1145848200
eri,2001,2041446700
eri,2002,1869786500
eri,2003,2185868600
eri,2004,2200141300
eri,2005,3016465000
eri,2006,2262134000
eri,2007,2223552000
eri,2008,2330634000
eri,2009,2154931000
eri,2010,2488610400
eri,2011,3264844700
eth,2011,94807916500
eth,2012,163003228900
eth,2013,188621167900
eth,2014,228415250500
eth,2015,301036605000
eth,2016,368090452500
eth,2017,449279650000
eth,2018,496649502000
eth,2019,645228880000
eth,2020,732693588000
eth,2021,868994428200
fji,1980,204400000
fji,1981,207700000
fji,1982,201600000
fji,1983,202900000
fji,1984,180100000
fji,1985,198300000
fji,1986,172200000
fji,1987,196300000
fji,1988,151100000
fji,1989,154300000
fji,1990,183100000
fji,1991,213100000
fji,1992,195100000
fji,1993,301600000
fji,1994,251600000
fji,1995,283400000
fji,1996,405500000
fji,1997,467000000
fji,1998,769500000
fji,1999,682600000
fji,2000,446800000
fji,2001,438800000
fji,2002,588400000
fji,2003,763100000
fji,2004,710700000
fji,2005,835700000
fji,2006,741600000
fji,2007,609100000
fji,2008,1027300000
fji,2009,683100000
fji,2010,783100000
fji,2011,1010800000
fji,2012,814300000
fji,2013,1627400000
fji,2014,1167200000
fji,2015,1323000000
fji,2016,1300900000
fji,2017,1361100000
fji,2018,1490300000
fji,2019,1174700000
fji,2020,810235000
gab,1970,19799998000
gab,1971,21899990000
gab,1972,39200000000
gab,1973,33000010000
gab,1974,94699990000
gab,1975,136600000000
gab,1976,269000000000
gab,1977,177500000000
gab,1978,141600080000
gab,1979,105499990000
gab,1980,193099990000
gab,1981,268800010000
gab,1982,287499970000
gab,1983,363200000000
gab,1984,360800000000
gab,1985,507100000000
gab,1986,392000000000
gab,1987,239000000000
gab,1988,411300000000
gab,1989,290900000000
gab,1990,284900000000
gab,1991,318298004900
gab,1992,247641999500
gab,1993,272730987700
gab,1994,359077014600
gab,1995,425299980300
gab,1996,529099970800
gab,1997,587800008700
gab,1998,653200020500
gab,1999,632399985400
gab,2000,685200000000
gab,2001,693602000000
gab,2003,699996000000
gab,2004,723705000000
gab,2005,888306000000
gab,2006,1024128000000
gab,2007,1167357000000
gab,2008,1454264000000
gab,2009,1421936000000
gab,2010,1366211289700
gab,2011,1518549286800
gab,2012,1613501582100
gab,2013,1727222687000
gab,2014,2597701203600
gab,2015,2048870659800
gab,2016,1817797531000
gab,2017,1703506099900
gab,2018,1480926310500
gab,2019,1877744225300
gab,2020,1525648327900
gab,2021,1627242587400
gab,2022,1784997766600
geo,1993,239300
geo,1994,0
geo,1995,31988400
geo,1996,645104800
geo,1997,748869400
geo,1998,1166566000
geo,1999,1365229200
geo,2000,1483423300
geo,2001,1714211200
geo,2002,1707033600
gha,1984,1182700
gha,1985,1842700
gha,1986,1029600
gha,1987,1803800
gha,1988,3379700
gha,1989,7653700
gha,1990,13294000
gha,1991,18279000
gha,1992,6863400
gha,1993,49090000
gha,1994,48284500
gha,1995,54900000
gha,1996,79260400
gha,1997,160800000
gha,1998,191300000
gha,1999,220472900
gha,2000,344872000
gha,2001,636288600
gha,2002,449181400
gha,2003,926207800
gha,2004,1278206600
gha,2005,1653433500
gin,1986,59215800000
gin,1987,77836400000
gin,1988,100669000000
gin,1989,127370400000
gin,1990,171330000000
gin,1991,226300000000
gin,1992,290400000000
gin,1993,331400000000
gin,1994,371800000000
gin,1995,512678198900
gin,1996,543831180800
gin,1997,580213700400
gin,1998,621350370100
gin,1999,672306303100
gin,2000,761164989100
gin,2001,567010984500
gin,2002,578610487000
gin,2003,1086120000000
gin,2004,1311260000000
gin,2005,1686340000000
gmb,1981,68050000
gmb,1982,66600000
gmb,1983,68400000
gmb,1984,89700000
gmb,1985,100100000
gmb,1986,116250000
gmb,1987,161050000
gmb,1988,186700000
gmb,1989,301050000
gmb,1990,372550000
gmb,2013,4768008400
gmb,2014,6031927200
gmb,2015,9061596500
gmb,2016,11457159200
gmb,2017,11430080200
gmb,2018,12058776800
gmb,2019,13996214100
gmb,2020,20121390000
gmb,2021,19715379800
gmb,2022,23417226700
gnb,1998,7500000000
gnb,1999,14900000000
gnb,2000,15806854300
gnb,2001,19968356000
gnb,2002,12688839800
gnb,2003,15257168500
gnb,2004,15812660000
gnb,2005,22437295000
gnb,2006,17400000000
gnb,2007,33207274400
gnb,2008,39606148300
gnb,2009,35678844000
gnb,2010,35834537000
gnb,2011,36883547900
gnb,2012,22627333800
gnb,2013,18319369800
gnb,2014,39379606000
gnb,2015,49514159000
gnb,2016,42497679600
gnb,2017,56122732800
gnb,2018,107355969200
gnb,2019,133922318000
gnb,2020,121099397100
gnq,2006,703886000000
gnq,2007,906427000000
gnq,2008,1166172000000
gnq,2009,1328936000000
gnq,2010,1538566000000
gnq,2011,1555665000000
gnq,2012,2105629000000
gnq,2013,807570000000
gnq,2014,625776000000
gnq,2015,234447000000
gnq,2016,208802000000
gnq,2017,133394017200
gnq,2018,172232000000
gnq,2019,332306000000
gnq,2020,65450437600
gnq,2021,137431000000
gnq,2022,324075000000
gtm,1960,75500000
gtm,1961,77100000
gtm,1962,79200000
gtm,1963,103000000
gtm,1964,125300000
gtm,1965,132300000
gtm,1966,129300000
gtm,1967,147900000
gtm,1968,176900000
gtm,1969,187200000
gtm,1970,193300000
gtm,1971,206200000
gtm,1972,205400000
gtm,1973,269100000
gtm,1974,374700000
gtm,1975,452500000
gtm,1976,689600000
gtm,1977,789800000
gtm,1978,955500000
gtm,1979,939700000
gtm,1980,825000000
gtm,1981,768000000
gtm,1982,772000000
gtm,1983,594000000
gtm,1984,552200000
gtm,1985,924300000
gtm,1986,1279500000
gtm,1987,1716100000
gtm,1988,2156900100
gtm,1989,2500300000
gtm,1990,3560000000
gtm,1991,4635000000
gtm,1992,7129000000
gtm,1993,8589070700
gtm,1994,8712781800
gtm,1995,10235445100
gtm,1996,10354862500
gtm,1997,13007872000
gtm,1998,16929970000
gtm,1999,17288513200
gtm,2000,18773979700
gtm,2001,21118254800
gtm,2002,24240627300
gtm,2003,25956807200
gtm,2004,29871867500
gtm,2005,32281461200
gtm,2006,39092649800
gtm,2007,41877901600
gtm,2008,43719846500
gtm,2009,34983993400
gtm,2010,38863384000
gtm,2011,44991246900
gtm,2012,50980738800
gtm,2013,54948162800
gtm,2014,58686325500
gtm,2015,63176470700
gtm,2016,64652169500
gtm,2017,66022181600
gtm,2018,67220378500.00001
gtm,2019,74154744500
gtm,2020,74520344800
gtm,2021,97661079600
gtm,2022,111962102200
gum,2002,473000000
gum,2003,646000000
gum,2004,636000000
gum,2005,585000000
gum,2006,686000000
gum,2007,921000000
gum,2008,1057000000
gum,2009,1081000000
gum,2010,1057000000
gum,2011,1027000000
gum,2012,1044000000
gum,2013,1233000000
gum,2014,1355000000
gum,2015,1256000000
gum,2016,1205000000
gum,2017,1141000000
gum,2018,1218000000
gum,2019,1343000000
gum,2020,1439000000
gum,2021,1596000000
guy,1987,471000000
guy,1988,340000000
guy,1989,1103000100
guy,1990,2260000000
guy,1991,9321109500
guy,1992,16280464400
guy,1993,12717733900
guy,1994,11676529700
guy,1995,14979491800
guy,1996,12684060700
guy,1997,14746219500
guy,1998,14569495600
guy,1999,16629220400
guy,2000,12961631200
guy,2001,10500696100
guy,2002,11467276300
guy,2003,9398543400
guy,2004,11329467400
guy,2005,31372000000
hkg,1966,3289000000
hkg,1967,2572000000
hkg,1968,2270000000
hkg,1969,2705000000
hkg,1970,4146000000
hkg,1971,5722000000
hkg,1972,6583000000
hkg,1973,8049000000
hkg,1974,9027000000
hkg,1975,8967000000
hkg,1976,11108000000
hkg,1977,14703000000
hkg,1978,18139000000
hkg,1979,27614000000
hkg,1980,39418000000
hkg,1981,48242000000
hkg,1982,47374000000
hkg,1983,40985000000
hkg,1984,46618000000
hkg,1985,49363000000
hkg,1986,60005000000
hkg,1987,81959000000
hkg,1988,104274000000
hkg,1989,120859000000
hkg,1990,136781000000
hkg,1991,160849000000
hkg,1992,196096000000
hkg,1993,217433000000
hkg,1994,266802000000
hkg,1995,282613000000
hkg,1996,315661000000
hkg,1997,390301000000
hkg,1998,329996000000
hkg,1999,261859000000
hkg,2000,289199000000
hkg,2001,277984000000
hkg,2002,236604000000
hkg,2003,215732000000
hkg,2004,234046000000
hkg,2005,255694000000
hkg,2006,296700000000
hkg,2007,302398000000
hkg,2008,307927000000
hkg,2009,291132000000
hkg,2010,321836000000
hkg,2011,377869000000
hkg,2012,425967000000
hkg,2013,416075000000
hkg,2014,419273000000
hkg,2015,418925000000
hkg,2016,411668000000
hkg,2017,445139000000
hkg,2018,477923000000
hkg,2019,389034000000
hkg,2020,319983000000
hkg,2021,340486000000
hkg,2022,281711000000
hnd,1970,174000000
hnd,1971,182000000
hnd,1972,188000000
hnd,1973,237000000
hnd,1974,311000000
hnd,1975,314000000
hnd,1976,360000000
hnd,1977,445000000
hnd,2000,21630400000
hnd,2001,21859900000
hnd,2002,23425300000
hnd,2003,25758400000
hnd,2004,34118000000
hnd,2005,37562900000
hnd,2006,48212000000
hnd,2007,65744200000
hnd,2008,77018300000
hnd,2009,49703100000
hnd,2010,54572600000
hnd,2011,70553400000
hnd,2012,77378200000
hnd,2013,74176700000
hnd,2014,80174800000
hnd,2015,97311000000
hnd,2016,93389300000
hnd,2017,106254900000
hnd,2018,122558200000
hnd,2019,121199800000
hnd,2020,95076800000
hnd,2021,134187799999.99998
hnd,2022,149816600000
hrv,1995,1246498251.53187
hrv,1996,2125196672.44323
hrv,1997,3147554516.22346
hrv,1998,3297748545.30231
hrv,1999,3395273426.44787
hrv,2000,3480307515.82239
hrv,2001,4084923237.82239
hrv,2002,4924467461.13972
hrv,2003,5997327541.23382
hrv,2004,6435378345.16888
hrv,2005,7257055307.08323
hrv,2006,8413165477.17181
hrv,2007,8739126670.93376
hrv,2008,10376788868.4115
hrv,2009,8579914206.04011
hrv,2010,7562914987.39305
hrv,2011,7326466267.51421
hrv,2012,6950777250.73705
hrv,2013,6833176533.54569
hrv,2014,6795661522.59546
hrv,2015,7197839616.46499
hrv,2016,7815172636.44566
hrv,2017,8388164689.07437
hrv,2018,8621731724.0249
hrv,2019,9288249419.48875
hrv,2020,8417100930.3143
hrv,2021,9342939665.36715
hti,2000,9283195963.54901
hti,2001,10565389038.2446
hti,2002,14050537109.5916
hti,2003,30295106452.973
hti,2004,21631391939.8797
hti,2005,17173515809.2029
hti,2006,33352322726.36809
hti,2007,13323658104.0563
hti,2008,30361631253.1427
hti,2009,32799098207.565
hti,2010,87465716994.049
hti,2011,69888124170.97729
hti,2012,42887794061.3793
hti,2013,39114813154.1159
hti,2014,57457462527.4747
hti,2015,55369436153.1548
hti,2016,71049163552.7038
hti,2017,105981423155.382
hti,2018,107638928244.41
hti,2019,200209619705.39801
hti,2020,267861953569.71799
