geo,time,sp_dyn_conm_zs
bhr,1995,30.6
bhs,1988,60.12502
bih,2000,16.22517
bih,2006,11.28309
bih,2012,12.1381
blr,1995,42.1
blr,2005,57.03718
blr,2012,51.93333
blr,2017,59.27
blr,2019,45.9
blz,1991,43.10246
blz,1999,50.95
blz,2011,51.98318
blz,2016,48.45323
bol,1989,12.2
bol,1994,17.8
bol,1998,25.2
bol,2000,30.49483
bol,2003,34.9
bol,2008,34.6
bol,2016,45.1
bra,1986,56.5
bra,1996,70.3
bra,2007,77.1
bra,2013,77.67249
brb,1981,44.62401
brb,1988,53.35
brb,2012,55.38457
btn,2000,30.7
btn,2010,65.38393
bwa,1984,18.6
bwa,1988,31.7
bwa,1996,45.65423
bwa,2000,42.1
caf,1995,3.2
caf,2000,11.55246
caf,2006,10.23191
caf,2010,11.33153
caf,2019,14.4
can,1984,70.6146
can,1995,73.28948
che,1980,64.9
che,1995,77.54679
che,2012,69.2154
che,2017,67.3
chl,2006,64.2
chl,2016,69.84475
chn,1970,13.47
chn,1971,17.26
chn,1972,22.49225
chn,1973,28.43
chn,1974,34.42
chn,1975,40.62
chn,1976,45.21452
chn,1977,48.41
chn,1978,50.23
chn,1979,53.66537
chn,1980,54.56454
chn,1981,54.71
chn,1982,58.19
chn,1983,64.22
chn,1984,66.32
chn,1985,66.15
chn,1986,65.73
chn,1987,69.34306
chn,1988,73.24
chn,1997,83.3
chn,2001,86.2
chn,2006,84
chn,2017,80.5
civ,1981,0.5
civ,1994,4.3
civ,1999,7.3
civ,2006,11.03054
civ,2012,12.5
civ,2016,14.26224
civ,2017,18.14937
civ,2018,17.80546
civ,2020,19.61607
civ,2021,17.9
civ,2022,25.15177
cmr,1991,4.3
cmr,1998,7.1
cmr,2004,12.5
cmr,2006,13.99161
cmr,2011,14.4
cmr,2014,19.93222
cmr,2018,15.4
cod,1984,4.4
cod,1991,2.3
cod,2001,7.70758
cod,2007,5.8
cod,2010,6.60087
cod,2014,7.8
cod,2018,17.58502
cog,2005,12.7
cog,2012,20
cog,2015,18.33249
col,1969,8.9
col,1976,30.4
col,1980,41
col,1986,52.4
col,1990,54.6
col,1995,59.3
col,2000,64
col,2005,68.2
col,2010,72.9
col,2015,75.9
com,1996,11.4
com,2000,20.96968
com,2012,14.2
com,2022,8.6
cpv,1989,19
cpv,1998,46
cpv,2005,57.1
cpv,2018,54.6
cri,1976,53.5
cri,1981,55.9
cri,1986,58
cri,1993,65
cri,1999,71
cri,2011,74.7398
cri,2015,74.9
cri,2018,70
cub,1987,67
cub,2000,72.1
cub,2011,73.17532
cub,2014,72.15143
cub,2019,67.94055
cub,2022,60.1
cze,1970,24.3
cze,1993,44.9
cze,1997,62.8
cze,2005,68.7
cze,2008,77.6
deu,1970,49.375
deu,1972,60.58007
deu,1985,67.6
deu,1992,65.47017
deu,2005,64.5
deu,2008,49.1
deu,2011,80.2
dji,2002,5.8
dji,2006,17.68902
dji,2012,18
dma,1981,57.5
dma,1987,47.9076
dnk,1970,54
dnk,1975,59.9
dom,1975,26
dom,1980,35
dom,1983,36.2
dom,1986,46.5
dom,1991,51.7
dom,1996,59.2
dom,1999,64.1
dom,2000,62.7778
dom,2002,65.8
dom,2006,60
dom,2007,70
dom,2010,71.1
dom,2013,68.6
dom,2014,68.04807
dom,2019,61.96394
dza,1987,31.3
dza,1992,42.9
dza,1995,49.4
dza,2000,55
dza,2002,51.7
dza,2006,53.9
dza,2013,47.87688
dza,2019,44.9
ecu,1987,35.8
ecu,1989,41.5
ecu,1994,45.7
ecu,1999,51.7
ecu,2004,58.7
ecu,2012,71.5
ecu,2014,67.20379
ecu,2018,72.43017
egy,1975,22.4
egy,1980,29.7
egy,1984,28.7
egy,1988,35.5
egy,1991,44.3
egy,1992,44.8
egy,1995,45.5
egy,1997,51.8
egy,1998,49.5
egy,2000,53.9
egy,2003,56.6
egy,2005,56.5
egy,2008,57.6
egy,2014,56.9
eri,1995,4
eri,2002,7.3
eri,2010,7.1
esp,1977,18.6
esp,1985,41.58864
esp,1995,67.5
esp,1999,66.42935
esp,2006,62.2
esp,2009,68.2804
esp,2018,59.85799
est,1994,43.94954
est,2005,57.9
est,2006,52.57766
est,2010,54.79194
est,2014,60.88387
eth,1990,2.9
eth,1997,2.8
eth,2000,6.3
eth,2005,13.9
eth,2011,27.3
eth,2014,40.4
eth,2015,35.97647
eth,2016,35.3
eth,2017,35.12451
eth,2018,38.36978
eth,2019,40.5
eth,2020,35.6
eth,2021,34.61812
fin,1990,75.40253
fin,1992,75.48077
fin,1999,72.84768
fin,2007,68.88889
fin,2015,81.56425
fji,1974,35
fji,2021,31.2
fra,1978,47.6
fra,1988,66.6
fra,1994,69.3
fra,2005,74.8
fra,2008,71
fra,2010,72.7
gab,2000,11.8
gab,2012,19.4
gab,2021,17.3
gbr,1986,78
gbr,1993,82
gbr,1998,77
gbr,1999,69
gbr,2000,75
gbr,2001,80
gbr,2003,79
gbr,2004,78
gbr,2005,76
gbr,2006,74
gbr,2009,76
gbr,2012,71.1
geo,1999,19.8
geo,2005,21.62985
geo,2006,31.4
geo,2009,23
geo,2010,34.7
geo,2018,31.20301
gha,1980,5.5
gha,1988,5.2
gha,1993,10.1
gha,1998,13.3
gha,2003,18.7
gha,2006,14.00796
gha,2008,16.6
gha,2011,24.80882
gha,2013,18.23942
gha,2014,22.2
gha,2015,28.2238
gha,2016,23.67925
gha,2017,25
gha,2018,24.26401
gha,2022,27.8
gin,1992,1
gin,1999,4.2
gin,2005,5.7
gin,2012,4.6
gin,2016,7.75345
gin,2018,10.6
gmb,1990,6.7
gmb,2000,8.71066
gmb,2001,13.4
gmb,2010,10.21112
gmb,2013,8.1
gmb,2018,16.26614
gmb,2020,17.1
gnb,2000,4.43821
gnb,2006,9.52527
gnb,2010,13.1
gnb,2014,14.37259
gnb,2019,20.16189
gnq,2000,5.57595
gnq,2011,9.6
grc,1999,33.6
grd,1985,27.435
gtm,1978,15.21667
gtm,1983,20.6
gtm,1987,19
gtm,1995,26.9
gtm,1999,30.9
gtm,2002,34.4
gtm,2009,44
gtm,2015,48.9
guy,1975,23.4
guy,1992,36.9
guy,2000,36.29191
guy,2005,33.6
guy,2007,32.98895
guy,2009,40
guy,2014,32.56591
guy,2020,28.58986
hkg,1972,43.3
hkg,2017,64.5
hnd,1981,23.6
hnd,1984,30.4
hnd,1987,32.9
hnd,1992,34.7
hnd,1996,40.3
hnd,2001,50.96458
hnd,2006,56.4
hnd,2012,63.8
hnd,2019,66.50556
hti,1977,5.4
hti,1983,3.9
hti,1987,5
hti,1989,9.4
hti,1995,13.2
hti,2000,22.8
hti,2006,24.8
hti,2012,31.3
hti,2017,31.8
hun,1966,18.5
hun,1969,31
hun,1972,40
hun,1974,44
hun,1975,52
hun,1977,52.2
hun,1986,62.3
hun,1993,71.30291
hun,2009,54.1
idn,1973,7.2
idn,1976,22.9
idn,1979,24.6
idn,1985,36.93523
idn,1987,43.9
idn,1991,47.1
idn,1993,51.2
idn,1994,52.1
idn,1995,52.5
idn,1996,52.6
idn,1997,54.7
idn,1998,54.2
idn,1999,54.3
idn,2000,53.8
idn,2001,51.8
idn,2003,56.7
idn,2005,57.5
idn,2006,56.5
idn,2007,57.4
idn,2008,55.2
idn,2009,58.8
idn,2010,59.5
idn,2011,59.4
idn,2012,57.9
idn,2013,60.9
idn,2014,60.5
idn,2015,59.1
idn,2016,58.2
idn,2017,57.2
idn,2019,51.3
idn,2020,51.5
idn,2021,50.8
idn,2022,51.5
idn,2023,51.6
ind,1971,9.5
ind,1981,28.1
ind,1988,39.9
ind,1993,36.5
ind,1999,42.8
ind,2000,42.3
ind,2004,45.7
ind,2006,48.5
ind,2008,48.2
ind,2016,47.8
ind,2021,56.4
irl,2004,67.38095
irl,2005,61.4
irl,2010,70.90695
irn,1977,25.9
irn,1989,30.5
irn,1992,44.6
irn,1993,49.2
irn,1994,51.1
irn,1995,53.6
irn,1996,56.1
irn,1997,56
irn,2000,56
irn,2002,59.0295
irn,2010,57
irq,1974,12.9
irq,1989,10.4
irq,2000,25.40303
irq,2006,32.84561
irq,2011,33.59873
irq,2018,36.07492
isr,1988,51.9
ita,1996,40.48145
ita,2013,51.8
jam,1976,36.2
jam,1979,54.2
jam,1983,48.4
jam,1989,51.20797
jam,1993,58.29794
jam,1997,62.66923
jam,2003,66.1
jam,2008,68.4
jam,2022,53.2
jor,1972,17.6
jor,1976,17.4
jor,1983,20.8
jor,1990,26.9
jor,1997,37.7
jor,2002,41.2
jor,2007,41.9
jor,2009,42
jor,2012,42.3
jor,2018,37.4
jor,2023,38.4
jpn,1961,39.2
jpn,1963,43.8
jpn,1965,54.1
jpn,1967,49.1
jpn,1969,52.1
jpn,1971,52.6
jpn,1973,59.3
jpn,1975,60.5
jpn,1979,62.2
jpn,1984,57.3
jpn,1986,62.7
jpn,1988,51.7
jpn,1990,52.5
jpn,1992,57
jpn,1994,52.8
jpn,1996,50.6
jpn,1998,48
jpn,2000,48.3
jpn,2004,44.4
jpn,2005,44.4
jpn,2014,39.03445
jpn,2015,33.1
jpn,2021,52.81989
kaz,1995,46.1
kaz,1999,52.8
kaz,2006,49.40032
kaz,2011,49.74019
kaz,2015,53.59843
kaz,2018,50.09
ken,1978,4.4
ken,1984,9.7
ken,1989,17.9
ken,1993,27.3
ken,1998,31.5
ken,2003,31.5
ken,2009,39.4
ken,2014,53.2
ken,2015,61.82108
ken,2016,59.30104
ken,2017,58.51628
ken,2018,59.93495
ken,2019,57.07505
ken,2020,61.15644
ken,2021,60.8
ken,2022,56.9
kgz,1997,48.9
kgz,2006,45.72305
kgz,2012,33.7
kgz,2014,39.94052
kgz,2018,37.81087
khm,1995,6.9
khm,1998,16.1
khm,2000,18.8
khm,2005,27.2
khm,2010,34.9
khm,2014,38.8
khm,2022,44.7
kir,2009,18
kir,2019,27.3
kor,1965,14
kor,1966,15
kor,1971,20.06846
kor,1974,27
kor,1979,43.1
kor,1982,47.4
kor,1991,69.5
kor,2021,67.61
kos,2014,13.7
kos,2020,9.4
kwt,1985,37.3
kwt,1987,31.7
kwt,1994,47.4
kwt,1996,40.9
kwt,1999,39.3
lao,1993,15.1
lao,2000,28.9
lao,2005,35
lao,2012,42.66805
lao,2017,51.0401
lbn,1971,23
lbn,1984,46.7
lbn,1996,37.2
lbn,2000,40.4
lbn,2004,34.2
lbn,2009,46.8
lbr,1986,5.5
lbr,2007,10.3
lbr,2013,19.1
lbr,2020,23.9
lby,1995,25.7
lby,2003,23.7
lby,2007,20.4
lby,2014,16.3
lca,2012,52.43292
lka,1975,20.2
lka,1977,26.9
lka,1982,31.9
lka,1987,40.6
lka,1993,43.6
lka,2000,49.5
lka,2007,52.5
lka,2016,53.6
lso,1977,3
lso,2000,29.58455
lso,2001,36.1
lso,2002,34.7
lso,2004,35.2
lso,2009,45.6
lso,2011,60.84446
lso,2014,59.8
lso,2018,64.57463
lso,2024,65.3
ltu,1995,33.15158
ltu,2006,52.3
ltu,2009,51.35952
lva,1995,55.58699
mar,1980,16.4
mar,1984,21.2
mar,1987,28.9
mar,1992,35.5
mar,1995,42.4
mar,1997,48.8
mar,2004,54.8
mar,2011,58.6
mar,2018,59.1
mda,1997,50.1
mda,2000,43.70654
mda,2005,43.8
mda,2012,42.31697
mda,2020,43.9
mdg,1992,5.1
mdg,1997,9.7
mdg,1999,12.9
mdg,2004,18.3
mdg,2009,29.2
mdg,2013,33.3
mdg,2017,38.9
mdg,2018,40.38732
mdg,2021,42.7
mdv,1991,19
mdv,1999,33
mdv,2004,34
mdv,2009,27
mdv,2017,14.9
mex,1977,23.3
mex,1978,32.8
mex,1979,32
mex,1982,41.5
mex,1987,44.6
mex,1992,55.2
mex,1995,57.5
mex,1997,59.5
mex,2003,69.3
mex,2006,66.5
mex,2009,67.425
mex,2014,68.3958
mex,2015,65.03784
mex,2018,69.75713
mex,2023,69.05087
mhl,2007,42.4
mkd,2011,12.99253
mkd,2019,13.98713
mli,1987,1.3
mli,1996,4.5
mli,2001,5.7
mli,2006,6.9
mli,2010,9.00279
mli,2013,9.9
mli,2015,15.10583
mli,2018,16.4
mlt,1971,16
mlt,1993,46
mmr,1991,13.6
mmr,1997,28.3
mmr,2001,28.9
mmr,2007,38.4
mmr,2016,51.3
mne,2000,30.7
mne,2006,17.44912
mne,2013,15.3566
mne,2018,11.6
mng,1996,41.2
mng,1998,45.7
mng,2000,58.82942
mng,2003,58.4
mng,2005,60.88029
mng,2008,49.6
mng,2011,50.43323
mng,2013,48.20098
mng,2018,45.18923
moz,1997,5.1
moz,2003,11.7
moz,2008,14.65121
moz,2009,10.4
moz,2011,11.3
moz,2015,25.3
moz,2023,25.4
mrt,1981,0.3
mrt,1991,1.3
mrt,2001,5.1
mrt,2007,8
mrt,2011,10
mrt,2015,15.6
mrt,2021,12.8
mus,1985,48.5
mus,1991,48.9
mus,2002,38.6
mus,2014,31.1
mwi,1984,3.2
mwi,1992,7.4
mwi,1996,14.4
mwi,2000,26.1
mwi,2004,28.1
mwi,2006,38.63413
mwi,2010,42.2
mwi,2014,57.35197
mwi,2016,58.1
mwi,2020,64.72853
mys,1967,6.2
mys,1974,23.7
mys,1985,29.8
mys,1988,31.4
mys,1994,30.4
mys,2004,32.3
mys,2014,34.3
mys,2022,34.5
nam,1989,32.1
nam,1992,26
nam,2000,42.6
nam,2007,53.4
nam,2013,55.3
ner,1992,2.3
ner,1998,4.6
ner,2000,11.16096
ner,2006,5
ner,2012,12.2
ner,2015,13.2
ner,2016,14.83204
ner,2017,10.5
ner,2021,10
ner,2022,13.27937
ner,2023,13.85651
nga,1982,0.9
nga,1990,3.5
nga,1999,8.4815
nga,2003,8.2
nga,2007,10.54507
nga,2008,9.7
nga,2011,11.49079
nga,2012,10.73864
nga,2013,9.8
nga,2016,16.37291
nga,2017,10.71317
nga,2018,12
nga,2021,18.2
nic,1981,22.8
nic,1993,45.13692
nic,1998,57.4
nic,2001,66.1
nic,2007,69.80056
nic,2012,77.4
nld,1969,41.6
nld,1975,69.1
nld,1982,73.82063
nld,1988,72.07811
nld,1993,75.60408
nor,1989,69.21665
npl,1976,2.4
npl,1981,6.8
npl,1986,15.1
npl,1992,24.1
npl,1996,26
npl,2000,37.1
npl,2001,35.4
npl,2004,37.917
npl,2006,44.2
npl,2011,43.2
npl,2014,47.14958
npl,2016,42.8
npl,2019,44.1841
npl,2022,42.7
nru,2007,25.1
nzl,1976,61.5
nzl,1995,71.6173
omn,1989,7.5
omn,1995,18.2
omn,2000,24.6
omn,2008,15.3
omn,2014,18.8
pak,1975,3.9
pak,1985,7.6258
pak,1991,9
pak,1993,17.6
pak,1995,12.6
pak,1997,16.9
pak,2001,20.21
pak,2003,25.2
pak,2006,18.4
pak,2007,21.7
pak,2008,19.3
pak,2013,26.1
pak,2018,25
pan,1976,45.9
pan,1979,54.1
pan,1984,54.2
pan,2009,59.5
pan,2013,60.29532
pan,2015,46.9
per,1970,10
per,1978,11.2
per,1981,17.63
per,1986,23
per,1992,32.8
per,1996,41.3
per,2000,50.4
per,2006,47.6
per,2008,48.8
per,2009,50
per,2010,50.5
per,2011,51.1
per,2012,51.8
per,2013,51.3
per,2014,52.2
per,2015,53.3
per,2016,54.3
per,2017,54.5
per,2018,55
per,2019,55.6
per,2020,55
per,2021,57
per,2022,56.58
per,2023,57.9
phl,1978,16.2
phl,1993,24.9
phl,1995,25.4
phl,1996,30.2
phl,1997,30.9
phl,1998,28.2
phl,1999,32.4
phl,2000,32.1
phl,2001,33.1
phl,2002,35.1
phl,2003,33.4
phl,2004,35.1
phl,2005,36
phl,2006,35.9
phl,2008,34
phl,2011,36.9
phl,2013,37.6
phl,2017,40.4
phl,2022,41.8
png,1996,19.6
png,2006,24.3
png,2018,30.5
pol,1972,13.2
pol,1977,26.3
pol,1991,27.98233
pol,2011,41.3
pol,2014,50.6864
prk,1992,53
prk,1997,55.8
prk,2002,58.2
prk,2004,56.3
prk,2006,58.5
prk,2010,65.3
prk,2014,76.5
prk,2017,68.8
prt,1980,37.71
pry,1977,23.3
pry,1979,25.4
pry,1987,29
pry,1990,35.2
pry,1996,41.3
pry,1998,47.7
pry,2004,60.5
pry,2008,70.7
pry,2016,66.43722
pse,1996,30.7
pse,2004,37.6
pse,2006,38.9
pse,2010,41.41292
pse,2014,43.99149
pse,2020,42.8
qat,1987,28.9
qat,1998,32.3
qat,2012,34.27943
rou,1993,13.9
rou,1999,29.5
rou,2004,38.2
rou,2005,50.5
rus,1993,44.4
rus,1994,48.6
rus,1995,47.5
rus,1996,47.1
rus,2004,56.6
rus,2007,51.5
rus,2010,54.4
rus,2011,55
rwa,1983,0.9
rwa,1992,12.9
rwa,2000,5.7
rwa,2005,10.3
rwa,2008,27.4
rwa,2010,45.1
rwa,2015,47.5
rwa,2020,58.4
sau,1997,28.5
sau,2016,20.85438
sau,2019,24.4
sau,2023,32.9
sdn,1979,3.9
sdn,1990,5.5
sdn,1993,6.9
sdn,1999,5.4
sdn,2006,9
sdn,2010,8.46767
sdn,2014,12.03655
sen,1978,0.6
sen,1986,2.4
sen,1993,4.8
sen,1997,8.1
sen,1999,8.2
sen,2005,10.3
sen,2011,12.1
sen,2013,16.1
sen,2014,20.3
sen,2015,21.2
sen,2016,23.1
sen,2017,26.3
sen,2018,25.4
sen,2019,25.5
sen,2023,25.6
sgp,1973,52.8
sgp,1977,62.8
sgp,1982,59
sgp,1987,53
sgp,1992,52
sgp,1997,55
slb,2007,27.4
slb,2015,24.3
sle,2000,3.93139
sle,2006,4.88082
sle,2008,6.7
sle,2010,10.19829
sle,2013,15.6
sle,2017,21.85041
sle,2019,20.9
slv,1975,20
slv,1978,32.1
slv,1985,44.5
slv,1988,43.5
slv,1993,48.4
slv,1998,54.1
slv,2003,61.9
slv,2008,66.2
slv,2014,67.71302
slv,2021,52.1
srb,2000,33
srb,2006,18.96374
srb,2010,22.21683
srb,2014,18.4189
srb,2019,21.32987
ssd,2006,3.3
ssd,2010,1.58601
stp,2000,27.98175
stp,2006,28.5
stp,2009,33.7
stp,2014,37.39248
stp,2019,46.02148
sur,2000,40.71358
sur,2006,45.02224
sur,2010,47.18179
sur,2018,38.6742
svn,1995,63.18138
swz,1988,17.15975
swz,2000,26.21958
swz,2007,47.7
swz,2010,63.12384
swz,2014,65.53212
swz,2022,57
syr,1978,22.4
syr,1993,28.3
syr,2001,35.1
syr,2006,46.31627
syr,2009,37.5
tca,2020,33.4841
tcd,1997,1.2
tcd,2000,6.29799
tcd,2004,9.9
tcd,2010,4.38115
tcd,2015,5
tcd,2019,6.7
tgo,1988,3.1
tgo,1998,7
tgo,2000,12.61237
tgo,2006,11.2444
tgo,2010,13.53454
tgo,2014,17.3
tgo,2017,21.4
tha,1973,25.7
tha,1975,30
tha,1978,49.3
tha,1987,63.6
tha,1989,64.2
tha,1993,72.2
tha,1996,72.2
tha,1997,69.8
tha,2001,76.1
tha,2006,75.43401
tha,2009,77.4
tha,2013,76.95125
tha,2016,75.51137
tha,2019,71.3
tha,2022,70.7
tjk,2000,28.28897
tjk,2005,36.1496
tjk,2007,31.5721
tjk,2012,25.8
tjk,2017,27.1
tkm,2000,53.1
tkm,2006,46.78869
tkm,2016,47.09821
tkm,2019,47.25835
tls,1991,20.4
tls,1994,20.7
tls,1997,25.1
tls,2001,6.6
tls,2003,9.5
tls,2007,15.8
tls,2010,21.1
tls,2016,24.1
ton,2012,28.4
ton,2019,25.21825
tto,1977,46
tto,1987,44.4
tto,2000,33.29718
tto,2006,38.10395
tto,2011,37.58766
tto,2022,30.5
tun,1978,24.7
tun,1983,34.2
tun,1988,40.4
tun,1995,49
tun,2000,57.7
tun,2001,53.1
tun,2006,51.5
tun,2012,50.89651
tun,2018,44.3
tun,2023,48.4
tur,1963,6.7
tur,1968,9.3
tur,1973,11.4
tur,1978,17.8
tur,1983,22.4
tur,1988,31
tur,1993,34.5
tur,1998,37.7
tur,2003,42.5
tur,2008,46
tur,2013,47.4
tur,2018,48.9
tuv,2007,22.4
tuv,2020,22.38734
tza,1992,6.6
tza,1994,13.1
tza,1996,13.3
tza,1999,16.9
tza,2004,23.4
tza,2005,20
tza,2010,27.4
tza,2016,32
tza,2022,31.1
uga,1989,2.5
uga,1995,7.8
uga,2001,18.2
uga,2005,18.7
uga,2006,17.9
uga,2011,26
uga,2014,25.30519
uga,2015,29.56772
uga,2016,34.8
uga,2017,35.89481
uga,2018,35.11955
uga,2020,37.30412
uga,2021,44.04006
uga,2022,38
ukr,1999,37.6
ukr,2005,58.40151
ukr,2007,47.5
ukr,2012,47.63273
ury,1986,72.4
ury,2004,74.8
usa,1965,49.1
usa,1970,56.8
usa,1973,63.5
usa,1975,73.2
usa,1976,60.5
usa,2002,64.43427
usa,2015,63.10396
usa,2017,67.71881
usa,2019,66.1
uzb,1996,51.3
uzb,2000,63.63279
uzb,2002,62.8
uzb,2006,61.69171
uzb,2022,56.4
vct,1981,51.6
ven,1977,38
ven,1993,54.5
ven,1998,61.7
vnm,1988,37.69
vnm,1994,43.8
vnm,1997,55.8
vnm,1998,57.9
vnm,2000,56.22128
vnm,2001,61.1
vnm,2002,56.7
vnm,2003,63.3
vnm,2004,64.6
vnm,2005,65.8
vnm,2006,60.83837
vnm,2007,68.17385
vnm,2008,68.73152
vnm,2010,67.50156
vnm,2011,60.07619
vnm,2012,66.57311
vnm,2013,67.0157
vnm,2014,56.84002
vnm,2015,64.97822
vnm,2016,66.5
vnm,2017,65.59491
vnm,2018,66.51844
vnm,2021,59.8
vut,1984,20.8
vut,2008,36.96696
vut,2013,37.1
wsm,2009,26.7
wsm,2014,24.3
wsm,2020,15.76976
yem,1979,1.6
yem,1992,6.1
yem,1997,9.8
yem,2003,13.4
yem,2006,19.56902
yem,2013,29.2
zaf,1989,48.4
zaf,1998,55.1
zaf,2003,59.9
zaf,2016,54
zmb,1992,8.9
zmb,1996,14.4
zmb,2002,25.3
zmb,2007,32.7
zmb,2014,44.8
zmb,2018,47.5
zwe,1984,26.6
zwe,1988,36.1
zwe,1994,42.2
zwe,1999,50.4
zwe,2006,58.4
zwe,2009,63.94894
zwe,2011,57.3
zwe,2014,66.461
zwe,2015,65.8
