geo,time,sl_uem_advn_fe_zs
hkg,2002,3.14
hkg,2004,2.62
hkg,2005,2.74
hkg,2006,2.3
hkg,2007,2.43
hkg,2008,2.11
hkg,2009,3.28
hkg,2010,2.77
hkg,2011,2.24
hkg,2012,2.47
hkg,2013,2.47
hkg,2014,2.54
hkg,2015,2.96
hkg,2016,2.75
hkg,2017,2.47
hkg,2018,2.26
hkg,2019,2.41
hkg,2020,4.21
hkg,2021,3.74
hkg,2022,2.93
hnd,2005,6.05
hnd,2006,5.63
hnd,2007,4.03
hnd,2008,4.56
hnd,2009,4.66
hnd,2010,7.25
hnd,2011,5.9
hnd,2012,5.33
hnd,2013,8.06
hnd,2014,8.87
hnd,2015,10.06
hnd,2016,6.11
hnd,2017,10.66
hnd,2018,9.38
hnd,2019,8.03
hnd,2021,4.87
hrv,2002,10.01
hrv,2003,8.48
hrv,2004,7.66
hrv,2005,6.46
hrv,2006,6.89
hrv,2007,7.4
hrv,2008,5.71
hrv,2009,7.02
hrv,2010,8.78
hrv,2011,9.59
hrv,2012,11.25
hrv,2013,11.87
hrv,2014,10.19
hrv,2015,9.29
hrv,2016,8.62
hrv,2017,6.97
hrv,2018,6.49
hrv,2019,5.9
hrv,2020,5.73
hrv,2021,5.04
hrv,2022,5.36
hti,2012,30.67
hun,1998,1.83
hun,1999,1.03
hun,2000,1.28
hun,2001,1.34
hun,2002,2.19
hun,2003,1.42
hun,2004,2.84
hun,2005,3.05
hun,2006,2.66
hun,2007,3.17
hun,2008,3.11
hun,2009,4.06
hun,2010,4.3
hun,2011,4.37
hun,2012,4.71
hun,2013,4.28
hun,2014,3.43
hun,2015,2.6
hun,2016,1.83
hun,2017,1.8
hun,2018,1.71
hun,2019,1.58
hun,2020,2.07
hun,2021,1.82
hun,2022,1.49
idn,1990,11.6
idn,1991,13.51
idn,1992,14.29
idn,1993,16.26
idn,1994,19.11
idn,1996,19.07
idn,1997,15.47
idn,1998,15.08
idn,1999,16.3
idn,2000,14.23
idn,2001,16.66
idn,2002,14.06
idn,2003,16.76
idn,2004,17.94
idn,2005,15.73
idn,2006,13.23
idn,2007,17.21
idn,2008,15.48
idn,2009,11.37
idn,2010,11.55
idn,2011,9.68
idn,2012,7.03
idn,2013,5.85
idn,2014,5.4
idn,2015,6.24
idn,2016,5.45
idn,2017,4.41
idn,2018,6.04
idn,2019,4.75
idn,2020,4.6
idn,2021,4.33
idn,2022,4.17
ind,1994,21.92
ind,2000,21.12
ind,2005,21.4
ind,2010,16.04
ind,2012,15.3
ind,2018,25.44
ind,2019,22.58
ind,2020,26.78
ind,2021,23.39
irl,1998,4.04
irl,1999,2.5
irl,2000,1.96
irl,2001,1.77
irl,2002,1.84
irl,2003,2.48
irl,2004,2.35
irl,2005,2.48
irl,2006,2.58
irl,2007,3.03
irl,2008,3.9
irl,2009,7.08
irl,2010,7.77
irl,2011,8.06
irl,2012,7.91
irl,2013,7.7
irl,2014,7.08
irl,2015,5.86
irl,2016,4.98
irl,2017,4.16
irl,2018,3.87
irl,2019,3.21
irl,2020,4.22
irl,2021,4.14
irl,2022,3.22
irn,2005,17.32
irn,2006,18.23
irn,2007,17.32
irn,2008,18.99
irn,2009,21.03
irn,2010,24.94
irn,2011,22.88
irn,2012,21.13
irn,2013,18.96
irn,2014,19.54
irn,2015,17.63
irn,2016,19.76
irn,2018,28.67
irn,2019,26.39
irn,2020,23.05
irn,2021,22.92
irq,2007,10.06
irq,2012,17.18
irq,2021,29.24
isl,1995,0.65
isl,1996,1.35
isl,1997,1.36
isl,1998,1.3
isl,2009,3.38
isl,2010,2.99
isl,2011,4.04
isl,2012,2.29
isl,2013,4.08
isl,2014,4.5
isl,2015,3.25
isl,2016,1.92
isl,2017,1.53
isl,2018,1.7
isl,2019,2.27
isl,2020,3.4
isl,2021,4.15
isl,2022,2.46
isr,1996,5.47
isr,1998,6.71
isr,1999,6.69
isr,2000,5.62
isr,2001,6.03
isr,2002,6.88
isr,2003,7.31
isr,2004,6.73
isr,2005,5.71
isr,2006,4.62
isr,2007,4.39
isr,2008,3.9
isr,2009,5.39
isr,2010,4.63
isr,2011,4.34
isr,2012,4.12
isr,2013,3.87
isr,2014,3.76
isr,2015,3.7
isr,2016,2.87
isr,2017,2.73
isr,2018,2.39
isr,2019,2.64
isr,2020,2.78
isr,2021,3.51
ita,1998,9.9
ita,1999,9.76
ita,2000,8.57
ita,2001,7.47
ita,2002,7.62
ita,2003,7.54
ita,2004,6.46
ita,2005,7.69
ita,2006,6.47
ita,2007,5.59
ita,2008,5.74
ita,2009,6.67
ita,2010,6.85
ita,2011,6.57
ita,2012,7.76
ita,2013,8.61
ita,2014,9.19
ita,2015,8.5
ita,2016,8.03
ita,2017,7.46
ita,2018,7.02
ita,2019,6.57
ita,2020,6.21
ita,2021,5.66
ita,2022,4.76
jam,2008,3.11
jam,2009,3.62
jam,2010,5.25
jam,2011,4.59
jam,2012,6.16
jam,2013,7.94
jam,2014,6.03
jam,2016,7.44
jam,2017,6.59
jam,2018,3.68
jam,2019,3.99
jam,2020,4.4
jam,2021,2.98
jor,2017,33.91
jor,2018,32.16
jor,2019,32.84
jor,2020,34.94
jor,2021,35.1
jpn,2002,4.83
jpn,2003,4.49
jpn,2005,3.99
jpn,2006,3.27
jpn,2007,3.46
jpn,2008,3.51
jpn,2009,4.01
jpn,2010,3.93
jpn,2012,3.5
jpn,2013,3.33
jpn,2015,2.63
jpn,2016,2.55
jpn,2017,2.32
jpn,2018,2.51
jpn,2019,2.03
jpn,2020,2.38
kaz,2009,5.72
kaz,2010,4.98
kaz,2011,4.67
kaz,2012,4.72
kaz,2013,4.09
kaz,2017,3.73
kaz,2020,5
kaz,2022,2.45
ken,1999,25.57
ken,2005,13.81
ken,2006,13.81
ken,2016,10.03
ken,2019,14.28
ken,2021,11.73
kgz,2004,5.56
kgz,2005,65.09
kgz,2006,40.46
kgz,2011,6.59
kgz,2012,5.55
kgz,2013,6.73
kgz,2014,7.86
kgz,2015,7.63
kgz,2016,6.13
kgz,2017,7.43
kgz,2018,5.7
khm,2014,1.31
khm,2019,1.26
kir,2015,1.99
kir,2020,2.54
kor,1991,4.47
kor,1992,4.65
kor,1993,4.78
kor,1994,4.28
kor,1995,1.6
kor,1996,1.45
kor,1997,1.87
kor,1998,3.07
kor,1999,2.52
kor,2000,3.72
kor,2001,3.48
kor,2002,3.14
kor,2003,4.5
kor,2004,4.36
kor,2005,3.95
kor,2006,3.84
kor,2007,3.33
kor,2008,3.31
kor,2009,3.65
kor,2010,3.8
kor,2011,3.4
kor,2012,3.37
kor,2013,3.31
kor,2014,3.88
kor,2015,4.5
kor,2016,4.53
kor,2017,4.44
kor,2018,4.42
kor,2019,4.15
kor,2020,4.42
kor,2021,3.92
kor,2022,3.37
kos,2000,12.48
kos,2012,24.38
kos,2013,20.19
kos,2014,25.44
kos,2015,27.37
kos,2016,27.9
kos,2017,33.83
kos,2018,23.22
kos,2019,31.83
kos,2020,27.73
kos,2021,19.73
kwt,2016,9.25
lao,2010,2.33
lao,2017,5.8
lbn,2007,11.39
lbn,2019,16.53
lbr,2016,9.57
lbr,2017,11.25
lca,2017,18.15
lca,2018,8.86
lca,2019,11.52
lca,2020,11.98
lca,2021,12.02
lca,2022,7.77
lka,2009,10.27
lka,2010,16.31
lka,2011,12.4
lka,2012,10.75
lka,2013,5.5
lka,2014,5.62
lka,2015,8.75
lka,2016,8.73
lka,2017,9.05
lka,2018,11.67
lka,2019,11.04
lka,2020,9.61
lso,2019,12.87
ltu,1997,2.55
ltu,1998,7.57
ltu,1999,9.54
ltu,2000,8.15
ltu,2001,5.55
ltu,2002,7.12
ltu,2003,6.16
ltu,2004,6.72
ltu,2005,3.96
ltu,2007,2.17
ltu,2008,3.02
ltu,2009,4.42
ltu,2010,6.87
ltu,2011,5.15
ltu,2012,5.16
ltu,2013,5.25
ltu,2014,4.29
ltu,2015,3.94
ltu,2016,2.81
ltu,2017,2.76
ltu,2018,2.69
ltu,2019,2.61
ltu,2020,3.96
ltu,2021,3.78
ltu,2022,3.34
lux,2003,5.39
lux,2004,5.41
lux,2005,4.23
lux,2006,3.9
lux,2007,3.88
lux,2008,3.47
lux,2009,4.88
lux,2010,4.69
lux,2011,4.61
lux,2012,4.44
lux,2013,4.15
lux,2014,3.84
lux,2015,5.17
lux,2016,3.69
lux,2017,4.16
lux,2018,4.36
lux,2019,3.53
lux,2020,5.28
lux,2021,4.76
lux,2022,3.68
lva,1998,6.73
lva,1999,5.33
lva,2000,7.28
lva,2002,6.68
lva,2005,4.82
lva,2006,4.38
lva,2007,3.68
lva,2008,4.42
lva,2009,7.6
lva,2010,10.13
lva,2011,6.46
lva,2012,5.87
lva,2013,6.26
lva,2014,5.88
lva,2015,5.37
lva,2016,4.07
lva,2017,3.9
lva,2018,3.3
lva,2019,3.27
lva,2020,4.41
lva,2021,4.39
lva,2022,3.91
mac,1996,1.27
mac,1997,3.66
mac,1998,3.23
mac,1999,3.51
mac,2000,3.17
mac,2001,2.4
mac,2002,1.46
mac,2003,3.03
mac,2005,2.02
mac,2006,2.61
mac,2007,1.75
mac,2008,2.62
mac,2009,1.79
mac,2010,1.61
mac,2011,1.93
mac,2012,1.64
mac,2013,1.24
mac,2014,1.61
mac,2015,1.8
mac,2016,1.2
mar,1995,40.87
mar,2002,38.81
mar,2003,41.32
mar,2021,32.72
mco,2016,8.28
mda,2000,6.73
mda,2001,5.69
mda,2002,5.4
mda,2003,4.73
mda,2004,4.12
mda,2005,4.28
mda,2006,3.77
mda,2007,3.19
mda,2008,4.1
mda,2009,4.25
mda,2010,4.45
mda,2011,3.9
mda,2012,3.28
mda,2013,2.91
mda,2014,2.11
mda,2015,2.77
mda,2016,2.35
mda,2017,2.43
mda,2018,2.52
mda,2019,1.94
mda,2020,0.85
mda,2021,0.73
mda,2022,1.33
mdg,2001,8.69
mdg,2003,10.68
mdg,2005,10.65
mdg,2012,3
mdg,2015,9.86
mdv,2009,18.01
mdv,2014,1.8
mdv,2016,4.36
mdv,2019,2.68
mex,1995,6.99
mex,1996,8.36
mex,1997,5.76
mex,1998,5.95
mex,1999,3.44
mex,2000,2.85
mex,2001,4.3
mex,2002,5.14
mex,2003,5.96
mex,2004,6.67
mex,2005,4.33
mex,2006,4.49
mex,2007,4.79
mex,2008,4.43
mex,2009,5.09
mex,2010,5.75
mex,2011,5.37
mex,2012,5.17
mex,2013,5.36
mex,2014,5.41
mex,2015,5.14
mex,2016,4.87
mex,2017,4.5
mex,2018,4.34
mex,2019,4.49
mex,2020,4.37
mex,2021,4.68
mex,2022,3.97
mhl,2021,2.46
mkd,2005,22
mkd,2006,22.98
mkd,2007,23.34
mkd,2008,23.84
mkd,2009,24.83
mkd,2010,25.86
mkd,2011,26.27
mkd,2012,26.07
mkd,2013,26.76
mkd,2014,24.89
mkd,2015,22.69
mkd,2016,21.2
mkd,2017,21.88
mkd,2018,20.2
mkd,2019,15.04
mkd,2020,15.22
mkd,2021,11.45
mkd,2022,8.81
mli,2013,14.51
mli,2014,30.42
mli,2015,23.97
mli,2016,32.76
mli,2017,37.78
mli,2018,33.67
mli,2020,29.72
mlt,2009,3.05
mlt,2010,1.88
mlt,2011,2.21
mlt,2012,2.53
mlt,2013,2.48
mlt,2014,2.76
mlt,2015,2.74
mlt,2016,2.22
mlt,2017,2.1
